"node_1","node_2","edge"
10140,10149,5
10140,1039,4
10149,1039,3
10140,1087,5
10149,1087,5
1039,1087,3
10149,1096,2
1039,1096,5
1087,1096,5
10140,11549569,5
10149,11549569,4
1039,11549569,2
1087,11549569,3
1096,11549569,1
11349,11549569,1
10149,12012943,2
1096,12012943,2
10971,12012943,2
11549569,12012943,1
10140,12132,3
10149,12132,2
1087,12132,2
1096,12132,4
11549569,12132,1
12012943,12132,3
1096,12510230,1
10140,12525,1
10149,12525,1
10971,12525,1
10140,12558671,4
10149,12558671,4
1039,12558671,1
1087,12558671,3
1096,12558671,2
11549569,12558671,2
12132,12558671,3
10140,127,1
10149,127,1
12132,127,2
12558671,127,1
10140,12769,5
10149,12769,5
1087,12769,4
1096,12769,2
11549569,12769,3
12012943,12769,1
12132,12769,5
12525,12769,1
12558671,12769,4
127,12769,1
10140,130,4
10149,130,4
1039,130,3
1087,130,4
1096,130,4
11549569,130,4
12012943,130,2
12132,130,5
12558671,130,4
127,130,1
12769,130,4
10140,13118,1
10149,13118,1
1039,13118,1
1087,13118,1
1096,13118,1
12012943,13118,1
12132,13118,4
12510230,13118,1
127,13118,2
12769,13118,2
130,13118,3
10140,13210,4
10149,13210,4
1039,13210,4
1087,13210,4
1096,13210,4
11549569,13210,3
12012943,13210,1
12132,13210,2
12558671,13210,3
12769,13210,4
130,13210,4
10149,1338,1
1096,1338,3
12012943,1338,1
10140,13614,1
10149,13614,1
1087,13614,1
1096,13614,1
10971,13614,1
11549569,13614,1
12510230,13614,1
12525,13614,1
127,13614,1
12769,13614,1
13118,13614,1
10140,14550,1
1096,14550,1
12132,14550,1
12769,14550,1
13614,14550,1
10140,1457,5
10149,1457,5
1039,1457,3
1087,1457,4
1096,1457,4
11549569,1457,4
12012943,1457,1
12132,1457,3
12558671,1457,4
12769,1457,4
130,1457,4
13210,1457,4
13614,1457,1
10140,14720,4
10149,14720,3
1039,14720,1
1087,14720,4
1096,14720,4
11549569,14720,2
12012943,14720,2
12132,14720,4
12558671,14720,3
12769,14720,3
130,14720,4
13210,14720,4
1457,14720,4
10140,14721,4
10149,14721,4
1039,14721,3
1087,14721,3
11549569,14721,4
12558671,14721,5
12769,14721,3
130,14721,5
13210,14721,3
1457,14721,4
14720,14721,2
10140,14730,1
10149,14730,3
1096,14730,1
11549569,14730,2
12132,14730,1
12525,14730,1
12769,14730,1
130,14730,2
13614,14730,1
1457,14730,2
14720,14730,1
10140,14734,1
10149,14734,1
1039,14734,1
1087,14734,1
11549569,14734,1
12132,14734,2
12558671,14734,3
127,14734,4
12769,14734,2
130,14734,3
13118,14734,5
13614,14734,2
1457,14734,1
14730,14734,1
1096,14735,3
10971,14735,1
12510230,14735,1
10140,14737,4
10149,14737,4
1039,14737,3
1087,14737,3
11549569,14737,4
12132,14737,1
12558671,14737,4
12769,14737,4
130,14737,4
13210,14737,4
1457,14737,4
14720,14737,3
14721,14737,4
1096,14739,2
127,14739,2
13118,14739,1
14734,14739,3
10140,14834,5
10149,14834,5
1039,14834,5
1087,14834,5
1096,14834,2
11549569,14834,4
12132,14834,1
12558671,14834,4
12769,14834,4
130,14834,4
13118,14834,1
13210,14834,4
13614,14834,1
1457,14834,4
14720,14834,2
14721,14834,4
14730,14834,1
14734,14834,1
14737,14834,4
10140,15634,1
10971,15634,4
12525,15634,4
13614,15634,2
14726,15674852,4
1096,15755310,1
1338,15755310,1
13614,15755310,1
10140,16107,4
10149,16107,4
1039,16107,4
1087,16107,4
1096,16107,4
11549569,16107,3
12012943,16107,1
12132,16107,4
12558671,16107,4
12769,16107,3
130,16107,4
13210,16107,4
1457,16107,4
14720,16107,3
14721,16107,3
14737,16107,4
14834,16107,4
10140,1625,4
10149,1625,3
1087,1625,2
1096,1625,2
10971,1625,1
11349,1625,2
11549569,1625,4
12558671,1625,2
12769,1625,2
130,1625,2
13210,1625,3
1457,1625,4
14720,1625,1
14721,1625,3
14735,1625,1
14737,1625,4
14834,1625,3
16107,1625,1
11349,16666406,1
12012943,16666406,1
12132,16666406,1
16107,16666406,1
10140,1702,4
10149,1702,2
1039,1702,2
1087,1702,4
1096,1702,4
11549569,1702,2
12132,1702,1
12558671,1702,4
12769,1702,1
130,1702,2
13210,1702,3
1457,1702,4
14720,1702,4
14721,1702,2
14737,1702,2
14834,1702,3
16107,1702,3
1625,1702,1
1096,1758,1
10971,1758,3
11549569,1758,1
12012943,1758,1
1338,1758,1
13614,1758,1
15634,1758,2
1096,18380,1
10971,18380,4
12510230,18380,3
13614,18380,4
14734,18380,4
15634,18380,4
1758,18380,3
10149,18615,2
1096,18615,3
11549569,18615,2
12012943,18615,3
12132,18615,3
12769,18615,2
130,18615,2
1457,18615,3
14720,18615,1
1758,18615,1
1625,19002,1
16666406,19002,3
1096,19240,1
127,19240,2
16666406,19240,3
18615,19240,1
1096,19272003,5
10971,19272003,1
1338,19272003,1
14720,19272003,1
14735,19272003,2
14739,19272003,1
15634,19272003,2
1625,19272003,1
1702,19272003,1
10140,1932,1
10149,1932,1
1096,1932,3
12132,1932,3
12558671,1932,2
12769,1932,3
130,1932,3
13210,1932,2
1457,1932,2
14720,1932,2
14730,1932,1
14834,1932,1
16107,1932,1
1702,1932,2
19272003,1932,1
13614,19502,1
14734,19502,1
18380,19502,1
10971,19765381,1
12510230,19765381,1
127,19765381,2
13118,19765381,1
13614,19765381,3
14734,19765381,3
14739,19765381,1
15634,19765381,3
18380,19765381,3
1932,19765381,1
1096,19765399,1
12012943,19765399,1
14739,19765399,1
16666406,19765399,1
19502,19765399,3
10140,19765555,1
1096,19765555,3
12132,19765555,1
12510230,19765555,1
1338,19765555,2
1457,19765555,2
14720,19765555,2
14730,19765555,1
14735,19765555,2
14739,19765555,3
14834,19765555,1
1702,19765555,3
18615,19765555,1
19272003,19765555,3
1932,19765555,3
19502,19765555,1
10140,19765595,3
10149,19765595,2
1039,19765595,2
1087,19765595,2
11549569,19765595,2
12510230,19765595,1
12558671,19765595,2
12769,19765595,1
130,19765595,2
13210,19765595,1
1338,19765595,1
1457,19765595,3
14721,19765595,3
14737,19765595,3
14834,19765595,3
15755310,19765595,2
16107,19765595,2
1625,19765595,1
1702,19765595,1
1932,19765595,1
19502,19765595,1
19765555,19765595,1
10149,19766240,1
