"node_1","node_2","edge"
3138,4215,1
20258,4012,3
20394,4012,4
4018,4012,5
8348,5026823,1
4018,20579,5
21115,4214,5
4971600,4214,5
21115,5237520,1
14641,5237520,3
4214,5237520,2
4918,5117183,5
20258,5117183,5
20394,5117183,5
4012,5117183,4
14809,5117183,5
3138,5107113,5
4215,5107113,5
4212,5107113,5
5026823,5107113,5
4466,5107113,5
258699,5107113,5
5073843,5071535,5
8348,5071535,5
3138,5071535,5
5026823,5071535,5
4466,5071535,5
258699,5071535,4
5237520,5071535,2
5107113,5071535,5
5071471,5071535,5
4918,4715,3
20258,4715,3
20394,4715,5
4018,4715,4
4012,4715,5
5117183,4715,5
4018,898,5
18897,898,1
20579,898,5
21163,898,3
5073843,5175980,5
8348,5175980,5
3138,5175980,5
4215,5175980,5
5026823,5175980,5
4466,5175980,5
4214,5175980,2
258699,5175980,3
5071471,5175980,5
21115,5025406,5
14641,5025406,5
4466,5025406,2
4214,5025406,5
258699,5025406,5
8348,18596,3
3138,18596,2
5026823,18596,4
4466,18596,1
5107113,18596,3
5071535,18596,5
5175980,18596,5
5025406,18596,5
4918,17201,5
20258,17201,1
20394,17201,5
4018,17201,3
4012,17201,1
14809,17201,4
5117183,17201,5
4715,17201,5
14641,4213,1
5107113,4213,1
5071535,4213,5
5175980,4213,5
5117183,4983338,5
5071535,4983338,5
17201,4983338,1
5107113,207,5
5071535,207,4
898,207,1
5175980,207,2
5025406,207,5
3138,8339,3
5237520,8339,1
5107113,8339,5
5071535,8339,5
5175980,8339,5
5025406,8339,5
18596,8339,3
207,8339,1
8348,5129193,5
21115,5129193,1
5026823,5129193,5
4466,5129193,2
4214,5129193,3
5107113,5129193,5
5071535,5129193,5
5175980,5129193,5
5025406,5129193,1
18596,5129193,5
4213,5129193,1
8339,5129193,1
5071535,4452,5
5175980,4452,2
18897,3438,5
5117183,3438,2
4983338,3438,5
5107113,5915,5
5071535,5915,2
5175980,5915,3
5025406,5915,5
18596,5915,1
3438,5353,3
5107113,8553,2
3438,8553,1
4971600,7514326,2
4215,7514326,5
4212,7514326,5
5107113,7514326,5
898,7514326,3
4983338,7514326,3
21115,5026894,5
3138,5026894,5
4215,5026894,5
4212,5026894,5
20579,5026894,5
4214,5026894,5
258699,5026894,3
5237520,5026894,5
5107113,5026894,3
898,5026894,3
5025406,5026894,5
18596,5026894,1
4213,5026894,1
4983338,5026894,3
207,5026894,4
8339,5026894,5
5915,5026894,5
5353,5026894,5
8553,5026894,5
5073843,5074984,5
8348,5074984,5
5026823,5074984,5
5107113,5074984,5
5071471,5074984,3
5071535,5074984,5
18596,5074984,5
5129193,5074984,5
4452,5074984,3
5915,5074984,5
3138,4761,5
4215,4761,4
20579,4761,2
5237520,4761,1
5107113,4761,3
898,4761,2
5175980,4761,1
5025406,4761,5
18596,4761,1
207,4761,3
8339,4761,5
3438,4761,4
8553,4761,2
5026894,4761,5
4018,2046,5
20579,2046,4
5107113,2046,1
898,2046,5
