"node_1","node_2","edge"
1048,10689,3
1048,1116,3
10689,1116,3
1048,11252,5
10689,11252,2
1116,11410,1
11252,11410,2
1048,11560,4
1116,11560,3
11252,11560,5
11410,11560,2
1048,11772,5
11252,11772,2
10149,11950632,1
1048,1212,2
1116,1212,1
11410,1212,1
11560,1212,5
1048,1269570,2
10689,1269570,5
1116,1269570,5
11252,1269570,5
11772,1269570,1
1048,127,2
11410,127,3
1212,127,4
10689,13035,2
11252,13035,2
11410,13035,2
1269570,13035,5
1048,132,5
10689,132,3
1116,132,5
11252,132,2
11560,132,5
11772,132,5
1212,132,5
1269570,132,1
127,132,5
1048,1338,1
132,1338,1
1212,13466967,5
12773,13466967,5
10149,13466968,4
1048,13466968,2
11560,13466968,1
1212,13466968,1
132,13466968,5
1048,13702,2
1116,13702,2
11252,13702,3
11560,13702,5
1212,13702,1
132,13702,5
13466968,13702,1
10689,1375545,1
1116,1375545,5
11410,1375545,5
1269570,1375545,4
13035,1375545,2
1048,13986278,2
10689,13986278,1
11252,13986278,3
11410,13986278,1
1269570,13986278,2
13035,13986278,3
132,13986278,1
10149,14010286,5
127,14010286,2
12773,14010286,1
13466968,14010286,3
11252,1457,2
11950632,1457,3
1212,1457,2
13466967,1457,5
13702,1457,1
11560,14638,1
11950632,14638,2
127,14638,1
12773,14638,1
13466967,14638,1
1457,14638,1
1048,14641,2
1116,14641,2
11560,14641,2
11772,14641,1
1212,14641,1
132,14641,2
1048,14646,3
10689,14646,2
1116,14646,3
11252,14646,5
11410,14646,1
11560,14646,4
11772,14646,3
1212,14646,3
1269570,14646,1
127,14646,2
132,14646,3
1338,14646,3
13466968,14646,3
13702,14646,2
1375545,14646,1
13986278,14646,1
1048,1466,3
11252,1466,3
11410,1466,1
11560,1466,3
1269570,1466,1
13702,1466,2
13986278,1466,2
14646,1466,1
1338,1470,3
13466967,1470,2
14646,1470,2
11252,14798,3
11410,14798,1
11560,14798,2
11950632,14798,1
1212,14798,1
13035,14798,1
13702,14798,2
1457,14798,2
1466,14798,1
10149,14799,4
127,14799,2
13466967,14799,2
14010286,14799,3
10149,14802,3
11950632,14802,3
1338,14802,1
1457,14802,1
14799,14802,1
10149,14804,1
1269570,14804,2
1375545,14804,1
14010286,14804,1
14799,14804,1
10149,14807,2
1048,14807,1
11410,14807,3
11950632,14807,1
132,14807,1
1375545,14807,3
14010286,14807,1
1457,14807,1
14641,14807,1
14802,14807,3
10149,14808,3
1048,14808,1
1212,14808,1
12773,14808,1
132,14808,1
13466967,14808,1
13466968,14808,1
14010286,14808,3
1457,14808,1
14641,14808,1
14799,14808,1
14802,14808,2
1048,14809,4
10689,14809,2
1116,14809,4
11560,14809,4
1212,14809,4
1269570,14809,2
12773,14809,1
132,14809,4
13466967,14809,1
13466968,14809,4
13702,14809,1
1457,14809,1
14641,14809,1
14646,14809,3
14807,14809,1
10149,14811,1
1048,14811,1
1116,14811,1
11560,14811,1
1212,14811,4
12773,14811,3
132,14811,1
13466967,14811,3
13466968,14811,1
13702,14811,1
14010286,14811,1
1457,14811,3
14638,14811,1
14641,14811,1
1470,14811,2
14799,14811,3
14808,14811,1
10149,14812,1
1048,14812,4
10689,14812,3
1116,14812,3
11252,14812,1
11560,14812,3
11772,14812,4
1212,14812,4
127,14812,3
132,14812,4
1338,14812,1
13466967,14812,1
13466968,14812,3
13702,14812,3
14010286,14812,1
14641,14812,1
14646,14812,3
14807,14812,2
14808,14812,1
14809,14812,4
10149,14816,3
1048,14816,1
10689,14816,1
1116,14816,1
11252,14816,1
11560,14816,1
11772,14816,1
1212,14816,1
1269570,14816,1
132,14816,1
13466967,14816,1
13466968,14816,2
14010286,14816,3
14641,14816,1
1466,14816,1
14799,14816,1
14802,14816,3
14807,14816,1
14808,14816,4
14809,14816,2
14811,14816,1
