"node_1","node_2","edge"
4920,3461,1
2996764,3203,5
20810,3203,1
20810,4241,5
20810,19712,5
4241,19712,1
2996764,4771,5
3203,4771,5
20810,1269570,5
3203,1269570,5
4241,1269570,5
19712,1269570,5
20810,9276,5
4241,9276,1
1269570,9276,5
20810,2014114,5
3203,2014114,5
4241,2014114,5
19712,2014114,5
4771,2014114,4
1269570,2014114,5
9276,2014114,5
20810,4242,2
1269570,4242,5
2014114,4242,5
20810,4239,5
1269570,4239,5
2014114,4239,5
3203,30154702,5
20810,8406,5
4241,8406,1
1269570,8406,5
2014114,8406,5
20810,12834,5
1269570,12834,5
2014114,12834,5
2996764,6032,5
3203,6032,5
4771,6032,5
2014114,6032,5
30154702,6032,5
20810,18874,5
4241,18874,1
1269570,18874,5
2014114,18874,5
1269570,8417,5
2014114,8417,5
2996764,1750647,5
20810,1750647,5
3203,1750647,5
4241,1750647,5
19712,1750647,5
4771,1750647,5
1269570,1750647,5
9276,1750647,5
2014114,1750647,5
4242,1750647,5
4239,1750647,5
8406,1750647,5
12834,1750647,5
6032,1750647,5
18874,1750647,5
8417,1750647,5
11088,6528,5
1750647,6528,1
2996764,1827744,1
19982,1827744,5
2996764,7440,5
3203,7440,5
4771,7440,5
1269570,7440,2
2014114,7440,5
30154702,7440,5
6032,7440,5
1750647,7440,5
11005036,4938834,5
9276,20880,5
2014114,20880,2
1750647,20880,3
20810,3615,5
3203,3615,3
4241,3615,5
19712,3615,5
1269570,3615,5
9276,3615,5
2014114,3615,5
4242,3615,3
4239,3615,5
8406,3615,5
12834,3615,5
18874,3615,5
8417,3615,2
1750647,3615,5
20810,4243,1
1269570,4243,5
2014114,4243,5
1750647,4243,5
3615,4243,3
30154702,6551,5
19982,6551,5
11088,6551,5
20810,852,5
3203,852,5
4241,852,5
19712,852,5
4771,852,1
1269570,852,5
9276,852,5
2014114,852,5
4242,852,5
4239,852,5
8406,852,5
12834,852,5
18874,852,5
8417,852,5
1750647,852,5
7440,852,2
20880,852,5
3615,852,5
4243,852,5
20810,5482056,5
3203,5482056,1
4241,5482056,5
19712,5482056,5
1269570,5482056,5
9276,5482056,5
2014114,5482056,5
4242,5482056,2
4239,5482056,5
8406,5482056,5
12834,5482056,5
18874,5482056,5
8417,5482056,1
1750647,5482056,5
3615,5482056,5
4243,5482056,3
852,5482056,5
1269570,6,2
20810,259,5
3203,259,4
4241,259,5
19712,259,5
1269570,259,5
9276,259,5
2014114,259,5
4242,259,4
4239,259,5
8406,259,5
12834,259,5
18874,259,5
8417,259,3
1750647,259,5
20880,259,1
3615,259,5
4243,259,4
852,259,5
5482056,259,5
2996764,800,5
20810,800,5
11005036,800,5
3203,800,5
4241,800,4
19712,800,5
4771,800,5
1269570,800,5
9276,800,3
2014114,800,5
30154702,800,5
8406,800,1
6032,800,5
18874,800,2
1750647,800,5
7440,800,5
4938834,800,5
3615,800,5
852,800,5
5482056,800,5
259,800,5
5866789,5331397,5
20810,4939913,5
3203,4939913,5
4241,4939913,5
19712,4939913,5
4771,4939913,5
1269570,4939913,5
9276,4939913,5
2014114,4939913,5
4242,4939913,5
4239,4939913,5
8406,4939913,5
12834,4939913,5
6032,4939913,5
18874,4939913,5
8417,4939913,5
4245,4939913,4
1750647,4939913,5
6528,4939913,4
7440,4939913,5
20880,4939913,5
3615,4939913,5
4243,4939913,5
852,4939913,5
5482056,4939913,5
18597,4939913,3
259,4939913,5
800,4939913,5
20810,1116,5
3203,1116,5
4241,1116,5
19712,1116,5
1269570,1116,5
9276,1116,5
2014114,1116,5
4242,1116,5
4239,1116,5
8406,1116,5
12834,1116,5
18874,1116,5
8417,1116,4
1750647,1116,5
7440,1116,1
