"node_1","node_2","edge"
10284,1039,5
10284,10446,2
1039,10446,5
1039,10544,1
10284,10779876,5
1039,10779876,5
10446,10779876,4
10052,1078617,3
10284,1078617,1
1039,1078617,4
10446,1078617,3
10779876,1078617,3
10052,1084,2
10284,1084,5
1039,1084,5
10446,1084,5
10779876,1084,5
1078617,1084,3
10284,10867,5
1039,10867,5
10446,10867,5
10779876,10867,5
1078617,10867,3
1084,10867,5
10284,1089,5
1039,1089,5
10446,1089,5
10779876,1089,5
1078617,1089,3
1084,1089,5
10867,1089,5
10284,1091,3
1039,1091,5
10446,1091,5
10779876,1091,5
1078617,1091,3
1084,1091,5
10867,1091,5
1089,1091,5
10284,1095,5
1039,1095,5
10446,1095,5
10779876,1095,5
1078617,1095,3
1084,1095,5
10867,1095,5
1089,1095,5
1091,1095,5
10284,10956,2
1039,10956,4
10446,10956,2
10779876,10956,2
1084,10956,5
10867,10956,2
1089,10956,5
1091,10956,2
1095,10956,5
10052,11005036,1
1020,11005036,3
1039,11005036,2
10867,11005036,2
1089,11005036,2
1091,11005036,2
1095,11005036,1
10956,11005036,2
10052,11036,2
1020,11036,5
11005036,11036,3
1020,11077,2
1039,11077,2
10779876,11077,1
1078617,11077,2
1084,11077,2
10867,11077,2
1089,11077,2
1091,11077,2
1095,11077,2
11036,11077,2
10052,11079,2
1039,11079,2
10446,11079,1
10779876,11079,1
1078617,11079,3
1084,11079,1
10867,11079,1
1089,11079,1
1091,11079,1
1095,11079,1
10052,1116,2
1020,1116,2
10284,1116,1
1039,1116,2
10446,1116,2
10779876,1116,2
1078617,1116,1
1084,1116,2
10867,1116,2
1089,1116,2
1091,1116,2
1095,1116,3
10956,1116,2
11005036,1116,2
11036,1116,2
10052,11450,2
1020,11450,1
1039,11450,2
1084,11450,2
10867,11450,1
1091,11450,1
1095,11450,4
10956,11450,2
11005036,11450,1
11036,11450,1
1116,11450,1
1020,1148510,2
1039,1148510,3
10779876,1148510,2
1078617,1148510,2
1084,1148510,3
10867,1148510,2
1089,1148510,3
1091,1148510,2
1095,1148510,3
11036,1148510,2
11077,1148510,4
11079,1148510,1
10052,1149,1
10284,1149,1
1039,1149,5
10446,1149,1
10779876,1149,3
1078617,1149,2
1084,1149,5
10867,1149,5
1089,1149,5
1091,1149,5
1095,1149,5
10956,1149,2
11079,1149,1
1116,1149,1
1148510,1149,2
10052,11511,2
1020,11511,2
10284,11511,2
1039,11511,3
10446,11511,3
10779876,11511,3
1078617,11511,1
1084,11511,3
10867,11511,3
1089,11511,3
1091,11511,3
1095,11511,3
10956,11511,2
11005036,11511,4
11036,11511,2
11079,11511,1
1116,11511,4
11450,11511,2
1149,11511,3
10052,11590,2
1020,11590,1
1039,11590,4
10446,11590,2
10779876,11590,2
1078617,11590,2
1084,11590,4
10867,11590,2
1089,11590,4
1091,11590,2
1095,11590,4
10956,11590,2
11005036,11590,1
11036,11590,2
11077,11590,2
11079,11590,2
1116,11590,2
11450,11590,1
1148510,11590,2
11511,11590,2
10052,11631,1
1020,11631,4
1039,11631,1
1078617,11631,1
1084,11631,1
1089,11631,1
1095,11631,1
11005036,11631,2
11036,11631,3
11077,11631,2
11079,11631,1
1116,11631,3
1148510,11631,2
1149,11631,1
11511,11631,2
10052,11699,4
1020,11699,1
10284,11699,1
1039,11699,3
10446,11699,2
10779876,11699,1
1084,11699,4
10867,11699,4
1089,11699,4
1091,11699,2
1095,11699,3
10956,11699,2
11005036,11699,2
11036,11699,1
11077,11699,2
11079,11699,1
1116,11699,2
11450,11699,3
1149,11699,2
11511,11699,2
11590,11699,1
10052,11799,1
1020,11799,2
10284,11799,1
1039,11799,3
1084,11799,3
10867,11799,2
1089,11799,3
1091,11799,1
1095,11799,3
11005036,11799,1
11036,11799,2
11077,11799,2
1148510,11799,2
1149,11799,1
11631,11799,2
10052,11816,2
1039,11816,5
10446,11816,2
10779876,11816,5
1078617,11816,2
1084,11816,5
10867,11816,5
1089,11816,5
1091,11816,5
1095,11816,5
10956,11816,2
11036,11816,2
11077,11816,2
1148510,11816,2
1149,11816,3
11511,11816,2
11590,11816,2
11699,11816,1
10284,11937,3
1039,11937,3
10446,11937,2
10544,11937,2
10779876,11937,3
1078617,11937,2
1084,11937,2
10867,11937,3
1089,11937,3
1091,11937,3
1095,11937,3
10956,11937,2
11079,11937,2
1116,11937,1
1149,11937,2
11511,11937,3
11590,11937,1
11631,11937,1
11799,11937,1
11816,11937,2
10052,11939,1
10284,11939,2
1039,11939,4
10446,11939,3
10544,11939,1
10779876,11939,4
1078617,11939,2
1084,11939,4
10867,11939,4
1089,11939,4
1091,11939,4
1095,11939,4
10956,11939,2
11005036,11939,1
11077,11939,2
1116,11939,2
11450,11939,2
1148510,11939,2
1149,11939,3
11511,11939,2
11590,11939,4
11699,11939,3
11816,11939,4
11937,11939,2
10284,11941882,1
1039,11941882,3
10446,11941882,3
10544,11941882,2
10779876,11941882,1
1078617,11941882,3
1084,11941882,3
10867,11941882,3
1089,11941882,3
1091,11941882,3
1095,11941882,3
11077,11941882,2
11079,11941882,1
1149,11941882,3
11511,11941882,1
11631,11941882,1
11799,11941882,1
11816,11941882,2
11937,11941882,1
11939,11941882,2
10052,11956032,1
10284,11956032,2
1039,11956032,3
10446,11956032,3
10779876,11956032,2
1078617,11956032,1
1084,11956032,3
10867,11956032,3
1089,11956032,3
1091,11956032,3
1095,11956032,3
10956,11956032,2
11079,11956032,1
1116,11956032,2
1149,11956032,2
11511,11956032,3
11590,11956032,2
11699,11956032,2
11816,11956032,2
11937,11956032,3
11939,11956032,2
11941882,11956032,1
1039,1198,2
10446,1198,2
10779876,1198,2
1084,1198,2
10867,1198,2
1089,1198,2
1091,1198,2
1095,1198,2
10956,1198,2
1116,1198,2
11450,1198,1
1149,1198,1
11511,1198,2
11590,1198,2
11937,1198,1
11939,1198,2
11956032,1198,2
10284,11989,2
1039,11989,2
10446,11989,2
10779876,11989,2
1078617,11989,2
1084,11989,2
10867,11989,2
1089,11989,2
1091,11989,2
1095,11989,2
11077,11989,2
1148510,11989,2
1149,11989,2
11590,11989,2
11699,11989,1
11799,11989,1
11816,11989,2
11939,11989,2
11941882,11989,2
10284,12053,3
1039,12053,3
10446,12053,3
10779876,12053,3
1078617,12053,3
1084,12053,3
10867,12053,3
1089,12053,3
1091,12053,3
1095,12053,3
10956,12053,2
11077,12053,2
11079,12053,1
1148510,12053,2
1149,12053,3
11511,12053,1
11631,12053,1
11699,12053,1
11799,12053,2
11816,12053,3
11937,12053,1
11939,12053,2
11941882,12053,4
11956032,12053,1
11989,12053,2
10052,12078,1
1020,12078,2
10284,12078,3
1039,12078,5
10446,12078,3
10779876,12078,3
1078617,12078,3
1084,12078,5
10867,12078,5
1089,12078,5
1091,12078,3
1095,12078,5
10956,12078,3
11005036,12078,4
11036,12078,2
11077,12078,1
11079,12078,1
1116,12078,4
11450,12078,1
1148510,12078,2
1149,12078,3
11511,12078,5
11590,12078,4
11631,12078,1
11699,12078,2
11799,12078,1
11816,12078,4
11937,12078,3
11939,12078,4
11941882,12078,1
11956032,12078,3
1198,12078,2
11989,12078,2
12053,12078,3
10052,1210,1
1020,1210,1
10284,1210,2
1039,1210,5
10446,1210,3
10779876,1210,4
1078617,1210,1
1084,1210,5
10867,1210,5
1089,1210,5
1091,1210,5
1095,1210,5
10956,1210,2
11005036,1210,3
11036,1210,1
11079,1210,1
1116,1210,4
11450,1210,1
1148510,1210,2
1149,1210,2
11511,1210,2
11590,1210,3
11631,1210,1
11699,1210,2
11799,1210,2
11816,1210,4
11937,1210,3
11939,1210,2
11941882,1210,1
11956032,1210,2
1198,1210,2
11989,1210,2
12053,1210,3
12078,1210,4
10052,12282509,2
1020,12282509,3
10284,12282509,2
1039,12282509,3
10446,12282509,2
10779876,12282509,3
1078617,12282509,1
1084,12282509,3
10867,12282509,3
1089,12282509,3
1091,12282509,3
1095,12282509,3
10956,12282509,2
11005036,12282509,2
11036,12282509,2
11077,12282509,2
11079,12282509,2
1116,12282509,2
11450,12282509,3
1148510,12282509,2
1149,12282509,3
11511,12282509,2
11590,12282509,2
11631,12282509,2
11699,12282509,2
11799,12282509,2
11816,12282509,3
11937,12282509,3
11939,12282509,2
11941882,12282509,1
11956032,12282509,2
1198,12282509,1
12053,12282509,1
12078,12282509,3
1210,12282509,3
1020,12301743,2
10284,12301743,3
1039,12301743,4
10446,12301743,3
10779876,12301743,4
1078617,12301743,3
1084,12301743,4
10867,12301743,4
1089,12301743,4
1091,12301743,4
1095,12301743,4
10956,12301743,4
11036,12301743,2
11077,12301743,4
1116,12301743,2
11450,12301743,2
1148510,12301743,4
1149,12301743,2
11511,12301743,2
11590,12301743,4
11631,12301743,2
11699,12301743,2
11799,12301743,2
11816,12301743,3
11937,12301743,2
11939,12301743,4
11941882,12301743,2
11956032,12301743,2
1198,12301743,1
11989,12301743,2
12053,12301743,2
12078,12301743,4
1210,12301743,4
12282509,12301743,2
10052,12305058,2
10284,12305058,1
1039,12305058,1
10446,12305058,1
10779876,12305058,1
1078617,12305058,3
1084,12305058,1
10867,12305058,1
1089,12305058,1
1091,12305058,1
1095,12305058,1
10956,12305058,1
11079,12305058,1
1116,12305058,1
1148510,12305058,1
1149,12305058,1
11511,12305058,1
11590,12305058,2
11631,12305058,1
11799,12305058,1
11816,12305058,1
11937,12305058,1
11941882,12305058,1
11956032,12305058,1
12053,12305058,1
12078,12305058,2
1210,12305058,1
12282509,12305058,1
10052,12559276,1
10284,12559276,4
1039,12559276,4
10446,12559276,4
10544,12559276,1
10779876,12559276,4
1078617,12559276,3
1084,12559276,4
10867,12559276,4
1089,12559276,4
1091,12559276,4
1095,12559276,4
10956,12559276,4
11005036,12559276,2
11077,12559276,2
1116,12559276,3
11450,12559276,3
1148510,12559276,2
1149,12559276,4
11511,12559276,2
11590,12559276,4
11631,12559276,1
11699,12559276,4
11799,12559276,2
11816,12559276,4
11937,12559276,2
11939,12559276,4
11941882,12559276,2
11956032,12559276,2
1198,12559276,2
11989,12559276,2
12053,12559276,2
12078,12559276,4
1210,12559276,5
12282509,12559276,2
12301743,12559276,4
10052,12559603,4
10284,12559603,1
