"node_1","node_2","edge"
8692,19713,5
8692,8714,2
20889,8714,1
19713,8714,5
8692,1854,2
19713,1854,3
8714,1854,3
8692,2566,2
19713,2566,5
8714,2566,5
1854,2566,3
8692,8694,1
19713,8694,3
8714,8694,3
2566,8694,3
8692,8709,5
19713,8709,5
8714,8709,5
1854,8709,4
2566,8709,5
8694,8709,3
8692,17314,4
20889,17314,1
19713,17314,5
8714,17314,5
1854,17314,3
2566,17314,5
8694,17314,3
8709,17314,5
8692,19345,1
19713,19345,3
8714,19345,5
1854,19345,2
2566,19345,3
8694,19345,1
8709,19345,5
17314,19345,4
8692,20105,1
19713,20105,3
8714,20105,5
2566,20105,5
8694,20105,1
8709,20105,3
17314,20105,4
19345,20105,2
8692,3467722,3
19713,3467722,3
8714,3467722,5
1854,3467722,2
2566,3467722,5
8709,3467722,5
17314,3467722,5
19345,3467722,3
20105,3467722,2
8709,19527,1
9556897,20166,1
8714,20166,2
904,8705,1
8714,8705,5
2566,8705,1
8709,8705,2
17314,8705,2
8714,20248,2
8692,2692,5
19713,2692,4
8714,2692,5
1854,2692,2
2566,2692,4
8694,2692,1
8709,2692,5
17314,2692,5
19345,2692,3
20105,2692,1
3467722,2692,3
8705,2692,2
8692,7118,3
19713,7118,5
8714,7118,5
1854,7118,2
2566,7118,5
8694,7118,2
8709,7118,5
17314,7118,5
19345,7118,3
20105,7118,3
3467722,7118,5
19527,7118,1
8705,7118,2
2692,7118,3
8692,7174,5
19713,7174,3
8714,7174,3
1854,7174,2
2566,7174,3
8694,7174,1
8709,7174,5
17314,7174,5
19345,7174,2
20105,7174,1
3467722,7174,3
8705,7174,1
2692,7174,3
7118,7174,3
8692,8691,3
19713,8691,3
8714,8691,4
1854,8691,2
2566,8691,5
8694,8691,1
8709,8691,5
17314,8691,5
19345,8691,3
20105,8691,1
3467722,8691,3
2692,8691,4
7118,8691,3
7174,8691,3
19713,19060,3
8714,19060,5
1854,19060,1
2566,19060,4
8709,19060,5
17314,19060,5
19345,19060,3
3467722,19060,3
2692,19060,2
7118,19060,3
7174,19060,2
8691,19060,3
19713,19246,4
8714,19246,3
2566,19246,1
8709,19246,3
17314,19246,2
19345,19246,1
3467722,19246,1
2692,19246,1
7118,19246,2
8691,19246,2
19713,20943,2
28206811,19245,1
904,21500,2
19713,8176,2
8714,8176,5
2566,8176,4
8694,8176,2
8709,8176,3
17314,8176,5
20105,8176,1
3467722,8176,2
2692,8176,1
7118,8176,3
7174,8176,2
8691,8176,2
19060,8176,2
9556897,19122,1
19713,19122,1
8714,19122,4
2566,19122,1
8709,19122,2
17314,19122,3
7118,19122,1
8691,19122,1
19060,19122,1
8692,8580,2
19713,8580,4
8714,8580,3
1854,8580,1
2566,8580,3
8694,8580,2
8709,8580,5
17314,8580,3
19345,8580,3
3467722,8580,1
2692,8580,2
7118,8580,2
7174,8580,1
8691,8580,3
19060,8580,1
19246,8580,1
8692,8695,5
19713,8695,3
8714,8695,3
1854,8695,2
2566,8695,2
8709,8695,5
17314,8695,3
19345,8695,3
3467722,8695,3
8705,8695,1
2692,8695,4
7118,8695,1
7174,8695,4
8691,8695,2
19060,8695,1
8580,8695,2
8692,10990191,5
19713,10990191,3
8714,10990191,3
1854,10990191,2
2566,10990191,3
8709,10990191,5
17314,10990191,3
19345,10990191,3
3467722,10990191,3
8705,10990191,1
2692,10990191,4
7118,10990191,3
7174,10990191,4
8691,10990191,4
19060,10990191,1
19122,10990191,1
8580,10990191,3
8695,10990191,5
8692,15657035,2
19713,15657035,1
8714,15657035,1
2566,15657035,1
8709,15657035,3
17314,15657035,1
2692,15657035,2
7118,15657035,1
7174,15657035,1
8691,15657035,1
8695,15657035,2
10990191,15657035,2
8714,18931,1
8709,18931,1
8692,5770,1
19713,741,2
8714,741,5
1854,741,1
2566,741,2
8694,741,1
8709,741,3
17314,741,4
19345,741,1
20105,741,1
3467722,741,1
2692,741,1
7118,741,4
7174,741,1
8691,741,1
19060,741,1
8176,741,1
8695,741,1
10990191,741,1
8692,8393,2
19713,8393,2
8714,8393,3
1854,8393,1
2566,8393,3
8709,8393,5
17314,8393,2
19345,8393,3
3467722,8393,2
2692,8393,2
7118,8393,2
7174,8393,2
8691,8393,3
19060,8393,2
19246,8393,1
8580,8393,2
8695,8393,2
10990191,8393,2
15657035,8393,1
741,8393,1
8692,8701,2
19713,8701,2
8714,8701,2
2566,8701,2
8709,8701,5
17314,8701,2
19345,8701,2
3467722,8701,2
2692,8701,1
7118,8701,2
7174,8701,2
8691,8701,2
19060,8701,1
19246,8701,1
8580,8701,2
8695,8701,1
10990191,8701,1
8393,8701,1
8714,9206,2
8709,9206,2
17314,9206,1
7118,9206,1
8692,9553311,5
19713,9553311,3
8714,9553311,3
1854,9553311,2
2566,9553311,2
8709,9553311,5
17314,9553311,3
19345,9553311,3
3467722,9553311,2
8705,9553311,1
2692,9553311,3
7118,9553311,1
7174,9553311,3
8691,9553311,3
19060,9553311,2
8580,9553311,2
8695,9553311,3
10990191,9553311,5
15657035,9553311,1
741,9553311,1
8393,9553311,2
8701,9553311,1
8692,9561686,1
19713,9561686,2
8714,9561686,3
1854,9561686,1
2566,9561686,2
8709,9561686,5
17314,9561686,2
19345,9561686,4
3467722,9561686,1
2692,9561686,2
7118,9561686,2
7174,9561686,2
8691,9561686,2
19060,9561686,1
8580,9561686,2
8695,9561686,2
10990191,9561686,2
8393,9561686,2
8701,9561686,1
9553311,9561686,2
19713,9594837,2
8714,9594837,5
1854,9594837,2
2566,9594837,5
8694,9594837,1
8709,9594837,4
17314,9594837,5
19345,9594837,2
20105,9594837,2
3467722,9594837,2
2692,9594837,1
7118,9594837,3
7174,9594837,1
8691,9594837,2
19060,9594837,2
8176,9594837,2
19122,9594837,1
8580,9594837,1
8695,9594837,1
10990191,9594837,1
741,9594837,1
8393,9594837,1
9553311,9594837,1
9561686,9594837,1
8692,9620560,1
19713,9620560,2
8714,9620560,3
1854,9620560,1
2566,9620560,4
8694,9620560,1
8709,9620560,5
17314,9620560,3
19345,9620560,2
3467722,9620560,2
2692,9620560,2
7118,9620560,2
7174,9620560,3
8691,9620560,5
19060,9620560,2
8176,9620560,1
8580,9620560,2
8695,9620560,1
10990191,9620560,2
8393,9620560,2
8701,9620560,1
9553311,9620560,2
9561686,9620560,1
9594837,9620560,2
8692,9634470,1
19713,9634470,3
8714,9634470,5
1854,9634470,2
2566,9634470,3
8694,9634470,1
8709,9634470,5
17314,9634470,5
19345,9634470,3
20105,9634470,1
3467722,9634470,3
8705,9634470,1
2692,9634470,3
7118,9634470,4
7174,9634470,2
8691,9634470,3
19060,9634470,3
19246,9634470,1
8176,9634470,2
19122,9634470,2
8580,9634470,2
8695,9634470,1
10990191,9634470,2
741,9634470,2
8393,9634470,2
8701,9634470,1
9553311,9634470,2
9561686,9634470,2
9594837,9634470,2
9620560,9634470,2
7174,264684,1
19713,9568809,1
8714,9568809,2
2566,9568809,1
8709,9568809,2
17314,9568809,3
7118,9568809,2
20943,9568809,1
8176,9568809,2
9594837,9568809,1
9634470,9568809,1
19713,9635936,1
8714,9635936,2
2566,9635936,1
8709,9635936,1
17314,9635936,2
7118,9635936,1
8714,9560172,1
8709,9560172,1
8709,6973,1
9573611,6973,1
20943,8597,1
19713,8700,1
8714,8700,3
2566,8700,2
8709,8700,3
17314,8700,3
19345,8700,1
3467722,8700,1
2692,8700,1
7118,8700,2
8691,8700,1
19060,8700,1
10990191,8700,1
9594837,8700,1
9634470,8700,2
19713,8703,1
8714,8703,1
8709,8703,2
17314,8703,2
3467722,8703,1
7118,8703,2
8701,8703,1
9634470,8703,1
19713,17312,1
8714,17312,2
8709,17312,3
17314,17312,3
19345,17312,1
3467722,17312,1
7118,17312,2
741,17312,1
9634470,17312,1
8714,19526,2
8709,19526,1
17314,19526,1
20105,19526,1
7118,19526,1
8695,19526,1
9634470,19526,1
19713,9554598,1
8714,9554598,4
1854,9554598,1
2566,9554598,2
8709,9554598,3
17314,9554598,2
19345,9554598,1
3467722,9554598,1
2692,9554598,1
7118,9554598,2
8691,9554598,1
19060,9554598,1
8393,9554598,1
9594837,9554598,1
9634470,9554598,1
8700,9554598,1
19713,9618954,2
8714,9618954,3
2566,9618954,1
8709,9618954,2
17314,9618954,2
19345,9618954,1
2692,9618954,1
7118,9618954,2
20943,9618954,1
8580,9618954,1
9594837,9618954,1
9634470,9618954,1
19713,9638911,1
8714,9638911,3
2566,9638911,1
8709,9638911,3
17314,9638911,2
19345,9638911,1
3467722,9638911,1
2692,9638911,1
7118,9638911,2
8691,9638911,1
19060,9638911,1
8580,9638911,1
8695,9638911,1
10990191,9638911,1
9594837,9638911,1
9634470,9638911,2
8714,27621738,1
8709,27621738,2
19345,27621738,1
8691,27621738,1
8393,27621738,1
17314,27621780,1
