"node_1","node_2","edge"
20105,20840,5
20105,1854,2
20105,8694,5
20105,17314,4
1854,17314,4
8694,17314,2
20105,19916,5
1854,19916,1
8694,19916,2
17314,19916,3
20105,3467722,3
20840,3467722,2
17314,3467722,3
17314,5770,3
19916,5770,1
1854,8692,2
17314,8692,5
19916,8692,1
5770,8692,5
20105,16695,4
8694,16695,1
17314,16695,4
5770,16695,1
20105,20248,4
20105,18931,5
1854,18931,3
8694,18931,3
17314,18931,5
19916,18931,3
3467722,18931,5
5770,18931,2
8692,18931,5
16695,18931,5
20105,19527,1
17314,19527,3
18931,19527,4
20476,15496,2
20105,19974,5
8694,19974,1
19916,19974,4
20248,19974,1
20105,8715,2
20105,18459,3
19974,18459,2
20105,2692,5
1854,2692,4
8694,2692,3
17314,2692,5
19916,2692,3
3467722,2692,5
5770,2692,3
8692,2692,5
16695,2692,5
18931,2692,5
19527,2692,4
20105,8695,1
20840,8695,3
1854,8695,3
8694,8695,2
17314,8695,5
3467722,8695,5
5770,8695,1
8692,8695,5
16695,8695,3
18931,8695,5
19527,8695,3
15496,8695,2
2692,8695,5
20105,20166,5
18931,20166,1
19974,20166,1
2692,20166,1
20105,15657035,2
1854,15657035,1
17314,15657035,5
3467722,15657035,3
5770,15657035,2
8692,15657035,5
16695,15657035,1
18931,15657035,5
19527,15657035,3
8705,15657035,1
15496,15657035,2
2692,15657035,5
8695,15657035,5
20599,9564644,2
17314,19122,5
3467722,19122,3
8692,19122,1
16695,19122,2
18931,19122,5
2692,19122,5
8695,19122,5
15657035,19122,5
20105,19246,3
18931,19246,1
2692,19246,2
8695,19246,2
20105,19454,1
17314,19454,3
18931,19454,4
19527,19454,1
2692,19454,5
8695,19454,1
15657035,19454,2
19122,19454,2
20105,19713,4
17314,19713,2
18931,19713,2
19974,19713,1
2692,19713,3
8695,19713,3
15657035,19713,2
19122,19713,1
20105,8580,2
17314,8580,1
3467722,8580,1
18931,8580,1
2692,8580,1
8695,8580,5
20105,7118,3
1854,7118,3
8694,7118,2
17314,7118,5
19916,7118,2
3467722,7118,3
5770,7118,2
8692,7118,5
16695,7118,3
18931,7118,5
19527,7118,4
2692,7118,5
8695,7118,5
20166,7118,1
15657035,7118,5
19122,7118,5
19246,7118,1
19454,7118,4
19713,7118,2
20105,9547872,2
8694,9547872,2
17314,9547872,5
19916,9547872,1
3467722,9547872,4
5770,9547872,2
8692,9547872,3
16695,9547872,2
18931,9547872,5
19527,9547872,1
2692,9547872,5
8695,9547872,5
15657035,9547872,5
19122,9547872,1
7118,9547872,5
17314,27744897,5
19916,27744897,2
5770,27744897,1
8692,27744897,1
18931,27744897,5
2692,27744897,4
8695,27744897,1
15657035,27744897,1
7118,27744897,3
9547872,27744897,3
20105,2566,3
17314,2566,1
18931,2566,1
19974,2566,1
2692,2566,2
8695,2566,2
15657035,2566,1
7118,2566,1
1854,6458,1
17314,6458,5
8692,6458,1
18931,6458,5
2692,6458,5
8695,6458,1
15657035,6458,2
19122,6458,2
7118,6458,5
9547872,6458,1
27744897,6458,1
17314,7174,5
5770,7174,3
8692,7174,3
18931,7174,5
2692,7174,5
8695,7174,3
15657035,7174,3
19122,7174,1
7118,7174,5
9547872,7174,2
27744897,7174,2
6458,7174,2
20105,20092,5
19916,20092,4
20248,20092,2
19974,20092,5
18459,20092,1
20166,20092,1
2566,20092,1
20840,28206811,1
19974,28206811,2
20092,28206811,2
20105,1269570,1
20840,1269570,1
19974,1269570,3
20092,1269570,2
20105,8691,1
1854,8691,1
17314,8691,5
19916,8691,1
3467722,8691,2
5770,8691,2
8692,8691,5
16695,8691,1
18931,8691,5
19527,8691,1
2692,8691,5
8695,8691,5
15657035,8691,5
19122,8691,3
19454,8691,1
19713,8691,1
7118,8691,5
9547872,8691,5
27744897,8691,3
6458,8691,4
7174,8691,5
9547872,8176,3
18931,20889,1
2692,20889,1
9547872,20889,1
20105,8393,3
1854,8393,3
8694,8393,2
17314,8393,5
19916,8393,2
3467722,8393,4
5770,8393,3
8692,8393,5
16695,8393,3
18931,8393,5
19527,8393,3
15496,8393,1
2692,8393,5
8695,8393,5
20166,8393,1
15657035,8393,5
19122,8393,5
19246,8393,1
19454,8393,4
19713,8393,3
8580,8393,1
7118,8393,5
9547872,8393,5
27744897,8393,2
2566,8393,2
6458,8393,4
7174,8393,4
8691,8393,5
20105,9567770,2
1854,9567770,1
17314,9567770,5
19916,9567770,3
3467722,9567770,1
5770,9567770,2
8692,9567770,4
18931,9567770,5
19527,9567770,1
2692,9567770,5
8695,9567770,5
15657035,9567770,5
19122,9567770,1
7118,9567770,5
9547872,9567770,4
27744897,9567770,3
6458,9567770,1
7174,9567770,2
8691,9567770,5
8393,9567770,5
20105,40618993,4
1854,40618993,2
8694,40618993,1
17314,40618993,5
19916,40618993,2
3467722,40618993,1
5770,40618993,1
8692,40618993,3
16695,40618993,5
18931,40618993,5
19527,40618993,2
2692,40618993,5
8695,40618993,5
20166,40618993,1
15657035,40618993,5
19122,40618993,5
19454,40618993,3
19713,40618993,1
8580,40618993,1
7118,40618993,5
9547872,40618993,3
27744897,40618993,2
2566,40618993,1
6458,40618993,4
7174,40618993,2
8691,40618993,5
8393,40618993,5
9567770,40618993,3
20476,9556897,5
19454,9556897,4
1854,8714,2
17314,8714,1
16695,8714,1
18931,8714,1
2692,8714,2
7118,8714,1
8393,8714,2
40618993,8714,1
1854,24861434,3
5770,24861434,1
8692,24861434,1
2566,24861434,2
6458,24861434,1
7174,24861434,1
8393,24861434,1
8714,24861434,3
