"node_1","node_2","edge"
7940584,10936540,5
7940584,8377,5
4926,8377,5
7940584,16054,5
4926,16054,1
8377,16054,1
7940584,5720,5
4926,5720,2
36652412,5720,5
7940584,7962943,5
8377,7962943,5
16054,7962943,1
7940584,28306159,5
5720,28306159,3
7940584,8935,5
36652412,8935,2
7940584,171,3
4926,171,2
7940584,8389110,3
171,8389110,4
7940584,2116,4
36652412,2116,3
7962943,2116,1
8935,2116,1
171,2116,3
7940584,8194282,5
16054,8194282,1
5720,8194282,2
28306159,8194282,5
171,8194282,5
2116,8194282,4
7940584,437,5
4926,437,5
36652412,437,5
5720,437,5
8935,437,1
171,437,5
2116,437,1
8194282,437,5
7940584,8938,5
8194282,8938,5
4926,7057,5
28306159,7057,4
4926,21434,3
36652412,21434,1
437,21434,1
7057,21434,1
4926,7951360,5
8935,7951360,2
171,7951360,5
2116,7951360,5
8194282,7951360,5
437,7951360,5
8938,7951360,2
21434,7951360,2
7940584,8944,5
4926,8944,5
10936540,8944,1
36652412,8944,5
5720,8944,2
7940584,7984092,5
8935,7984092,1
8938,7984092,5
8944,7984092,1
7940584,8356,5
5720,8356,2
7940584,8952,2
8377,8952,1
8356,8952,1
4926,4752,5
1864,4752,2
28306159,4752,1
7057,4752,5
8356,4752,1
8952,4752,1
8952,298,1
4752,298,2
7940584,8949,5
4926,8949,1
7962943,8949,1
171,8949,1
8194282,8949,3
437,8949,1
7951360,8949,3
36652412,3823,5
5720,3823,5
2116,3823,1
437,3823,5
21434,3823,3
8944,3823,1
4752,3823,1
8942,3823,1
7940584,61441,1
7951360,61441,1
3823,61441,2
7940584,40573048,5
1864,40573048,1
5720,40573048,5
28306159,40573048,2
8935,40573048,1
171,40573048,5
8194282,40573048,5
437,40573048,5
21434,40573048,1
7951360,40573048,4
8356,40573048,5
8952,40573048,1
4752,40573048,4
8942,40573048,3
3823,40573048,3
7940584,8936,5
4929,20263,2
7057,7164,3
4926,11901,1
3823,11901,1
7940584,7948917,1
4926,7948917,5
36652412,7948917,5
7984092,7948917,5
3823,7948917,5
4926,14,3
36652412,14,5
5720,14,5
8935,14,1
171,14,3
437,14,5
21434,14,2
7951360,14,5
8944,14,1
3823,14,5
40573048,14,1
7948917,14,2
36652412,145,5
1864,145,3
5720,145,5
8389110,145,2
2116,145,1
437,145,1
21434,145,2
4752,145,3
3823,145,5
61441,145,1
7164,145,2
7948917,145,3
14,145,5
4926,900,3
36652412,900,5
1864,900,1
5720,900,5
8935,900,1
171,900,1
2116,900,2
437,900,5
21434,900,4
7951360,900,2
8944,900,1
8356,900,1
8952,900,1
4752,900,4
8942,900,3
3823,900,5
61441,900,3
40573048,900,5
11901,900,1
7948917,900,3
14,900,5
145,900,5
7940584,1116,5
36652412,1116,5
5720,1116,2
171,1116,5
2116,1116,1
8194282,1116,2
437,1116,5
7057,1116,1
7951360,1116,5
8949,1116,2
3823,1116,3
14,1116,5
145,1116,1
900,1116,4
36652412,2033,3
3823,2033,3
145,2033,1
900,2033,4
36652412,2034,5
5720,2034,2
171,2034,1
8194282,2034,1
437,2034,2
7951360,2034,5
3823,2034,5
40573048,2034,1
14,2034,5
145,2034,3
900,2034,5
7940584,2046,2
4926,2046,3
36652412,2046,5
5720,2046,5
171,2046,3
2116,2046,1
437,2046,5
7057,2046,3
21434,2046,3
7951360,2046,2
8952,2046,2
8949,2046,1
3823,2046,5
61441,2046,2
40573048,2046,4
14,2046,5
145,2046,2
900,2046,5
1116,2046,5
2034,2046,3
7940584,2318,5
36652412,2318,4
8389110,2318,1
3823,2318,3
145,2318,3
900,2318,3
2046,2318,3
36652412,2572,5
1864,2572,1
5720,2572,5
8935,2572,1
437,2572,3
21434,2572,1
8949,2572,1
3823,2572,5
7948917,2572,5
14,2572,5
145,2572,5
900,2572,5
1116,2572,4
2033,2572,5
2034,2572,5
2046,2572,5
2318,2572,1
36652412,4028,5
5720,4028,3
437,4028,1
21434,4028,3
7951360,4028,1
298,4028,1
3823,4028,5
14,4028,4
145,4028,5
900,4028,4
1116,4028,1
2034,4028,1
2046,4028,2
2318,4028,1
2572,4028,5
36652412,4590,1
5720,4590,1
2116,4590,1
21434,4590,2
3823,4590,4
40573048,4590,1
14,4590,1
145,4590,4
900,4590,5
2046,4590,3
2318,4590,1
2572,4590,2
4028,4590,1
4926,5771,5
36652412,5771,5
5720,5771,2
437,5771,3
21434,5771,2
8944,5771,1
8356,5771,1
8952,5771,1
298,5771,1
3823,5771,5
40573048,5771,3
7948917,5771,2
14,5771,3
145,5771,3
900,5771,5
1116,5771,1
2033,5771,1
2034,5771,4
2046,5771,5
2318,5771,2
2572,5771,5
4028,5771,3
4590,5771,1
7940584,6060,5
4926,6060,5
36652412,6060,5
5720,6060,5
28306159,6060,1
8194282,6060,3
437,6060,5
8938,6060,3
7057,6060,4
7984092,6060,5
8356,6060,1
3823,6060,4
40573048,6060,4
7948917,6060,1
14,6060,5
145,6060,1
900,6060,3
2046,6060,2
2572,6060,3
4028,6060,1
10936540,6074,5
36652412,6074,5
5720,6074,3
4752,6074,2
3823,6074,5
40573048,6074,3
7948917,6074,1
14,6074,2
145,6074,3
900,6074,5
2033,6074,1
2034,6074,2
2046,6074,3
2572,6074,5
5771,6074,3
7940584,8040,2
298,8040,2
3823,8040,1
145,8040,2
900,8040,2
2046,8040,1
2572,8040,2
7940584,8934,1
36652412,8934,5
5720,8934,4
2116,8934,1
8356,8934,1
298,8934,3
3823,8934,4
8936,8934,1
7164,8934,3
14,8934,2
145,8934,5
