"node_1","node_2","edge"
4927,8949,5
4927,9633,5
8949,9633,3
8949,9704,1
9633,9704,5
8949,15501,4
9633,15501,5
9704,15501,5
15872,7954692,5
4927,989,2
8949,8068445,3
9633,8068445,5
9704,8068445,5
15501,8068445,5
4927,856,5
4927,5989,1
15872,5989,2
4927,8944,5
856,8944,1
5989,8944,2
4927,8123588,1
15872,8123588,5
5989,8123588,3
4927,8356,5
15872,8356,1
7954692,8356,5
856,8356,3
8944,8356,3
4927,8388,5
4927,21434,5
8949,21434,5
856,21434,3
8944,21434,3
8356,21434,5
8388,21434,2
15872,20263,5
7954692,20263,3
4927,16054,5
15872,16054,1
8949,16054,1
8068445,16054,1
856,16054,1
8944,16054,1
8356,16054,3
21434,16054,3
4927,3192,5
15872,3192,2
856,3192,1
5989,3192,3
8944,3192,3
8356,3192,1
21434,3192,3
16054,3192,3
4927,16629269,5
4927,10459,5
40619013,10459,5
8388,10459,4
4927,2433,5
21434,2433,1
4927,16044,5
21434,16044,2
4927,61441,5
15872,61441,2
8949,61441,1
856,61441,1
8356,61441,1
21434,61441,3
4927,2318,5
5989,2318,2
21434,2318,1
40619013,8115253,5
10459,8115253,2
61441,8115253,1
4927,1389,5
856,1389,1
21434,1389,1
20263,1389,1
3192,1389,1
2433,1389,1
4927,741,5
856,741,4
8356,741,1
21434,741,5
61441,741,5
8949,7946326,5
7954692,7946326,5
21434,7946326,2
4927,8938,5
7954692,8938,1
8356,8938,1
21434,8938,3
3192,8938,2
4927,12556,5
7954692,12556,5
8356,12556,4
21434,12556,5
741,12556,1
7946326,12556,1
40619013,8003817,3
8123588,8003817,3
4927,171,5
8388,171,1
21434,171,3
2433,171,5
4927,528,5
16629269,528,2
2433,528,5
171,528,2
4927,2218,5
856,2218,1
2433,2218,3
528,2218,1
4927,2692,5
7954692,2692,2
2433,2692,5
1389,2692,2
7946326,2692,5
171,2692,2
528,2692,5
2218,2692,1
4927,8935,5
7954692,8935,1
8356,8935,3
21434,8935,2
171,8935,1
2692,8935,2
4927,10443,5
8356,10443,1
21434,10443,4
3192,10443,2
1389,10443,2
8935,10443,1
4927,13338,3
15872,13338,4
10459,13338,3
8115253,13338,4
9633,6060,5
9704,6060,5
15501,6060,5
8068445,6060,5
4927,9659,1
8949,9659,1
9633,9659,5
9704,9659,5
15501,9659,5
989,9659,1
8068445,9659,5
6060,9659,5
9633,9701,5
9704,9701,5
15501,9701,5
989,9701,1
8068445,9701,5
6060,9701,5
9659,9701,5
9633,9720,5
9704,9720,5
15501,9720,5
989,9720,5
8068445,9720,5
6060,9720,5
9659,9720,5
9701,9720,5
9633,9724,5
9704,9724,5
15501,9724,5
8068445,9724,2
6060,9724,5
9659,9724,5
9701,9724,5
9720,9724,5
8949,10288,1
9633,10288,5
9704,10288,5
15501,10288,5
8068445,10288,5
6060,10288,5
9659,10288,5
9701,10288,5
9720,10288,5
9724,10288,5
8949,11565,1
9633,11565,5
9704,11565,5
15501,11565,5
8068445,11565,5
6060,11565,5
9659,11565,5
9701,11565,5
9720,11565,5
9724,11565,5
10288,11565,5
40619013,14559,3
9633,14559,5
9704,14559,5
15501,14559,5
8068445,14559,5
8115253,14559,3
6060,14559,5
9659,14559,5
9701,14559,5
9720,14559,5
9724,14559,5
10288,14559,5
11565,14559,5
4927,17316,5
9633,17316,5
9704,17316,5
15501,17316,5
8068445,17316,5
6060,17316,5
9659,17316,4
9701,17316,3
9720,17316,3
9724,17316,2
10288,17316,5
11565,17316,4
14559,17316,5
9633,376123,5
9704,376123,5
15501,376123,5
989,376123,1
8068445,376123,5
6060,376123,5
9659,376123,5
9701,376123,5
9720,376123,5
9724,376123,5
10288,376123,5
11565,376123,5
14559,376123,5
17316,376123,4
8949,384039,2
9633,384039,5
9704,384039,5
15501,384039,5
8068445,384039,5
6060,384039,5
9659,384039,5
9701,384039,5
9720,384039,5
9724,384039,5
10288,384039,5
11565,384039,5
14559,384039,5
17316,384039,5
376123,384039,5
8949,1205354,4
9633,1205354,5
9704,1205354,5
15501,1205354,5
8068445,1205354,5
6060,1205354,5
9659,1205354,5
9701,1205354,5
9720,1205354,5
9724,1205354,5
10288,1205354,5
11565,1205354,5
14559,1205354,5
17316,1205354,5
376123,1205354,5
384039,1205354,5
8949,8084737,3
9633,8084737,5
9704,8084737,5
15501,8084737,5
8068445,8084737,5
6060,8084737,5
9659,8084737,5
9701,8084737,5
9720,8084737,5
9724,8084737,5
10288,8084737,5
11565,8084737,5
14559,8084737,5
17316,8084737,5
376123,8084737,5
384039,8084737,5
1205354,8084737,5
8949,8120066,2
9633,8120066,5
9704,8120066,5
15501,8120066,5
8068445,8120066,5
6060,8120066,5
9659,8120066,5
9701,8120066,5
9720,8120066,5
9724,8120066,5
10288,8120066,5
11565,8120066,5
14559,8120066,5
17316,8120066,5
376123,8120066,5
384039,8120066,5
1205354,8120066,5
8084737,8120066,5
8949,8120081,1
9633,8120081,5
9704,8120081,5
15501,8120081,5
8068445,8120081,5
6060,8120081,5
9659,8120081,5
9701,8120081,5
9720,8120081,5
9724,8120081,5
10288,8120081,5
11565,8120081,5
14559,8120081,5
17316,8120081,5
376123,8120081,5
384039,8120081,5
1205354,8120081,5
8084737,8120081,5
8120066,8120081,5
4927,2033,3
4927,8937,5
8356,8937,1
21434,8937,3
3192,8937,1
1389,8937,1
12556,8937,1
10443,8937,2
8123588,16050,4
3192,16050,1
16044,16050,5
8938,16050,2
12556,16050,1
2033,16050,2
8937,16050,2
4927,8089880,3
8123588,8089880,4
21434,8089880,1
3192,8089880,1
16044,8089880,5
8938,8089880,4
12556,8089880,3
2033,8089880,2
8937,8089880,3
16050,8089880,5
5989,12095611,1
8123588,12095611,3
3192,12095611,1
16044,12095611,5
8938,12095611,2
2033,12095611,3
8937,12095611,2
16050,12095611,5
8089880,12095611,5
15872,15505,2
40619013,15505,5
10459,15505,4
4927,8952,5
8068445,8952,3
4927,8934,5
15872,8934,5
7954692,8934,1
20263,8934,2
7946326,8934,1
4927,11901,5
15872,11901,4
856,11901,3
5989,11901,1
8944,11901,2
8356,11901,2
21434,11901,2
16054,11901,3
3192,11901,5
16629269,11901,3
1389,11901,1
10443,11901,1
4927,33,5
9633,33,1
9704,33,4
15501,33,5
8068445,33,5
21434,33,2
16044,33,1
171,33,3
9659,33,1
9701,33,1
14559,33,1
17316,33,1
376123,33,1
384039,33,2
1205354,33,5
8084737,33,5
8120066,33,3
8120081,33,2
16050,33,1
8089880,33,2
12095611,33,2
4927,8377,5
8068445,8377,4
856,8377,1
21434,8377,2
16054,8377,3
33,8377,3
8949,21124,2
9633,21124,5
9704,21124,5
15501,21124,5
8068445,21124,5
6060,21124,5
9659,21124,5
9701,21124,5
9720,21124,5
9724,21124,3
10288,21124,5
11565,21124,5
14559,21124,5
17316,21124,5
376123,21124,5
384039,21124,5
1205354,21124,5
8084737,21124,5
8120066,21124,5
8120081,21124,5
33,21124,5
4927,1844,5
8949,1844,4
856,1844,1
21434,1844,3
61441,1844,3
741,1844,4
7946326,1844,2
2218,1844,1
9659,1844,1
4927,4590,5
8356,4590,2
21434,4590,1
16054,4590,3
741,4590,3
7946326,4590,3
2218,4590,1
8377,4590,2
4927,7942826,3
856,7942826,3
8944,7942826,1
8356,7942826,1
21434,7942826,2
16629269,7942826,1
61441,7942826,5
741,7942826,5
12556,7942826,2
2218,7942826,3
8937,7942826,2
16050,7942826,5
8089880,7942826,5
12095611,7942826,5
1844,7942826,5
4590,7942826,1
4927,8143364,5
9704,8143364,1
856,8143364,5
8944,8143364,2
8356,8143364,2
21434,8143364,5
2433,8143364,3
61441,8143364,5
1389,8143364,1
741,8143364,5
8938,8143364,1
12556,8143364,3
528,8143364,5
2218,8143364,5
2692,8143364,5
8935,8143364,2
9659,8143364,3
9701,8143364,2
17316,8143364,1
376123,8143364,2
2033,8143364,1
8937,8143364,2
8934,8143364,1
33,8143364,2
1844,8143364,5
4590,8143364,3
7942826,8143364,5
4927,437,5
8949,437,3
7954692,437,4
8356,437,2
21434,437,5
16629269,437,1
7946326,437,5
12556,437,1
4927,2116,5
8949,2116,1
8356,2116,1
21434,2116,3
16629269,2116,1
10443,2116,1
11901,2116,2
8143364,2116,1
4927,7975870,5
7954692,7975870,5
8356,7975870,1
21434,7975870,3
7946326,7975870,2
12556,7975870,3
171,7975870,1
2692,7975870,1
8089880,7975870,2
437,7975870,5
4927,8948,5
15872,8948,2
5989,8948,3
15872,7942531,5
5989,7942531,5
8944,7942531,4
8123588,7942531,5
3192,7942531,1
2318,7942531,2
15505,7942531,3
8948,7942531,3
4927,8450239,5
5989,8450239,1
3192,8450239,1
7942531,8450239,1
15872,13795529,5
5989,13795529,5
8944,13795529,1
8123588,13795529,4
3192,13795529,1
2433,13795529,2
2318,13795529,5
8938,13795529,1
8948,13795529,4
7942531,13795529,5
8450239,13795529,1
4927,3797,5
15872,3797,5
856,3797,2
8123588,3797,1
8356,3797,5
8388,3797,2
21434,3797,3
16054,3797,4
10459,3797,3
61441,3797,5
741,3797,5
12556,3797,1
8935,3797,5
10443,3797,1
4590,3797,4
437,3797,1
4927,8947,5
21434,8947,2
2318,8947,1
8938,8947,1
3797,8947,3
4927,9996,5
8949,9996,1
10459,9996,1
61441,9996,2
741,9996,4
437,9996,1
3797,9996,5
4927,10289,5
741,10289,3
17316,10289,1
8143364,10289,1
3797,10289,5
9996,10289,3
4927,7954476,5
856,7954476,3
8123588,7954476,2
8356,7954476,2
8388,7954476,4
21434,7954476,3
16054,7954476,3
10459,7954476,3
2433,7954476,1
16044,7954476,1
61441,7954476,3
741,7954476,5
8935,7954476,2
10443,7954476,2
17316,7954476,1
4590,7954476,3
437,7954476,2
3797,7954476,5
8947,7954476,3
9996,7954476,5
10289,7954476,5
4927,4756,5
40619013,4756,1
8949,4756,1
21434,4756,4
8115253,4756,1
7946326,4756,1
7954476,4756,1
40619013,1569,5
8115253,1569,5
4927,5771,5
856,5771,1
8356,5771,2
2218,5771,1
7942826,5771,2
8143364,5771,1
4927,16048,5
2218,16048,1
17316,16048,1
4590,16048,2
3797,16048,1
7954476,16048,2
5771,16048,2
4927,7952331,5
8949,7952331,1
8356,7952331,1
7946326,7952331,4
2218,7952331,2
4590,7952331,2
4927,5438,5
40619013,5438,5
10459,5438,2
741,5438,1
3797,5438,5
7954476,5438,5
4927,8040,5
40619013,8040,2
4927,6245,5
5989,6245,1
16629269,6245,3
10459,6245,4
13338,6245,1
4927,9588,5
9704,9588,1
15501,9588,1
8068445,9588,4
8388,9588,3
21434,9588,2
10459,9588,1
2433,9588,1
171,9588,4
528,9588,1
2692,9588,2
8935,9588,2
1205354,9588,1
8120066,9588,1
8934,9588,1
33,9588,5
21124,9588,2
8143364,9588,5
4927,7948163,5
40619013,7948163,5
5989,7948163,1
8388,7948163,5
10459,7948163,5
16044,7948163,1
171,7948163,2
10443,7948163,1
13338,7948163,1
15505,7948163,5
33,7948163,3
5438,7948163,1
6245,7948163,4
9588,7948163,5
4927,7948917,5
8388,7948917,5
21434,7948917,4
16054,7948917,1
16629269,7948917,1
10459,7948917,4
16044,7948917,4
741,7948917,2
171,7948917,2
8935,7948917,2
10443,7948917,1
33,7948917,1
437,7948917,1
3797,7948917,5
9996,7948917,3
10289,7948917,1
7954476,7948917,5
9588,7948917,5
7948163,7948917,5
4927,7956800,5
8388,7956800,2
10459,7956800,5
8115253,7956800,2
13338,7956800,3
3797,7956800,4
7954476,7956800,2
6245,7956800,1
7948163,7956800,5
7948917,7956800,3
4927,8001616,5
8388,8001616,5
16629269,8001616,1
10459,8001616,5
16044,8001616,2
8115253,8001616,1
8002337,8001616,2
171,8001616,3
13338,8001616,1
15505,8001616,1
33,8001616,4
5771,8001616,1
6245,8001616,3
9588,8001616,5
7948163,8001616,5
7948917,8001616,5
7956800,8001616,5
4927,24865629,5
989,24865629,1
8388,24865629,5
21434,24865629,3
10459,24865629,5
16044,24865629,3
171,24865629,3
8935,24865629,1
10443,24865629,1
13338,24865629,4
15505,24865629,3
33,24865629,3
8377,24865629,1
437,24865629,1
3797,24865629,1
7954476,24865629,2
6245,24865629,4
9588,24865629,5
7948163,24865629,5
7948917,24865629,5
7956800,24865629,5
8001616,24865629,5
4927,28143961,5
8388,28143961,2
10459,28143961,4
8002337,28143961,5
13338,28143961,2
15505,28143961,2
33,28143961,1
9588,28143961,2
7948163,28143961,5
7948917,28143961,3
7956800,28143961,4
8001616,28143961,5
24865629,28143961,5
4927,3823,2
15872,3823,5
8949,3823,5
7954692,3823,5
8356,3823,1
21434,3823,3
2433,3823,1
61441,3823,1
7946326,3823,5
12556,3823,1
8934,3823,1
1844,3823,3
437,3823,5
3797,3823,3
10289,3823,1
7952331,3823,3
5438,3823,1
4927,8194282,2
8949,8194282,5
7954692,8194282,3
8356,8194282,1
21434,8194282,5
2433,8194282,1
61441,8194282,1
7946326,8194282,5
12556,8194282,1
8937,8194282,1
1844,8194282,3
437,8194282,5
2116,8194282,1
7975870,8194282,3
10289,8194282,1
7952331,8194282,4
5438,8194282,1
3823,8194282,5
4927,1683,5
8356,1683,1
21434,1683,1
61441,1683,1
3797,1683,1
5438,1683,1
3823,1683,1
989,7957746,1
5989,7957746,1
10459,7957746,3
2318,7957746,1
13338,7957746,1
13795529,7957746,5
9996,7957746,3
10289,7957746,1
1683,7957746,3
10459,8721,2
10443,8721,2
13338,8721,3
8937,8721,1
13795529,8721,1
7948163,8721,5
7956800,8721,2
28143961,8721,3
7957746,8721,3
4927,7961880,1
9633,7961880,1
15501,7961880,1
8068445,7961880,3
16054,7961880,4
1205354,7961880,1
33,7961880,1
21124,7961880,1
9588,7961880,1
4927,259,5
7946326,259,1
3823,259,1
8194282,259,1
15872,7946454,4
7946326,7946454,5
13338,7946454,3
3797,7946454,4
7956800,7946454,3
24865629,7946454,1
3823,7946454,1
8721,7946454,4
8949,7962872,2
7954692,7962872,3
21434,7962872,2
16629269,7962872,5
7946326,7962872,5
2692,7962872,2
437,7962872,5
2116,7962872,1
7975870,7962872,4
7952331,7962872,2
3823,7962872,5
8194282,7962872,5
7946454,7962872,4
4927,40574920,5
9633,40574920,3
9704,40574920,5
15501,40574920,2
989,40574920,5
6060,40574920,1
9659,40574920,5
9701,40574920,5
9720,40574920,5
10288,40574920,1
11565,40574920,1
376123,40574920,5
384039,40574920,1
1205354,40574920,2
8084737,40574920,1
8120066,40574920,1
7942826,40574920,1
8143364,40574920,3
2033,6074,1
8934,6074,1
21124,6074,4
10289,6074,2
4927,298,5
1389,298,1
13795529,298,1
16629269,18671,5
8115253,18671,1
13795529,18671,1
10289,18671,1
7954476,18671,2
1569,18671,1
7948917,18671,5
6074,18671,4
15872,7942472,5
8388,7942472,1
2433,7942472,1
741,7942472,3
13795529,7942472,3
3797,7942472,5
9996,7942472,2
10289,7942472,3
7954476,7942472,5
16048,7942472,1
9588,7942472,1
7948917,7942472,5
6074,7942472,3
18671,7942472,5
15872,7951411,5
40619013,7951411,5
20263,7951411,2
2433,7951411,1
1389,7951411,1
8948,7951411,1
13795529,7951411,5
10289,7951411,1
4756,7951411,1
5771,7951411,1
8040,7951411,1
9588,7951411,3
7948163,7951411,4
7948917,7951411,3
6074,7951411,4
298,7951411,1
18671,7951411,5
7942472,7951411,5
4927,95,5
741,95,1
2692,95,5
3797,95,1
9996,95,1
7954476,95,2
7948917,95,1
18671,95,1
4927,914,5
8949,914,1
8356,914,1
7946326,914,1
2692,914,3
7952331,914,3
3823,914,4
8194282,914,3
95,914,5
4927,2584163,5
8068445,2584163,2
2692,2584163,5
21124,2584163,2
95,2584163,5
914,2584163,5
4927,207,5
40619013,207,1
856,207,1
8356,207,4
21434,207,3
16054,207,1
8935,207,1
11901,207,1
2116,207,1
3797,207,3
7954476,207,2
3823,207,1
1683,207,1
5989,16179,1
8002337,16179,1
7942531,16179,1
8721,16179,1
4927,8942,5
21434,8942,3
3797,8942,3
7954476,8942,2
3823,8942,1
40619013,8181,3
7948917,8181,1
259,8181,1
6074,8181,2
18671,8181,5
7942472,8181,2
7951411,8181,5
95,8181,2
4927,23415792,5
8123588,23415792,1
8388,23415792,3
21434,23415792,1
10459,23415792,4
16044,23415792,5
171,23415792,2
13338,23415792,2
16050,23415792,4
8089880,23415792,5
12095611,23415792,4
15505,23415792,2
33,23415792,4
6245,23415792,1
9588,23415792,4
7948163,23415792,5
7948917,23415792,5
7956800,23415792,3
8001616,23415792,5
24865629,23415792,5
28143961,23415792,5
4927,1864,5
40619013,1864,1
741,1864,3
3797,1864,5
9996,1864,1
7954476,1864,5
7942472,1864,1
7951411,1864,1
95,1864,5
914,1864,3
2584163,1864,1
15872,8954,3
40619013,8954,5
20263,8954,2
8115253,8954,2
7951411,8954,1
4927,7019,5
40619013,7019,5
16054,7019,1
10459,7019,4
16044,7019,1
8115253,7019,5
13338,7019,5
1569,7019,4
7948163,7019,3
7956800,7019,4
8001616,7019,5
24865629,7019,5
28143961,7019,2
7957746,7019,1
7961880,7019,3
23415792,7019,2
989,7505,1
16050,7505,5
8089880,7505,5
12095611,7505,5
7957746,7505,4
8721,7505,5
4927,1692,5
856,1692,1
741,1692,1
2692,1692,2
1844,1692,1
7942826,1692,2
8143364,1692,5
9588,1692,2
3823,1692,1
8194282,1692,1
18671,1692,1
7951411,1692,1
95,1692,4
914,1692,3
1864,1692,2
4927,2615,5
21434,2615,2
4927,3412,5
21434,3412,1
61441,3412,1
741,3412,2
12556,3412,1
8937,3412,1
8089880,3412,1
1844,3412,3
7942826,3412,4
8143364,3412,5
4927,7953399,5
8949,7953399,2
856,7953399,2
21434,7953399,2
61441,7953399,2
741,7953399,5
7946326,7953399,3
12556,7953399,2
2218,7953399,2
16050,7953399,3
8089880,7953399,1
12095611,7953399,3
1844,7953399,5
7942826,7953399,5
8143364,7953399,5
437,7953399,1
3823,7953399,5
8194282,7953399,5
1692,7953399,2
2615,7953399,1
3412,7953399,3
40619013,1338,5
8356,1338,1
7946326,1338,5
437,1338,3
4756,1338,1
7952331,1338,1
3823,1338,1
8194282,1338,5
7962872,1338,5
6074,1338,2
8181,1338,2
5989,7955556,5
8944,7955556,1
8123588,7955556,2
3192,7955556,1
2318,7955556,3
8948,7955556,3
7942531,7955556,5
13795529,7955556,5
9996,7955556,3
7957746,7955556,5
16179,7955556,2
8181,7955556,2
15872,7998333,1
5989,7998333,4
8944,7998333,3
8123588,7998333,2
3192,7998333,2
2318,7998333,2
2692,7998333,3
11901,7998333,1
8948,7998333,2
7942531,7998333,5
8450239,7998333,1
13795529,7998333,5
259,7998333,1
2584163,7998333,1
8181,7998333,1
7953399,7998333,1
7955556,7998333,5
4927,7175,5
2692,7175,1
3823,7175,1
7957746,7175,1
95,7175,1
914,7175,1
1692,7175,2
4927,2131,5
21434,2131,5
2433,2131,1
741,2131,3
171,2131,2
8143364,2131,1
3797,2131,5
9996,2131,2
7954476,2131,5
9588,2131,1
7948917,2131,4
24865629,2131,2
7942472,2131,1
4927,8145204,5
856,8145204,3
8388,8145204,3
21434,8145204,1
16054,8145204,1
10459,8145204,3
16044,8145204,1
61441,8145204,2
741,8145204,5
8935,8145204,2
17316,8145204,1
4590,8145204,2
3797,8145204,5
8947,8145204,2
9996,8145204,5
10289,8145204,5
7954476,8145204,5
5438,8145204,3
7948917,8145204,5
7956800,8145204,1
24865629,8145204,1
7942472,8145204,4
95,8145204,2
1864,8145204,5
2131,8145204,3
4927,24865900,5
741,24865900,2
3797,24865900,5
7954476,24865900,5
95,24865900,1
1864,24865900,1
8145204,24865900,4
4927,24865929,5
856,24865929,2
8356,24865929,3
8388,24865929,2
2433,24865929,4
1389,24865929,1
741,24865929,3
2218,24865929,3
2692,24865929,2
8935,24865929,1
10443,24865929,1
4590,24865929,2
7942826,24865929,1
8143364,24865929,3
3797,24865929,5
9996,24865929,3
10289,24865929,3
7954476,24865929,5
5771,24865929,2
16048,24865929,5
7952331,24865929,2
7948917,24865929,3
18671,24865929,2
7942472,24865929,5
7951411,24865929,3
2131,24865929,3
8145204,24865929,5
4927,8003652,5
40619013,8003652,5
16629269,8003652,1
8115253,8003652,5
8002337,8003652,3
1569,8003652,3
7948163,8003652,2
7948917,8003652,1
7956800,8003652,1
8001616,8003652,5
24865629,8003652,3
28143961,8003652,5
7961880,8003652,2
23415792,8003652,3
7019,8003652,5
40619013,37444507,5
10459,37444507,1
8115253,37444507,5
13338,37444507,1
15505,37444507,4
7942531,37444507,1
1569,37444507,3
7957746,37444507,1
7019,37444507,1
4927,2427,5
8949,2427,3
8068445,2427,2
856,2427,1
8356,2427,2
8388,2427,1
2433,2427,4
