"node_1","node_2","edge"
4932,1511954,3
8593325,1511954,5
40627755,8964,2
4932,8966,1
1511954,8966,5
8962,6313432,5
20264,6313432,3
40627755,8965,5
8955,8965,1
6313432,8965,2
4931,8599582,5
4932,8609555,3
8600225,8609555,2
4932,8604230,3
1511954,8604230,1
20264,8604230,3
4932,8615666,5
1511954,8615666,4
20264,8615666,4
8966,8615666,2
8600225,8615666,3
8609555,8615666,5
8644552,8598214,5
40627755,2147,5
8600225,2147,1
21087,2147,1
8604218,1116,5
40627755,1116,5
8964,1116,3
8956,1116,2
8955,1116,1
8965,1116,2
2147,1116,5
8604218,16056,1
21087,16056,5
2147,16056,3
1116,16056,5
8964,40627751,3
8644552,40627751,3
4931,6320,5
8599582,6320,5
4931,2818,3
40627755,2818,2
8599582,2818,5
2147,2818,2
1116,2818,4
16056,2818,1
6320,2818,5
8966,5439,1
8955,5439,4
1116,5439,1
6320,5439,1
2818,5439,1
8604218,8961,2
21087,8961,5
2147,8961,3
1116,8961,2
16056,8961,5
6320,8961,1
40627755,21486,5
8604230,21486,3
2147,21486,5
1116,21486,2
2818,21486,1
8964,8671078,2
8600225,8671078,4
8644552,8671078,5
2147,8671078,5
1116,8671078,1
16056,8671078,2
40627751,8671078,5
2818,8671078,1
8961,8671078,3
8604218,40627750,5
8965,40627750,1
1116,40627750,5
16056,40627750,5
2818,40627750,2
5439,40627750,2
8961,40627750,5
6313432,8963,2
21087,8963,4
2147,8963,2
1116,8963,3
16056,8963,2
8961,8963,5
40627750,8963,2
8604218,900,3
40627755,900,5
8964,900,5
8644552,900,1
8965,900,1
2147,900,5
1116,900,5
16056,900,5
40627751,900,1
2818,900,3
8961,900,5
21486,900,1
8671078,900,5
40627750,900,5
8963,900,2
8962,4092,4
8964,4092,1
8600225,4092,1
6313432,4092,5
2147,4092,5
1116,4092,5
16056,4092,2
2818,4092,1
8961,4092,1
21486,4092,1
8671078,4092,1
8963,4092,5
900,4092,4
8962,29354902,5
6313432,29354902,5
2147,29354902,1
1116,29354902,2
8961,29354902,1
8963,29354902,5
4092,29354902,5
4931,8353,5
8599582,8353,5
1116,8353,2
6320,8353,5
2818,8353,5
5439,8353,2
29354902,8353,2
8955,8599608,5
8644552,8599608,2
8965,8599608,4
5439,8599608,5
8604218,8619749,1
1511954,8619749,4
1116,8619749,3
5439,8619749,2
40627750,8619749,3
2147,8248,2
1116,8248,5
16056,8248,3
2818,8248,3
5439,8248,1
8961,8248,3
40627750,8248,3
8963,8248,2
900,8248,4
4092,8248,2
29354902,8248,3
8353,8248,4
8962,18804,1
6313432,18804,5
5439,18804,1
29354902,18804,1
8353,18804,1
8604218,8957,2
40627755,8957,1
8964,8957,1
8956,8957,1
8955,8957,1
8965,8957,3
2147,8957,4
1116,8957,5
16056,8957,5
40627751,8957,1
2818,8957,2
8961,8957,3
8671078,8957,2
40627750,8957,5
8963,8957,3
900,8957,5
4092,8957,3
29354902,8957,3
8619749,8957,2
8248,8957,4
8593325,8593355,5
1511954,8593355,3
20264,8593355,4
8609555,8593355,4
8615666,8593355,5
8600225,1854,5
8599582,1854,2
2818,1854,1
4092,1854,2
8964,8664796,1
6313432,8664796,2
8961,8664796,1
900,8664796,1
4092,8664796,3
1854,8664796,3
8604218,7313,2
40627755,7313,5
8964,7313,5
2147,7313,2
1116,7313,5
16056,7313,1
2818,7313,3
5439,7313,2
8961,7313,2
21486,7313,1
40627750,7313,5
900,7313,5
4092,7313,1
29354902,7313,1
8353,7313,1
8248,7313,5
8957,7313,2
1854,7313,1
8664796,7313,3
40627755,8599612,1
8962,8599612,1
8955,8599612,2
6313432,8599612,3
2147,8599612,1
1116,8599612,5
16056,8599612,1
2818,8599612,1
5439,8599612,1
8961,8599612,1
21486,8599612,1
40627750,8599612,2
8963,8599612,1
900,8599612,3
4092,8599612,3
29354902,8599612,3
8599608,8599612,2
8248,8599612,3
8957,8599612,2
7313,8599612,3
8593325,17574342,5
1116,17574342,5
40627750,17574342,5
900,17574342,3
4092,17574342,1
8248,17574342,2
7313,17574342,4
40627755,435,3
8964,435,1
8966,435,2
2147,435,3
1116,435,1
16056,435,1
2818,435,1
5439,435,1
8961,435,4
8671078,435,1
40627750,435,1
8963,435,1
900,435,1
4092,435,2
29354902,435,1
8248,435,1
8957,435,3
8664796,435,1
7313,435,1
8599612,435,1
2147,40619155,3
40627751,40619155,1
8961,40619155,1
8963,40619155,1
4092,40619155,2
29354902,40619155,3
8248,40619155,2
8957,40619155,4
435,40619155,4
4931,8959,1
8599582,8959,3
1116,8959,1
16056,8959,3
2818,8959,1
40627750,8959,3
29354902,8959,1
8248,8959,4
8957,8959,3
8599612,8959,2
40619155,8959,3
8955,8619063,2
8599608,8619063,5
8664796,8619063,5
8599582,16673320,1
6320,16673320,2
8248,16673320,1
1854,16673320,1
435,16673320,2
40619155,16673320,1
8959,16673320,1
40627755,8607920,5
8964,8607920,1
2147,8607920,3
1116,8607920,5
16056,8607920,2
6320,8607920,1
2818,8607920,3
5439,8607920,1
8961,8607920,1
21486,8607920,2
40627750,8607920,1
900,8607920,5
4092,8607920,3
8353,8607920,1
8248,8607920,4
8957,8607920,1
1854,8607920,1
7313,8607920,5
8599612,8607920,3
17574342,8607920,1
435,8607920,1
8959,8607920,1
40627755,372,5
8964,372,1
2147,372,4
1116,372,3
2818,372,3
5439,372,1
8961,372,1
21486,372,3
40627750,372,1
900,372,3
29354902,372,1
8248,372,2
8957,372,1
7313,372,5
8599612,372,2
435,372,2
16673320,372,1
8607920,372,3
40627755,8594622,5
2818,8594622,1
21486,8594622,1
900,8594622,2
18804,8594622,1
1854,8594622,1
7313,8594622,5
8607920,8594622,2
372,8594622,5
40627751,24730394,2
5439,24730394,1
8353,24730394,2
18804,24730394,2
1511954,21003,3
8599582,21003,1
8604230,21003,1
8615666,21003,1
6320,21003,3
5439,21003,1
8671078,21003,1
8353,21003,1
8619749,21003,3
6313432,6275811,3
5439,6275811,2
8671078,6275811,2
900,6275811,1
4092,6275811,1
8599608,6275811,2
8248,6275811,1
7313,6275811,1
8599612,6275811,2
8607920,6275811,1
21003,6275811,1
40627755,8622106,5
8962,8622106,4
8955,8622106,3
6313432,8622106,5
8965,8622106,3
5439,8622106,1
4092,8622106,3
29354902,8622106,3
8599608,8622106,4
7313,8622106,2
8599612,8622106,2
17574342,8622106,1
8619063,8622106,2
8607920,8622106,1
372,8622106,1
8594622,8622106,3
6275811,8622106,1
8604218,8599593,2
40627755,8599593,5
1116,8599593,5
8961,8599593,1
40627750,8599593,3
8963,8599593,2
900,8599593,5
29354902,8599593,2
8353,8599593,1
8619749,8599593,2
8248,8599593,5
8957,8599593,3
7313,8599593,4
8959,8599593,1
372,8599593,1
8604218,8640722,3
40627755,8640722,5
1511954,8640722,2
8966,8640722,1
1116,8640722,5
16056,8640722,2
2818,8640722,1
5439,8640722,1
8961,8640722,2
40627750,8640722,5
900,8640722,5
8353,8640722,2
8619749,8640722,3
8248,8640722,2
8957,8640722,2
7313,8640722,4
8599612,8640722,1
435,8640722,1
8607920,8640722,1
372,8640722,2
8599593,8640722,4
8964,29313711,1
6320,29313711,5
8961,29313711,1
8353,29313711,3
16673320,29313711,1
8604230,2034,3
2147,2034,3
1116,2034,5
16056,2034,3
2818,2034,1
8671078,2034,2
40627750,2034,2
900,2034,5
4092,2034,3
8248,2034,3
8957,2034,2
7313,2034,2
8599612,2034,2
17574342,2034,3
8959,2034,1
8607920,2034,3
8599593,2034,1
8604218,2322,5
2147,2322,1
