"node_1","node_2","edge"
4931,16057,5
8594520,16057,5
8608044,170434,5
16062,170434,5
4931,435,4
8966,435,2
16057,435,5
8599593,435,2
16062,435,3
170434,435,1
16057,8608093,5
8600818,8608093,2
8608093,8962,2
4931,8600234,3
16057,8600234,5
16062,8600234,5
170434,8600234,1
435,8600234,5
2566,8601862,5
18481,8601862,5
2566,40619174,5
8601862,40619174,5
8599593,40627749,5
435,40627749,2
8600234,40627749,5
8599593,8958,1
435,8958,1
8599593,900,2
8962,900,2
8600234,900,3
8958,900,5
8966,372,5
16057,372,1
8599593,372,2
435,372,5
8608093,372,2
40627749,372,2
8958,372,2
8966,28113824,5
8600818,28113824,5
8599593,28113824,5
435,28113824,5
8956,28113824,2
8608093,28113824,5
8601862,28113824,5
8958,28113824,5
900,28113824,2
372,28113824,5
16062,16058,1
900,16058,2
4932,40627753,5
8601862,40627753,5
4931,8609713,5
16057,8609713,5
435,8609713,5
8608093,8609713,4
8962,8609713,3
8600234,8609713,5
40627749,8609713,5
372,8609713,1
28113824,8609713,2
40627749,8955,1
28113824,8955,1
8608093,8964,2
8609713,8964,2
372,8965,1
28113824,8965,3
8600818,8957,1
8599593,8957,3
8608093,8957,5
8600234,8957,2
40627749,8957,5
8958,8957,3
900,8957,1
372,8957,1
28113824,8957,5
16058,8957,2
8609713,8957,5
4931,8616683,5
16057,8616683,5
435,8616683,5
8962,8616683,1
8600234,8616683,5
8609713,8616683,5
8966,8593325,5
2566,8593325,5
8599593,8593325,1
435,8593325,3
8601862,8593325,5
40619174,8593325,5
372,8593325,5
28113824,8593325,5
16062,8645248,5
16058,8645248,2
8599593,8959,2
8600234,8959,1
40627749,8959,5
372,8959,1
28113824,8959,1
8609713,8959,2
8957,8959,1
40627749,8963,3
8608093,21087,2
40627749,21087,5
900,21087,1
372,21087,1
28113824,21087,1
8609713,21087,2
8959,21087,1
8599593,32089609,1
40619174,32089609,3
8965,32089609,3
8959,32089609,1
8963,32089609,2
8600818,1116,1
435,1116,1
8608093,1116,2
8962,1116,3
8600234,1116,2
8958,1116,2
900,1116,5
372,1116,1
28113824,1116,3
16058,1116,1
8609713,1116,5
8957,1116,2
21087,1116,1
8599593,2034,2
40627749,2034,5
8958,2034,3
900,2034,4
28113824,2034,2
16058,2034,2
8609713,2034,1
8957,2034,5
21087,2034,1
1116,2034,2
8599593,8599851,1
8962,8599851,1
8600234,8599851,2
8958,8599851,1
900,8599851,5
16058,8599851,4
8609713,8599851,3
1116,8599851,5
8966,17052,4
8599593,17052,3
435,17052,5
8600234,17052,2
8958,17052,3
372,17052,5
28113824,17052,5
8609713,17052,1
8965,17052,1
8957,17052,1
8593325,17052,3
8959,17052,2
8963,17052,1
21087,17052,2
32089609,17052,2
1116,17052,3
8966,21081,1
8599593,21081,2
435,21081,2
8608093,21081,4
40627749,21081,2
8958,21081,1
900,21081,1
372,21081,3
28113824,21081,5
8609713,21081,2
8957,21081,2
8593325,21081,2
21087,21081,1
1116,21081,1
8599851,21081,1
17052,21081,3
16057,8619749,1
8599593,8619749,1
435,8619749,3
8608093,8619749,2
8600234,8619749,1
40627749,8619749,1
900,8619749,1
372,8619749,2
28113824,8619749,5
8609713,8619749,2
8593325,8619749,1
8645248,8619749,2
8959,8619749,1
17052,8619749,2
21081,8619749,2
4932,8602668,4
8601862,8602668,5
40627753,8602668,5
8956,8610476,1
8600234,8610476,1
40627749,8610476,5
16058,8610476,2
8609713,8610476,5
8955,8610476,2
8964,8610476,1
8957,8610476,5
8959,8610476,1
21087,8610476,3
1116,8610476,1
8599851,8610476,5
21081,8610476,2
4932,8609458,1
16062,8609458,5
8608093,8609458,3
372,8609458,1
16058,8609458,5
8955,8609458,1
8645248,8609458,5
8619749,8609458,2
2566,18804,2
40619174,18804,2
28113824,18804,2
8609713,18804,1
8957,18804,1
2034,18804,1
17052,18804,1
8966,17056,4
8600818,17056,3
8599593,17056,1
16062,17056,2
170434,17056,3
8956,17056,1
40627749,17056,1
28113824,17056,1
8609713,17056,2
8957,17056,3
1116,17056,1
2034,17056,2
8599851,17056,4
8610476,17056,5
8966,1935773,1
2566,1935773,3
16062,1935773,2
170434,1935773,5
40619174,1935773,1
28113824,1935773,1
40627753,1935773,1
8593325,1935773,4
17056,1935773,1
40627749,5439,5
8645248,5439,1
8959,5439,1
32089609,5439,1
8619749,5439,1
8610476,5439,1
8599593,21003,2
8600234,21003,1
40627749,21003,4
8609713,21003,1
8959,21003,1
32089609,21003,1
2034,21003,1
17052,21003,1
8619749,21003,1
17056,21003,2
5439,21003,2
4931,4092,2
16057,4092,5
435,4092,4
8608093,4092,5
8962,4092,2
8600234,4092,5
40627749,4092,5
372,4092,2
28113824,4092,3
8609713,4092,5
8964,4092,1
8957,4092,3
8616683,4092,3
8959,4092,1
21087,4092,2
1116,4092,4
17052,4092,1
8619749,4092,1
8610476,4092,3
21003,4092,1
8608093,21486,1
40627749,21486,1
900,21486,2
8609713,21486,1
1116,21486,2
8599851,21486,2
8610476,21486,1
4092,21486,1
8599593,8248,3
8608093,8248,1
40627749,8248,5
900,8248,2
16058,8248,3
8609713,8248,1
8965,8248,2
8957,8248,3
21087,8248,2
32089609,8248,2
1116,8248,1
2034,8248,4
8599851,8248,3
17052,8248,1
8610476,8248,3
17056,8248,1
21003,8248,1
4092,8248,1
8608093,2147,2
40627749,2147,1
900,2147,2
8609713,2147,3
8957,2147,1
32089609,2147,1
1116,2147,2
8599851,2147,3
17052,2147,1
8610476,2147,2
4092,2147,1
8248,2147,2
2566,2633,1
8600234,2633,1
28113824,2633,5
8955,2633,1
8957,2633,3
8593325,2633,1
8959,2633,1
17052,2633,5
21081,2633,3
8619749,2633,2
8602668,2633,3
18804,2633,3
5439,2633,2
21003,2633,3
8966,2818,3
16057,2818,1
8599593,2818,1
435,2818,1
8608093,2818,5
18481,2818,1
40627749,2818,3
372,2818,5
28113824,2818,5
8593325,2818,2
21087,2818,1
17052,2818,2
21081,2818,2
8619749,2818,3
8609458,2818,1
4092,2818,2
8600818,14177,1
8608093,14177,1
40627749,14177,5
900,14177,2
28113824,14177,3
16058,14177,2
8609713,14177,5
8964,14177,1
8965,14177,2
8957,14177,4
21087,14177,3
32089609,14177,2
1116,14177,3
2034,14177,3
8599851,14177,3
8610476,14177,5
17056,14177,2
5439,14177,1
4092,14177,3
21486,14177,1
8248,14177,5
2147,14177,2
8599593,8608358,1
40619174,8608358,1
16058,8608358,1
8965,8608358,3
8645248,8608358,1
8959,8608358,1
8963,8608358,1
32089609,8608358,5
8610476,8608358,1
8609458,8608358,1
21003,8608358,1
8248,8608358,2
2147,8608358,1
14177,8608358,1
8966,28297038,3
8600818,28297038,4
8599593,28297038,5
435,28297038,2
8956,28297038,1
8608093,28297038,2
40627749,28297038,1
8958,28297038,5
900,28297038,1
372,28297038,5
28113824,28297038,5
16058,28297038,2
8609713,28297038,3
8965,28297038,3
8957,28297038,5
