"node_1","node_2","edge"
4934,18248,5
4934,16527,5
18248,16527,5
16527,20170,3
4934,20690,5
16527,20690,5
20170,20690,5
18248,9145,2
4933,1844,5
20170,898,5
20690,898,5
4934,19412,5
16527,19412,5
4010,19412,5
20170,19412,5
20690,19412,5
20265,19412,4
898,19412,5
898,27642843,4
4933,6703,2
27642843,9142,5
16527,20607,5
20170,20607,5
20690,20607,5
898,20607,5
19412,20607,5
20170,20426,5
20690,20426,5
898,20426,5
19412,20426,5
20607,20426,5
3627,20238,5
20426,20238,5
20238,9152,5
3861,2710,5
3627,2710,5
9142,2710,5
37575099,2710,5
3433,2710,1
9152,2710,3
3861,61441,1
2710,61441,5
4934,2566,5
18248,2566,5
16527,2566,5
20170,2566,5
20690,2566,5
9145,2566,2
4455,2566,5
898,2566,5
19412,2566,5
27642843,2566,5
20607,2566,5
20426,2566,5
4933,9349599,5
16413,9349599,5
7112,9349599,5
1844,9349599,5
6703,9349599,5
4933,40619196,5
7112,40619196,5
6703,40619196,3
9349599,40619196,5
16413,9458120,5
7112,9458120,5
6703,9458120,5
9349599,9458120,5
40619196,9458120,5
18248,9153,2
3861,9153,5
9145,9153,3
3627,9153,5
4455,9153,5
9142,9153,5
37575099,9153,5
3433,9153,5
20238,9153,5
9152,9153,5
2710,9153,5
61441,9153,5
4672,9153,4
4934,20681,1
18248,20681,5
16527,20681,1
3861,20681,5
20170,20681,1
9145,20681,2
3627,20681,5
4455,20681,5
9142,20681,5
37575099,20681,5
3433,20681,4
20238,20681,5
9152,20681,5
2710,20681,5
61441,20681,5
2566,20681,5
4672,20681,3
9153,20681,5
20238,4766,3
9153,4766,2
20681,4766,5
3861,18805,1
20238,18805,3
2710,18805,5
2566,18805,3
9153,18805,5
20681,18805,5
3861,3412,2
27642843,3412,5
9142,3412,5
9152,3412,5
2710,3412,5
9153,3412,5
20681,3412,5
18805,3412,2
20690,3098,4
898,3098,1
19412,3098,5
20607,3098,2
9458120,3098,1
20170,19536,5
20690,19536,5
898,19536,5
19412,19536,5
20607,19536,5
20426,19536,5
20238,19536,5
2566,19536,5
9153,19536,3
20681,19536,5
16413,9067,5
3861,9067,2
1844,9067,5
27642843,9067,4
9152,9067,2
9349599,9067,5
3098,9067,1
3627,3840,2
20238,3840,5
9152,3840,5
2710,3840,2
61441,3840,1
9153,3840,5
20681,3840,5
3412,3840,4
19536,3840,1
18248,7207,1
7112,7207,5
27642843,7207,4
2566,7207,3
9349599,7207,5
40619196,7207,2
