"node_1","node_2","edge"
10444,1116,1
1020,1147463,5
1146533,1147463,2
10444,11914,5
1116,11914,5
1147463,13234,1
12541,13234,4
1116,1338,1
11914,1338,4
1116,13518,1
1116,13565,1
1146533,13565,2
11914,13565,5
13518,13565,5
12541,13621,5
13234,13621,4
12541,13880,5
13621,13880,5
10444,13934387,1
1116,13934387,2
11914,13934387,4
13621,13934387,2
10444,1396,3
1116,1396,3
11914,1396,3
12541,1396,3
1338,1396,3
13565,1396,1
13621,1396,3
1338,14,3
1396,14,2
1146533,14131,2
1338,14131,3
14,14131,3
1146533,145,3
12541,145,2
13518,145,2
13621,145,2
13880,145,2
1147463,15328,2
12541,15328,3
13518,15328,3
13621,15328,3
13880,15328,3
14131,15328,1
1147463,15873,3
14131,15873,2
145,15873,3
14,15885,2
145,15885,3
1396,16107,2
14,16107,4
15885,16107,5
12541,1625,2
1338,1625,3
13518,1625,2
13621,1625,2
13880,1625,2
13934387,1625,1
14,1625,3
14131,1625,3
145,1625,2
15885,1625,2
16107,1625,3
11914,16285,2
12541,16285,5
13518,16285,3
13621,16285,5
13880,16285,5
145,16285,3
15328,16285,3
1625,16285,2
11914,16402,3
12541,16402,3
13621,16402,3
13880,16402,3
1396,16402,3
15328,16402,3
15873,16402,2
16285,16402,3
11914,16404,2
12541,16404,2
13234,16404,1
13518,16404,2
13621,16404,2
13880,16404,2
14131,16404,2
145,16404,3
15885,16404,3
16107,16404,1
1625,16404,4
16285,16404,1
12541,16406,5
13234,16406,3
13518,16406,3
13621,16406,5
13880,16406,5
13934387,16406,2
145,16406,2
15328,16406,3
16285,16406,5
16402,16406,3
1020,16407,2
1147463,16407,2
12541,16407,3
13234,16407,1
1338,16407,1
13621,16407,3
13880,16407,3
1396,16407,3
14,16407,3
14131,16407,1
15328,16407,5
16285,16407,3
16402,16407,3
16406,16407,3
1020,16408,3
1147463,16408,3
12541,16408,2
13621,16408,2
13880,16408,2
14131,16408,2
145,16408,2
15873,16408,3
1625,16408,2
16285,16408,2
16404,16408,1
16406,16408,2
10444,16410,1
12541,16410,3
13518,16410,2
13565,16410,1
13621,16410,3
13880,16410,3
145,16410,3
15328,16410,3
15885,16410,2
16107,16410,1
16285,16410,3
16402,16410,3
16404,16410,3
16406,16410,3
16407,16410,3
1116,16411,3
13234,16411,3
13518,16411,3
13565,16411,1
13934387,16411,1
1625,16411,1
16406,16411,3
16410,16411,2
1116,16412,1
12541,16412,2
13234,16412,1
13621,16412,2
13880,16412,2
145,16412,2
1625,16412,3
16285,16412,2
16404,16412,2
16406,16412,2
16408,16412,2
16411,16412,3
1020,16415,2
1147463,16415,2
12541,16415,3
13234,16415,1
13621,16415,3
13880,16415,3
15328,16415,3
16285,16415,3
16402,16415,3
16406,16415,3
16407,16415,5
16410,16415,3
1020,16416,3
1146533,16416,2
1147463,16416,3
13234,16416,1
1338,16416,3
1396,16416,2
14,16416,2
16406,16416,2
16408,16416,3
1338,1692,3
1396,1692,3
14,1692,3
14131,1692,3
16107,1692,2
1625,1692,3
16407,1692,3
16410,1692,3
1020,1702,1
1116,1702,1
1146533,1702,1
1147463,1702,3
13234,1702,2
1338,1702,2
13565,1702,2
13934387,1702,1
14,1702,2
16107,1702,2
1625,1702,3
16407,1702,2
16411,1702,3
16416,1702,3
1147463,170434,2
13518,170434,2
1396,170434,1
14,170434,2
16408,170434,2
16411,170434,1
16416,170434,3
12541,171,2
1338,171,3
13518,171,3
13621,171,2
13880,171,2
14,171,3
