"node_1","node_2","edge"
4675,11175391,5
11302837,11175391,5
11302837,4936,5
11175391,4936,1
4456,3053,5
20266,3053,5
11302837,4935,5
4936,4935,5
4456,8641517,5
3053,8641517,5
4075,8641517,5
4456,11038778,5
3053,11038778,5
4075,11038778,5
8641517,11038778,5
4456,18902,5
3053,18902,5
4075,18902,5
8641517,18902,5
11038778,18902,5
8641517,2753,5
11038778,2753,5
18902,2753,5
8641517,10232996,3
11038778,10232996,2
4675,29334861,5
11302837,29334861,1
11175391,29334861,5
4675,40619223,5
11302837,40619223,5
11175391,40619223,5
4935,40619223,5
18902,40619223,3
8641517,3473,5
11038778,3473,5
18902,3473,5
40619223,3473,1
8641517,3626,5
11038778,3626,5
18902,3626,5
4456,40619314,5
20266,40619314,5
3053,40619314,5
8641517,40619314,5
11038778,40619314,5
18902,40619314,5
2753,40619314,5
10232996,40619314,1
3626,40619314,5
8641517,11935,5
11038778,11935,5
18902,11935,3
4075,11038574,5
8641517,11038574,5
11038778,11038574,5
18902,11038574,5
40619223,11038574,5
40619314,11038574,5
8641517,18807,5
11038778,18807,5
18902,18807,5
40619314,18807,5
4456,11244477,5
3053,11244477,5
4075,11244477,5
8641517,11244477,5
11038778,11244477,5
18902,11244477,5
2753,11244477,5
3473,11244477,5
3626,11244477,5
40619314,11244477,5
11935,11244477,5
11038574,11244477,5
18807,11244477,5
8641517,40619516,5
11038778,40619516,5
18902,40619516,5
40619314,40619516,5
11038574,40619516,1
11244477,40619516,5
8641517,3193,3
11038778,3193,3
4456,3840,5
20266,3840,5
3053,3840,5
8641517,3840,5
11038778,3840,5
18902,3840,5
2753,3840,5
40619223,3840,3
40619314,3840,5
11244477,3840,5
40619223,11051431,2
40619314,11051431,5
3840,11051431,5
4675,23389703,5
11302837,23389703,5
11175391,23389703,5
4936,23389703,5
3626,23389703,3
4456,4140,5
20266,4140,5
4075,4140,5
2753,4140,5
10232996,4140,5
11052132,4140,4
3137,4140,5
11051431,4140,5
23389703,4140,5
4456,20729,5
20266,20729,5
3053,20729,5
2753,20729,2
40619314,20729,5
40619516,20729,5
3840,20729,5
11051431,20729,1
8641517,16484,5
11038778,16484,5
18902,16484,5
40619223,16484,5
11244477,16484,5
4140,16484,1
3053,11052126,3
8641517,11052126,5
11038778,11052126,5
18902,11052126,5
40619314,11052126,5
11244477,11052126,5
40619516,11052126,3
3840,11052126,5
4140,11052126,5
8641517,3832,5
11038778,3832,5
18902,3832,5
40619223,3832,3
40619314,3832,5
11244477,3832,5
3840,3832,1
4140,3832,1
8641517,19477,5
11038778,19477,5
18902,19477,5
40619314,19477,5
11244477,19477,5
40619516,19477,2
4140,19477,5
40619223,7559,5
11175391,1457,5
4456,1457,5
20266,1457,5
3053,1457,5
8641517,1457,5
11038778,1457,5
18902,1457,5
2753,1457,5
10232996,1457,5
40619223,1457,5
3473,1457,1
3626,1457,4
40619314,1457,5
3137,1457,5
18807,1457,1
11244477,1457,5
3193,1457,2
3840,1457,5
11051431,1457,5
20729,1457,5
11052126,1457,5
3832,1457,5
7559,1457,5
4675,11233814,3
11302837,11233814,5
39511714,11233814,3
4935,11233814,5
29334861,11233814,3
23389703,11233814,1
11052126,11233814,5
3832,11233814,1
8641517,2725,5
11038778,2725,5
18902,2725,5
40619223,2725,5
40619314,2725,5
11244477,2725,5
19477,2725,3
7559,2725,5
1457,2725,3
4456,11051867,5
20266,11051867,5
3053,11051867,5
2753,11051867,5
10232996,11051867,1
40619314,11051867,5
11244477,11051867,3
3840,11051867,5
11051431,11051867,5
20729,11051867,5
11052126,11051867,1
3832,11051867,2
7559,11051867,1
1457,11051867,5
40619223,1329,5
20729,1329,5
1457,1329,5
19477,12969,5
4456,10233402,5
3053,10233402,5
8641517,10233402,5
11038778,10233402,5
18902,10233402,5
2753,10233402,5
40619314,10233402,5
11038574,10233402,5
11244477,10233402,5
40619516,10233402,5
3840,10233402,5
4140,10233402,5
20729,10233402,5
11052126,10233402,5
3832,10233402,3
19477,10233402,4
1457,10233402,5
11233814,10233402,5
2725,10233402,2
11051867,10233402,5
4675,11246942,2
4456,11246942,5
3053,11246942,5
4075,11246942,5
4935,11246942,5
8641517,11246942,5
11038778,11246942,5
18902,11246942,5
2753,11246942,5
3473,11246942,1
3626,11246942,1
40619314,11246942,5
11038574,11246942,5
18807,11246942,5
11244477,11246942,5
40619516,11246942,5
16484,11246942,3
11052126,11246942,3
3832,11246942,5
19477,11246942,5
7559,11246942,5
1457,11246942,5
11233814,11246942,5
2725,11246942,5
10233402,11246942,5
8641517,1057,5
11038778,1057,5
18902,1057,5
40619314,1057,5
11244477,1057,5
4140,1057,2
11052126,1057,1
1457,1057,3
10233402,1057,5
11246942,1057,5
3053,11374726,3
8641517,11374726,5
11038778,11374726,5
18902,11374726,5
40619314,11374726,5
11038574,11374726,1
11244477,11374726,5
40619516,11374726,5
3840,11374726,3
1457,11374726,5
11051867,11374726,5
10233402,11374726,5
11246942,11374726,5
8641517,11052108,5
11038778,11052108,5
18902,11052108,3
40619314,11052108,2
11244477,11052108,5
4140,11052108,5
1457,11052108,5
11051867,11052108,5
3053,4467,4
8641517,4467,5
11038778,4467,5
18902,4467,5
40619223,4467,5
40619314,4467,5
11244477,4467,5
3840,4467,5
1457,4467,5
11051867,4467,5
10233402,4467,5
11246942,4467,5
4675,10235684,5
11302837,10235684,5
4936,10235684,5
4075,10235684,5
39511714,10235684,1
4935,10235684,5
11052126,10235684,2
3832,10235684,5
7559,10235684,5
11233814,10235684,5
11246942,10235684,5
1057,10235684,3
4467,10235684,1
4456,2675,5
3053,2675,5
4935,2675,2
8641517,2675,5
11038778,2675,5
18902,2675,5
40619314,2675,5
11244477,2675,5
40619516,2675,3
3840,2675,5
23389703,2675,5
4140,2675,5
20729,2675,1
11052126,2675,5
19477,2675,1
1457,2675,5
11233814,2675,5
11051867,2675,5
10233402,2675,5
11246942,2675,5
11374726,2675,5
4467,2675,2
10235684,2675,5
8641517,13724,5
11038778,13724,5
18902,13724,5
40619314,13724,5
11244477,13724,5
4140,13724,2
11052126,13724,3
1457,13724,3
10233402,13724,4
11246942,13724,5
4937,898,5
1329,898,5
4937,11249501,5
39511714,11249501,3
8641517,130,5
11038778,130,5
18902,130,5
40619314,130,5
11244477,130,5
40619516,130,5
4140,130,5
10233402,130,5
11246942,130,5
11374726,130,5
2675,130,2
3053,1174,3
8641517,1174,5
11038778,1174,5
18902,1174,5
40619314,1174,5
11038574,1174,5
11244477,1174,5
40619516,1174,5
11052126,1174,5
19477,1174,5
2725,1174,3
10233402,1174,5
11246942,1174,5
1057,1174,5
11374726,1174,5
4467,1174,2
10235684,1174,2
2675,1174,5
13724,1174,5
130,1174,5
8641517,3252,5
11038778,3252,5
18902,3252,5
40619314,3252,5
11244477,3252,5
4140,3252,5
11052126,3252,1
1457,3252,5
11051867,3252,2
10233402,3252,5
11246942,3252,5
11374726,3252,1
2675,3252,2
1174,3252,5
3053,3209,5
40619223,3209,5
40619314,3209,5
3840,3209,5
20729,3209,5
1457,3209,5
11051867,3209,5
10233402,3209,3
3053,3839,3
8641517,3839,5
11038778,3839,5
18902,3839,5
40619314,3839,5
11244477,3839,5
3840,3839,5
4140,3839,5
1457,3839,5
11051867,3839,5
10233402,3839,5
11246942,3839,5
2675,3839,1
8641517,16442,5
11038778,16442,5
18902,16442,5
3626,16442,2
40619314,16442,5
11244477,16442,5
23389703,16442,5
4140,16442,5
16484,16442,5
2725,16442,1
10233402,16442,3
11246942,16442,5
11374726,16442,1
10235684,16442,2
2675,16442,1
130,16442,4
1174,16442,3
3252,16442,1
3053,2198,5
8641517,2198,5
11038778,2198,5
18902,2198,5
40619314,2198,5
11244477,2198,5
3840,2198,5
20729,2198,1
11052126,2198,2
1457,2198,5
11051867,2198,5
12969,2198,3
10233402,2198,5
11246942,2198,5
11374726,2198,1
2675,2198,1
1174,2198,2
11302837,11055036,1
4936,11055036,1
4935,11055036,5
11052126,11055036,5
12969,11055036,2
1174,11055036,5
8641517,11053279,5
11038778,11053279,5
18902,11053279,5
11244477,11053279,5
4140,11053279,5
11246942,11053279,5
16442,11053279,1
8641517,3108,5
11038778,3108,5
18902,3108,5
11244477,3108,5
11246942,3108,3
10235684,12847,2
39511714,11312302,5
11052132,11312302,3
4456,311,5
3053,311,5
39511714,311,5
8641517,311,5
11038778,311,5
18902,311,5
2753,311,1
40619314,311,5
11038574,311,5
18807,311,2
11244477,311,5
40619516,311,5
3832,311,3
19477,311,5
2725,311,5
10233402,311,5
11246942,311,5
1057,311,5
11374726,311,5
4467,311,5
2675,311,5
13724,311,5
130,311,5
1174,311,5
3252,311,5
3839,311,5
16442,311,5
2198,311,5
11053279,311,1
11244477,2866,5
4140,2866,5
12969,2866,5
311,2866,5
11175391,40615223,4
20266,40615223,2
18902,40615223,4
10232996,40615223,2
11052132,40615223,5
29334861,40615223,4
40619223,40615223,5
3626,40615223,5
3137,40615223,5
18807,40615223,2
3193,40615223,1
16484,40615223,3
19477,40615223,1
7559,40615223,1
1457,40615223,2
2725,40615223,5
1329,40615223,5
11374726,40615223,2
4467,40615223,2
3252,40615223,4
3209,40615223,5
16442,40615223,5
3108,40615223,3
4695,40615223,1
311,40615223,5
2866,40615223,5
3840,40619375,4
1457,40619375,3
1174,40619375,1
11055036,40619375,3
4937,2184,5
40619516,2184,1
11051867,2184,5
10233402,2184,3
898,2184,5
130,2184,2
4937,13736,5
20266,13736,5
1457,13736,3
4675,10244433,5
11302837,10244433,5
11175391,10244433,5
4936,10244433,5
4075,10244433,5
39511714,10244433,2
4935,10244433,5
16484,10244433,3
3832,10244433,5
7559,10244433,5
1457,10244433,3
11233814,10244433,5
10233402,10244433,1
11246942,10244433,5
1057,10244433,5
11374726,10244433,1
4467,10244433,3
10235684,10244433,5
2675,10244433,5
11249501,10244433,5
1174,10244433,4
16442,10244433,4
11053279,10244433,2
12847,10244433,4
11175391,4681,5
40619223,4681,5
40619314,4681,2
3840,4681,2
23389703,4681,5
4140,4681,5
1457,4681,5
11233814,4681,5
1329,4681,5
11246942,4681,4
10235684,4681,5
40615223,4681,5
10244433,4681,5
4075,10232587,5
3840,10232587,5
7559,10232587,5
1457,10232587,5
1329,10232587,5
3839,10232587,5
11053279,10232587,2
2866,10232587,5
4681,10232587,4
4456,204,5
3053,204,5
4075,204,5
8641517,204,5
11038778,204,5
18902,204,5
2753,204,5
10232996,204,2
3473,204,5
3626,204,5
40619314,204,5
11935,204,5
11038574,204,5
18807,204,5
11244477,204,5
40619516,204,5
3193,204,5
3840,204,5
16484,204,5
11052126,204,5
3832,204,5
19477,204,5
1457,204,5
2725,204,5
11051867,204,2
10233402,204,5
11246942,204,5
1057,204,5
11374726,204,5
11052108,204,5
4467,204,5
2675,204,5
13724,204,5
130,204,5
1174,204,5
3252,204,5
3839,204,5
16442,204,5
2198,204,5
11055036,204,1
11053279,204,5
3108,204,5
311,204,5
40619375,204,5
2184,204,5
3053,298,3
8641517,298,5
11038778,298,5
18902,298,5
40619223,298,5
40619314,298,5
11038574,298,3
11244477,298,5
40619516,298,5
4140,298,5
11052126,298,5
19477,298,4
2725,298,5
10233402,298,5
11246942,298,5
1057,298,3
11374726,298,5
11052108,298,3
4467,298,3
10235684,298,2
2675,298,5
13724,298,3
130,298,5
1174,298,5
3252,298,5
3839,298,1
16442,298,3
311,298,5
10244433,298,5
204,298,5
4456,435,5
20266,435,5
3053,435,5
4075,435,1
8641517,435,5
11038778,435,5
18902,435,5
2753,435,5
10232996,435,2
3626,435,4
40619314,435,5
3137,435,1
11038574,435,5
18807,435,5
11244477,435,5
40619516,435,5
3840,435,5
11051431,435,5
20729,435,5
11052126,435,5
3832,435,5
19477,435,5
1457,435,5
11233814,435,3
2725,435,5
11051867,435,5
10233402,435,5
11246942,435,5
1057,435,5
11374726,435,5
11052108,435,2
4467,435,5
10235684,435,5
2675,435,5
13724,435,5
130,435,5
1174,435,5
3252,435,5
3209,435,5
3839,435,5
16442,435,5
2198,435,5
311,435,5
40619375,435,3
10244433,435,5
4681,435,2
204,435,5
298,435,5
4456,529,1
3053,529,5
8641517,529,5
11038778,529,5
18902,529,5
40619223,529,5
40619314,529,5
11038574,529,5
18807,529,1
11244477,529,5
40619516,529,5
11052126,529,5
3832,529,3
19477,529,5
1457,529,5
2725,529,5
11051867,529,5
12969,529,2
10233402,529,5
11246942,529,5
1057,529,5
11374726,529,5
4467,529,5
2675,529,5
13724,529,5
130,529,5
1174,529,5
3252,529,5
3839,529,4
16442,529,5
2198,529,5
11055036,529,5
11053279,529,1
311,529,5
2184,529,5
204,529,5
298,529,5
435,529,5
4456,913,2
3053,913,5
8641517,913,5
11038778,913,5
18902,913,5
40619314,913,5
11244477,913,5
40619516,913,3
3840,913,5
4140,913,5
20729,913,5
1457,913,5
11051867,913,5
10233402,913,5
11246942,913,5
11374726,913,5
4467,913,5
2675,913,5
130,913,3
1174,913,4
3252,913,1
16442,913,4
2198,913,5
311,913,5
40615223,913,1
2184,913,5
204,913,5
298,913,4
435,913,5
529,913,5
4456,1204,5
3053,1204,5
4075,1204,5
8641517,1204,5
11038778,1204,5
18902,1204,5
2753,1204,5
3473,1204,5
3626,1204,5
40619314,1204,5
11935,1204,5
11038574,1204,5
18807,1204,5
11244477,1204,5
40619516,1204,5
3193,1204,2
3840,1204,2
16484,1204,5
11052126,1204,5
3832,1204,5
19477,1204,5
1457,1204,5
2725,1204,5
11051867,1204,5
10233402,1204,5
11246942,1204,5
1057,1204,5
11374726,1204,5
11052108,1204,5
4467,1204,5
2675,1204,5
13724,1204,5
130,1204,5
1174,1204,5
3252,1204,5
3839,1204,5
16442,1204,5
2198,1204,5
11053279,1204,5
3108,1204,5
311,1204,5
2184,1204,5
204,1204,5
298,1204,5
435,1204,5
529,1204,5
913,1204,5
3053,2581,5
8641517,2581,5
11038778,2581,5
18902,2581,5
40619223,2581,5
40619314,2581,5
11244477,2581,5
3840,2581,5
23389703,2581,5
4140,2581,5
11052126,2581,1
1457,2581,5
11233814,2581,4
11051867,2581,5
10233402,2581,5
11246942,2581,5
11374726,2581,1
2675,2581,4
1174,2581,2
16442,2581,5
311,2581,5
204,2581,5
298,2581,1
435,2581,5
529,2581,5
913,2581,3
1204,2581,5
3053,2886,5
8641517,2886,5
11038778,2886,5
18902,2886,5
40619314,2886,5
11038574,2886,5
11244477,2886,5
40619516,2886,5
4140,2886,5
11052126,2886,4
3832,2886,2
19477,2886,5
1457,2886,1
11233814,2886,3
2725,2886,5
1329,2886,5
10233402,2886,5
11246942,2886,5
1057,2886,5
11374726,2886,5
4467,2886,4
10235684,2886,5
2675,2886,5
13724,2886,5
130,2886,5
1174,2886,5
3252,2886,5
3839,2886,5
16442,2886,5
2198,2886,4
11053279,2886,1
311,2886,5
10244433,2886,5
10232587,2886,2
204,2886,5
298,2886,5
435,2886,5
529,2886,5
913,2886,5
1204,2886,5
2581,2886,5
8641517,3050,5
11038778,3050,5
18902,3050,5
40619314,3050,5
11244477,3050,5
4140,3050,5
1457,3050,2
11233814,3050,4
10233402,3050,3
11246942,3050,5
10235684,3050,5
311,3050,1
40615223,3050,5
10244433,3050,5
204,3050,5
435,3050,5
529,3050,2
1204,3050,5
2886,3050,1
8641517,3204,5
11038778,3204,5
18902,3204,5
40619314,3204,5
11244477,3204,5
40619516,3204,5
1457,3204,3
11051867,3204,3
10233402,3204,5
11246942,3204,5
11374726,3204,4
2675,3204,5
130,3204,3
1174,3204,5
311,3204,5
204,3204,5
298,3204,5
435,3204,5
529,3204,5
913,3204,3
1204,3204,5
2886,3204,5
3053,3860,1
8641517,3860,5
11038778,3860,5
18902,3860,5
40619223,3860,3
40619314,3860,5
11244477,3860,5
3840,3860,5
23389703,3860,2
4140,3860,4
1457,3860,5
11051867,3860,3
10233402,3860,5
11246942,3860,5
2675,3860,3
1174,3860,2
311,3860,5
40615223,3860,5
204,3860,5
435,3860,5
529,3860,5
1204,3860,5
2886,3860,2
8641517,4050,5
11038778,4050,5
18902,4050,5
40619223,4050,5
40619314,4050,5
11244477,4050,5
3840,4050,5
1457,4050,5
11051867,4050,4
10233402,4050,5
11246942,4050,5
11312302,4050,2
311,4050,5
