"node_1","node_2","edge"
10232696,10233520,1
10231755,10233961,2
10232696,10233961,1
10233402,10233961,1
10231755,10235790,3
10232539,10235790,2
10232696,10235790,1
10232696,10244391,3
10233520,10244391,2
10233961,10244391,4
10235790,10244391,3
10231755,10244396,1
10235790,10244396,3
10244391,10244396,2
10048,10244405,1
10232696,10244405,1
10233961,10244405,2
10235790,10244405,2
10244391,10244405,1
10231755,10244406,3
10244396,10244406,5
10231755,10244543,1
10232696,10244543,3
10233520,10244543,3
10233961,10244543,3
10235790,10244543,3
10244391,10244543,3
10231755,10244557,1
10244396,10244557,3
10244406,10244557,3
10232696,10244592,2
10233520,10244592,1
10233961,10244592,2
10235790,10244592,4
10244391,10244592,1
10244405,10244592,2
10233520,10244673,1
10244396,10244673,2
10244405,10244673,1
10244557,10244673,2
10048,10244754,2
10232696,10244754,3
10233520,10244754,2
10233961,10244754,3
10235790,10244754,3
10244391,10244754,3
10244543,10244754,3
10048,10244906,2
10231755,10244906,1
10244396,10244906,3
10244406,10244906,3
10244543,10244906,1
10244557,10244906,5
10244754,10244906,1
10048,10244921,5
10232539,10244921,1
10244391,10244921,2
10244396,10244921,2
10244754,10244921,1
10244906,10244921,2
10048,10244941,3
10233520,10244941,2
10244405,10244941,2
10244557,10244941,2
10244673,10244941,3
10244754,10244941,1
10244921,10244941,3
10048,1025,4
10232539,1025,1
10233402,1025,1
10244396,1025,3
10244406,1025,3
10244543,1025,1
10244557,1025,3
10244754,1025,1
10244906,1025,2
10244921,1025,3
10244941,1025,3
10232539,1057,1
10232696,1057,2
10244391,1057,2
10244406,1057,1
10048,10656239,3
10232539,10656239,2
10232696,10656239,3
10233961,10656239,1
10244391,10656239,3
10244543,10656239,2
10244921,10656239,3
1025,10656239,1
10048,10681553,3
10232539,10681553,1
10233520,10681553,1
10235790,10681553,1
10244921,10681553,3
10656239,10681553,1
10233961,10686469,1
10244543,10686469,2
10244592,10686469,3
10656239,10686469,1
10232696,10691644,3
10233520,10691644,1
10244391,10691644,3
10244406,10691644,1
10244543,10691644,1
10244754,10691644,3
10244906,10691644,1
10244941,10691644,1
10235790,1070,3
10244592,1070,3
10686469,1070,3
10233402,10717227,1
10233961,10717227,3
10244557,10717227,1
10244592,10717227,3
10244754,10717227,1
10244906,10717227,1
1025,10717227,1
10686469,10717227,2
1070,10717227,1
10244406,10729542,2
10681553,10729542,1
10048,10763218,1
10232539,10763218,3
10233520,10763218,1
10244557,10763218,1
10244921,10763218,3
