"node_1","node_2","edge"
2927,259,5
2927,6697,5
259,6697,5
2927,1,5
259,1,5
6697,1,5
2927,4457,5
259,4457,5
6697,4457,2
1,4457,3
2927,2147,5
259,2147,5
6697,2147,5
1,2147,5
4457,2147,1
2927,2182,5
259,2182,5
6697,2182,5
1,2182,5
2147,2182,5
2927,5499,4
259,5499,5
2927,9835433,5
259,9835433,5
6697,9835433,5
1,9835433,5
2147,9835433,5
2182,9835433,5
2927,1724,5
259,1724,5
6697,1724,5
1,1724,5
4457,1724,4
2147,1724,5
2182,1724,5
9835433,1724,5
2927,7966,5
259,7966,5
6697,7966,5
1,7966,5
4457,7966,5
2147,7966,5
2182,7966,5
9835433,7966,5
1724,7966,5
2927,9312,5
259,9312,5
6697,9312,5
1,9312,5
2147,9312,5
9835433,9312,3
1724,9312,5
7966,9312,5
2927,4986,5
259,4986,5
6697,4986,5
1,4986,5
2147,4986,5
2182,4986,3
9835433,4986,5
1724,4986,5
7966,4986,5
2927,7890024,5
259,7890024,5
6697,7890024,5
1,7890024,5
4457,7890024,5
2147,7890024,5
2182,7890024,5
5499,7890024,3
9835433,7890024,5
1724,7890024,5
7966,7890024,5
9312,7890024,5
4986,7890024,5
2927,91,5
259,91,5
6697,91,5
1,91,5
4457,91,2
2147,91,5
2182,91,5
5499,91,2
9835433,91,5
1724,91,5
7966,91,5
9312,91,5
4986,91,5
19699629,91,5
7890024,91,5
2927,1017,5
259,1017,5
6697,1017,5
1,1017,5
4457,1017,2
2147,1017,5
2182,1017,5
9835433,1017,5
1724,1017,5
7966,1017,5
9312,1017,5
4986,1017,5
7890024,1017,5
91,1017,5
2927,9300,5
259,9300,5
6697,9300,5
1,9300,5
4457,9300,5
2147,9300,5
2182,9300,5
5499,9300,2
9835433,9300,5
1724,9300,5
7966,9300,5
9312,9300,5
4986,9300,5
7890024,9300,5
91,9300,5
1017,9300,5
2927,4939,5
259,4939,5
1,4939,1
7966,4939,1
7890024,4939,3
9300,4939,4
4986,6498,3
8738,9837643,5
11149,9837643,5
2927,2675,5
259,2675,5
6697,2675,5
1,2675,5
2147,2675,5
2182,2675,5
9835433,2675,5
1724,2675,5
7966,2675,5
9312,2675,2
4986,2675,5
7890024,2675,5
91,2675,5
1017,2675,5
9300,2675,5
259,40336413,1
6697,40336413,1
4457,40336413,2
9835433,40336413,2
7966,40336413,2
19699629,40336413,5
91,40336413,5
1017,40336413,2
470,40336413,5
2927,28742246,5
259,28742246,5
6697,28742246,5
1,28742246,5
4457,28742246,5
2147,28742246,5
2182,28742246,5
5499,28742246,5
9835433,28742246,5
1724,28742246,5
7966,28742246,5
9312,28742246,5
4986,28742246,5
7890024,28742246,5
91,28742246,5
1017,28742246,5
9300,28742246,5
4939,28742246,5
2675,28742246,5
40336413,28742246,4
2927,2818,5
259,2818,5
6697,2818,5
1,2818,5
2147,2818,5
2182,2818,5
9835433,2818,5
1724,2818,5
7966,2818,5
9312,2818,2
4986,2818,5
7890024,2818,5
91,2818,5
1017,2818,5
9300,2818,5
2675,2818,5
28742246,2818,5
26769627,4942,5
2927,9313,4
259,9313,5
7966,9313,2
7890024,9313,3
1017,9313,1
9300,9313,4
28742246,9313,5
26769627,9837612,5
2927,1854,5
259,1854,5
6697,1854,5
1,1854,5
4457,1854,1
2147,1854,5
2182,1854,5
9835433,1854,5
1724,1854,5
7966,1854,5
9312,1854,5
4986,1854,5
7890024,1854,5
91,1854,5
1017,1854,5
9300,1854,5
2675,1854,5
40336413,1854,1
28742246,1854,5
2818,1854,5
2927,2692,5
259,2692,5
6697,2692,5
1,2692,5
4457,2692,5
2147,2692,5
2182,2692,5
5499,2692,2
9835433,2692,5
1724,2692,5
7966,2692,5
9312,2692,5
4986,2692,5
7890024,2692,5
91,2692,5
1017,2692,5
9300,2692,5
4939,2692,5
2675,2692,5
28742246,2692,5
2818,2692,5
9313,2692,2
1854,2692,5
2927,9299,5
259,9299,5
6697,9299,5
1,9299,5
2147,9299,5
2182,9299,5
9835433,9299,5
1724,9299,5
7966,9299,5
9312,9299,3
4986,9299,5
7890024,9299,5
91,9299,5
1017,9299,5
9300,9299,5
2675,9299,5
28742246,9299,5
2818,9299,5
1854,9299,5
2692,9299,5
2927,9864015,5
259,9864015,5
6697,9864015,5
1,9864015,5
4457,9864015,3
2147,9864015,5
2182,9864015,5
5499,9864015,1
9835433,9864015,5
1724,9864015,5
7966,9864015,5
9312,9864015,5
4986,9864015,5
7890024,9864015,5
91,9864015,5
1017,9864015,5
9300,9864015,5
4939,9864015,1
2675,9864015,5
28742246,9864015,5
2818,9864015,5
9313,9864015,3
1854,9864015,5
2692,9864015,5
9299,9864015,5
2927,9918085,5
259,9918085,5
6697,9918085,5
1,9918085,5
2147,9918085,5
2182,9918085,5
9835433,9918085,5
1724,9918085,5
7966,9918085,5
9312,9918085,2
4986,9918085,3
7890024,9918085,5
91,9918085,5
1017,9918085,5
9300,9918085,5
2675,9918085,5
28742246,9918085,5
2818,9918085,5
1854,9918085,5
2692,9918085,5
9299,9918085,5
9864015,9918085,5
19699629,19894,1
40336413,19894,5
9837612,19894,2
40336413,19180,3
40336413,9298,3
11149,9837264,4
20268,9837264,1
11149,9845591,1
9837643,9845591,3
5499,9852511,5
19180,9852511,5
2927,7989,5
259,7989,5
6697,7989,5
1,7989,5
2147,7989,5
2182,7989,5
5499,7989,1
9835433,7989,5
1724,7989,5
7966,7989,5
9312,7989,3
4986,7989,5
7890024,7989,5
91,7989,5
1017,7989,5
9300,7989,5
2675,7989,5
28742246,7989,5
2818,7989,5
1854,7989,5
2692,7989,5
9299,7989,5
9864015,7989,5
9918085,7989,5
259,9297,2
7890024,9297,1
9300,9297,4
28742246,9297,2
259,9913099,2
28742246,9913099,2
1854,9913099,1
2692,9913099,1
1854,9836881,5
19180,9836881,1
9852511,9837689,5
20172,9837622,1
9299,9837622,2
9864015,9837622,3
7989,9837622,1
9837264,9836498,2
9303,9836498,5
26769627,9861981,3
20172,9861981,3
9837612,9861981,1
9837622,9861981,1
9837612,9886516,2
1854,9886516,5
19894,9886516,3
9836881,9886516,5
11149,9919184,3
7989,9919184,1
9837622,9919184,5
2927,4940,5
259,4940,5
6697,4940,4
1,4940,5
2147,4940,5
1724,4940,5
7966,4940,4
7890024,4940,5
91,4940,4
1017,4940,4
9300,4940,5
6498,4940,1
2675,4940,1
28742246,4940,5
2818,4940,1
1854,4940,5
2692,4940,5
9299,4940,1
9864015,4940,5
9852511,4940,1
7989,4940,1
2927,5303,5
259,5303,5
6697,5303,5
1,5303,5
2147,5303,5
2182,5303,2
9835433,5303,4
1724,5303,5
7966,5303,5
4986,5303,5
7890024,5303,5
91,5303,5
1017,5303,5
9300,5303,5
2675,5303,3
28742246,5303,5
2818,5303,4
1854,5303,5
2692,5303,5
9299,5303,3
9864015,5303,5
9918085,5303,3
7989,5303,4
9886516,5303,2
9919184,5303,1
2927,9850036,5
259,9850036,5
6697,9850036,5
1,9850036,5
4457,9850036,4
2147,9850036,5
2182,9850036,5
5499,9850036,2
9835433,9850036,5
1724,9850036,5
7966,9850036,5
9312,9850036,5
4986,9850036,5
7890024,9850036,5
91,9850036,5
1017,9850036,5
9300,9850036,5
4939,9850036,3
2675,9850036,5
28742246,9850036,5
2818,9850036,5
9313,9850036,3
1854,9850036,5
2692,9850036,5
9299,9850036,5
9864015,9850036,5
9918085,9850036,5
7989,9850036,5
9297,9850036,1
9913099,9850036,1
4940,9850036,5
5303,9850036,5
9835433,4201,2
19699629,4201,5
91,4201,5
1017,4201,1
9837643,4201,3
470,4201,3
40336413,4201,5
28742246,4201,2
19894,4201,5
