"node_1","node_2","edge"
1,10149,5
1,1017,5
10149,1017,5
1,1087,5
10149,1087,1
1017,1087,2
10149,11017,3
1017,11017,1
10149,1116,1
1017,1116,1
11017,1116,3
1,11853,2
10149,11853,3
1017,11853,3
11017,11853,2
1116,11853,2
1,11860,2
10149,11860,3
1017,11860,2
11017,11860,2
1116,11860,2
11853,11860,2
1,12492,3
10149,12492,3
1017,12492,1
11017,12492,1
1116,12492,1
11853,12492,1
11860,12492,2
1,12867,1
10149,12867,1
1116,12867,1
11860,12867,1
12492,12867,1
10149,13099,2
1116,13099,1
11853,13099,2
12492,13099,1
1,131,2
10149,131,3
1017,131,2
11017,131,1
1116,131,1
11860,131,2
1,13430,1
10149,13430,1
1017,13430,1
11017,13430,1
1116,13430,1
11853,13430,4
12492,13430,1
12867,13430,1
131,13430,1
1,13607267,2
10149,13607267,3
1017,13607267,1
1087,13607267,1
11017,13607267,2
11853,13607267,2
11860,13607267,2
131,13607267,2
10991,13897,2
11860,13897,1
1,14550,4
10149,14550,5
1017,14550,1
1087,14550,2
1116,14550,1
11853,14550,3
11860,14550,2
12492,14550,1
12867,14550,1
13099,14550,1
13430,14550,1
1,15746748,2
10149,15746748,1
10991,15746748,2
11853,15746748,2
1,15861,3
10149,15861,3
1017,15861,3
1087,15861,2
11853,15861,2
11860,15861,3
12492,15861,2
131,15861,2
13430,15861,1
13607267,15861,1
14550,15861,2
1,16141,2
10149,16141,2
1017,16141,1
10991,16141,2
11017,16141,1
11853,16141,2
11860,16141,2
12492,16141,1
131,16141,1
13897,16141,2
14550,16141,1
15861,16141,2
1,16334,4
10149,16334,5
1017,16334,1
1087,16334,1
1116,16334,1
11853,16334,2
11860,16334,4
12492,16334,3
12867,16334,1
13430,16334,1
14550,16334,3
15746748,16334,1
15861,16334,4
16141,16334,1
1,16339,2
10149,16339,2
1017,16339,1
10991,16339,2
11853,16339,2
11860,16339,2
12492,16339,1
12867,16339,1
131,16339,1
13430,16339,1
14550,16339,1
15746748,16339,2
15861,16339,1
16141,16339,2
16334,16339,2
1,16601332,3
10149,16601332,3
11017,16601332,1
1116,16601332,1
11860,16601332,2
12492,16601332,3
12867,16601332,1
131,16601332,2
13430,16601332,1
13607267,16601332,2
14550,16601332,1
15746748,16601332,1
15861,16601332,2
16141,16601332,2
16334,16601332,3
16339,16601332,2
1,16777,3
10149,16777,3
11017,16777,1
11853,16777,2
11860,16777,2
12492,16777,2
12867,16777,1
13430,16777,1
15746748,16777,2
15861,16777,2
16141,16777,1
16339,16777,2
16601332,16777,3
1,16784,3
10149,16784,3
1017,16784,3
1116,16784,1
11853,16784,3
12492,16784,1
12867,16784,1
13099,16784,1
13430,16784,1
14550,16784,2
15746748,16784,2
15861,16784,1
16334,16784,3
16339,16784,1
16601332,16784,1
16777,16784,1
1,1692,3
10149,1692,3
1017,1692,3
1087,1692,2
11017,1692,2
11860,1692,2
12492,1692,1
12867,1692,1
131,1692,1
13430,1692,1
13607267,1692,4
14550,1692,1
15861,1692,2
16141,1692,1
16334,1692,1
16339,1692,1
16601332,1692,2
16777,1692,1
16784,1692,3
1,170434,2
10149,170434,2
1017,170434,2
1087,170434,2
11860,170434,2
12492,170434,1
13099,170434,2
131,170434,2
14550,170434,2
15861,170434,2
16141,170434,2
16334,170434,1
16601332,170434,2
16777,170434,1
1692,170434,1
1,171,3
