"node_1","node_2","edge"
4947,6030221,5
4947,5704024,5
6030221,5704024,5
4947,14483,5
6030221,14483,5
5704024,14483,5
11752,4944,5
6030221,5703590,5
5704024,5703590,5
14483,5703590,5
11752,6033233,5
11752,6046040,5
4944,6046040,5
6033233,6046040,5
11752,16873,3
11752,964,5
4944,964,5
6046040,964,5
11752,5883316,5
4944,5883316,5
6046040,5883316,5
964,5883316,2
4947,5701680,5
6030221,5701680,5
5704024,5701680,5
14483,5701680,5
11752,1783490,5
4944,1783490,5
6033233,1783490,5
6046040,1783490,5
964,1783490,5
5883316,1783490,5
6030221,11637,5
5704024,11637,5
14483,11637,5
6046040,16849,3
5883316,16849,5
1783490,16849,5
4944,5720,5
6046040,5720,5
964,5720,2
5883316,5720,5
1783490,5720,5
16849,5720,1
4947,5701730,4
6030221,5701730,5
5704024,5701730,5
14483,5701730,5
5703590,5701730,2
5701680,5701730,5
11637,5701730,5
6046040,5810457,5
964,5810457,1
16849,5810457,4
5720,5810457,5
11752,6032690,5
4944,6032690,5
6033233,6032690,5
6046040,6032690,5
16873,6032690,5
964,6032690,2
5883316,6032690,5
1783490,6032690,3
5720,6032690,5
11752,5703254,2
4944,5703254,1
3479,5703254,1
6046040,5703254,5
16873,5703254,2
11752,5703186,5
5689172,5703186,2
4944,5703186,5
6046040,5703186,5
964,5703186,5
5883316,5703186,5
1783490,5703186,5
5720,5703186,5
5703254,5703186,5
5883316,9900,5
5810457,9900,1
5703254,9900,5
4944,16858,5
6046040,16858,5
5883316,16858,5
1783490,16858,5
16849,16858,3
5720,16858,5
5810457,16858,5
5703186,16858,5
11752,4521638,3
4944,4521638,5
6032690,4521638,5
5703254,4521638,5
5703186,4521638,1
4947,2332,5
6030221,2332,5
5704024,2332,5
5701680,2332,5
5701730,2332,5
6030221,21463,5
5704024,21463,5
11637,21463,3
5701730,21463,3
2332,21463,5
4947,5685821,1
6030221,5685821,5
5704024,5685821,5
14483,5685821,3
5701680,5685821,5
5701730,5685821,3
11752,6045355,2
5689172,6045355,1
4944,6045355,5
6046040,6045355,5
964,6045355,1
5883316,6045355,5
5720,6045355,5
5703254,6045355,5
5703186,6045355,5
3229,6045355,2
4947,904,5
6030221,904,5
5704024,904,5
5701680,904,5
5701730,904,5
2332,904,5
21463,904,5
4947,5703754,5
6030221,5703754,5
5704024,5703754,5
14483,5703754,5
5701680,5703754,5
11637,5703754,5
5701730,5703754,5
2332,5703754,5
21463,5703754,2
