"node_1","node_2","edge"
16810,12696,2
12696,77,5
77,900,1
77,2695,2
900,2695,5
12696,2772,5
900,2772,3
900,9943,1
900,10041,4
2772,10041,1
77,12907,2
900,12907,1
77,21412,3
77,16886,4
900,16886,3
2695,16886,1
77,16890,1
900,16890,3
16886,16890,2
12696,17618834,5
77,17618834,5
16887,17618834,1
16886,17618834,1
16890,17618834,4
12696,5713553,5
77,5713553,1
900,5713553,2
2772,5713553,2
10041,5713553,2
12907,5713553,1
16877,5713553,3
21412,5713553,3
16886,5713553,5
16890,5713553,4
17618834,5713553,4
77,5703061,1
12696,5703616,4
4948,5703616,5
4948,5685943,2
5703616,5685943,5
5703061,5703066,5
5804863,5703066,5
4948,5691209,5
5685943,5691209,5
5804863,5702997,5
5703066,5702997,5
17618834,5685821,1
4948,5685821,1
5703616,5685821,5
5685943,5685821,5
5691209,5685821,5
77,8677,2
5804863,8677,3
4947,5702633,1
5703616,5702633,1
5685943,5702633,5
4944,5768906,3
12696,5768906,2
5703061,5768906,5
5804863,5768906,5
5703066,5768906,5
5702997,5768906,5
5713875,5768906,5
8677,5768906,5
77,5685901,1
17618834,5685901,1
4948,5685901,3
5685943,5685901,5
5691209,5685901,5
5685821,5685901,5
5702633,5685901,5
5713553,9924,5
5702633,5703351,5
77,5698888,5
8677,5698888,5
5768906,5698888,2
5685943,898,5
5691209,898,5
5685821,898,1
5702633,898,4
5685901,898,5
5703351,898,5
4944,602,5
21412,602,5
5703061,602,5
5804863,602,5
5703066,602,5
5702997,602,5
5768906,602,5
9924,602,3
900,3229,1
12696,4768,1
77,4768,1
900,4768,3
2772,4768,1
900,9900,2
602,9900,1
16877,16530,1
21412,16530,2
16886,16530,5
16890,16530,4
5713553,16530,5
5703061,16530,5
5703066,16530,5
5702997,16530,5
5768906,16530,5
9924,16530,5
602,16530,5
900,16860,1
4944,5928836,4
21412,5928836,2
5703061,5928836,5
5804863,5928836,5
5703066,5928836,5
5702997,5928836,5
5768906,5928836,5
9924,5928836,1
602,5928836,5
16530,5928836,5
4944,18485545,5
12696,18485545,3
21412,18485545,3
