"node_1","node_2","edge"
4950,5994,2
4950,9976829,4
9956896,9976555,4
9956896,9366,2
9958168,904,1
9511,9353,1
904,9353,2
9512,29315348,1
6140,331,1
331,9956522,3
5994,28300229,5
331,28300229,3
9956522,28300229,1
9956896,9343,4
9512,9956829,1
6140,9976560,1
331,9976560,3
9956522,9976560,2
9343,9976560,2
6140,7088,1
9957006,7088,1
9957006,9976760,1
5994,6846,4
28300229,6846,4
904,6035,1
9956896,40619606,5
9366,40619606,1
9343,40619606,3
29315348,26473089,3
9957006,26473089,1
4950,9978631,1
9957006,9978631,1
9976760,9978631,3
9512,2046,2
7088,2046,3
4952,4953,1
904,4953,1
9353,4953,1
29315348,4953,2
26473089,4953,4
9512,6210,2
9957006,6210,1
7088,6210,3
2046,6210,3
9370,9986096,3
