"node_1","node_2","edge"
4950,5994,3
9956727,9374,5
28299673,7088,1
5994,7088,3
4953,8781,5
5994,18619,2
7088,18619,3
28299673,2034,1
28299673,6847,5
7088,6847,1
2034,6847,3
5505,6847,1
9956727,7101,5
2034,9343,1
9512,9976560,5
7088,6140,2
18619,6140,1
4953,2566,5
8781,2566,3
9958168,904,1
2034,913,3
9343,913,1
4953,1854,3
2566,1854,2
9374,7429,1
2034,7429,1
913,7429,1
9374,9349,2
7101,9349,1
9343,9349,1
913,9349,2
7429,9349,1
9369,9370,1
2034,9370,1
913,9370,1
1854,9370,2
7429,9370,3
9374,207,1
2034,207,1
913,207,3
9374,1629,1
5505,1629,3
207,1629,1
1854,6745,2
1854,9963008,2
6745,9963008,5
5505,9353,1
904,9353,1
9349,9353,1
2034,7956,1
7429,7956,1
2034,1116,3
9343,1116,1
9976560,1116,2
1854,1116,1
7429,1116,1
9349,1116,1
7956,1116,1
4950,6210,1
18619,6210,1
9976560,6210,2
1116,6210,1
9374,5936,2
5505,5936,2
7429,5936,3
9370,5936,1
1629,5936,2
5505,9354,2
9343,9354,1
7429,9354,2
9370,9354,1
1629,9354,3
5936,9354,2
5505,28300157,2
7429,28300157,2
1629,28300157,3
5936,28300157,3
9354,28300157,2
9349,145,1
7956,145,1
28299673,9976767,1
5994,6979,2
6847,6979,1
9976560,6979,2
28299673,8885,5
7088,8885,1
2034,8885,2
6847,8885,5
2034,695,2
9343,695,1
913,695,2
1854,695,1
7429,695,1
9349,695,1
9370,695,2
207,695,1
1116,695,1
28299673,9352,5
7088,9352,1
2034,9352,1
8885,9352,1
207,9373,1
1629,9373,2
9354,9373,1
7101,20269,1
9349,20269,2
9353,20269,3
145,20269,1
4950,29315348,1
18619,29315348,1
2034,29315348,1
9976560,29315348,1
7956,29315348,2
1116,29315348,3
6210,29315348,2
145,29315348,1
5994,9953962,5
4953,9962933,5
8781,9962933,2
6847,40619612,1
1629,40619612,1
8885,40619612,1
9373,40619612,1
5505,741,1
9353,741,1
20269,741,1
9956727,9375,2
5505,9375,1
7101,9375,1
9353,9375,1
28299673,9957006,1
9956727,9957006,3
7101,9957006,1
9976767,9957006,1
5505,6625,2
2566,6625,1
1629,6625,1
9353,6625,2
5936,6625,1
9354,6625,1
28300157,6625,1
20269,6625,1
741,6625,1
9956727,8076,3
7101,8076,1
2566,8076,1
9953962,8076,1
9375,8076,1
9957006,8076,1
