"node_1","node_2","edge"
12952,4956,5
4955,18259,5
4956,2701931,5
12952,2609491,5
4956,2609491,5
12952,2748464,5
4956,2748464,5
12952,3564218,5
4956,3564218,5
12952,2606996,1
4956,2606996,2
12952,2609332,3
4956,2609332,5
4955,2612543,5
18259,2612543,5
7433,2612543,5
4955,2612720,5
18259,2612720,5
12952,2889755,5
4956,2889755,1
2748464,2889755,5
12952,15871,5
4956,15871,5
2889748,15871,5
4955,2605269,5
18259,2605269,5
2612720,2605269,5
12952,2607999,5
4956,2607999,5
2609491,2607999,5
2609332,2607999,5
12952,2932415,5
4956,2932415,5
2748464,2932415,5
4955,2822325,5
4955,2920507,1
18259,2920507,5
2605269,2920507,5
12952,3410258,5
4956,3410258,5
2889755,3410258,5
12952,2661035,3
4956,2661035,5
2607999,2661035,5
3410258,77731,5
12952,3055543,2
4956,3055543,1
2889755,3055543,3
3410258,3055543,5
77731,3055543,5
4955,2956988,5
18259,2956988,5
2822325,2956988,5
12952,2609664,5
2606996,2609664,5
12952,2609590,5
4956,2609590,5
15871,2609590,5
2932415,2609590,5
3564218,13910,2
2606996,13910,5
15871,13910,1
77731,13910,5
3055543,13910,1
2889748,2914045,5
15871,2914045,5
2606996,2147,3
15871,2147,5
2609590,2147,1
2612720,2046,3
2688292,2046,1
2605269,2046,1
4955,40637738,5
18259,40637738,5
2822325,40637738,5
2956988,40637738,5
2147,40637738,2
2046,40637738,2
12952,2620821,5
4956,2620821,5
2147,2620821,4
12952,2912073,3
2612720,9416,2
2606996,19672,5
15871,19672,5
77731,19672,5
2609664,19672,5
2612543,3797,4
2688292,3797,5
28221038,3797,1
2147,3797,3
40637738,3797,5
9416,3797,2
2889755,2609660,2
77731,2609660,5
3055543,2609660,5
12952,2610113,5
4956,2610113,5
15871,2610113,5
2609590,2610113,5
13910,2610113,4
2147,2610113,5
2046,2610113,1
9416,2610113,3
19672,2610113,5
2701931,259,1
2606996,259,5
15871,259,5
2609590,259,2
13910,259,4
2147,259,5
2912073,259,3
9416,259,1
19672,259,2
3797,259,1
2610113,259,5
12952,2945829,5
4956,2945829,1
2932415,2945829,5
2609590,2945829,5
2046,2945829,4
4955,2633673,5
18259,2633673,5
2046,2633673,4
40637738,2633673,5
2606996,2608385,5
2889755,2608385,3
15871,2608385,5
2932415,2608385,5
2609498,2608385,5
2661035,2608385,5
77731,2608385,5
3055543,2608385,5
2609664,2608385,5
2609590,2608385,5
2620821,2608385,5
19672,2608385,3
2609660,2608385,5
2610113,2608385,5
2945829,2608385,5
2701931,9427,1
3564218,9427,5
2688292,9427,1
40637738,9427,3
2912073,9427,2
3797,9427,1
259,9427,4
2945829,9427,5
2701931,2598171,4
2620821,2598171,2
2912073,2598171,3
2610113,2598171,1
259,2598171,2
2701931,20864,3
2609491,20864,4
3564218,20864,1
2606996,20864,5
15871,20864,5
2932415,20864,1
3410258,20864,5
2661035,20864,5
77731,20864,2
3055543,20864,5
2609590,20864,5
2912073,20864,5
19672,20864,4
2610113,20864,5
2701931,9426,5
2606996,9426,4
2932415,9426,1
3410258,9426,2
77731,9426,5
3055543,9426,5
2912073,9426,1
3797,9426,1
12952,2660,3
4956,2660,4
2609491,2660,5
2748464,2660,5
15871,2660,5
2932415,2660,5
3410258,2660,5
77731,2660,5
3055543,2660,5
2609590,2660,5
2620821,2660,5
2912073,2660,5
2610113,2660,5
2608385,2660,2
15871,19606,5
2609498,19606,5
2609590,19606,2
19672,19606,5
2610113,19606,5
7433,9435,5
2612543,9435,5
2612720,9435,5
2605269,9435,5
2920507,9435,2
3797,9435,3
2633673,9435,2
7433,2611640,1
2612543,2611640,5
2822325,2611640,4
2956988,2611640,5
28221038,2611640,1
40637738,2611640,5
2912073,2611640,5
3797,2611640,1
2945829,2611640,5
2633673,2611640,5
9435,2611640,1
2612720,4468,1
2956988,4468,2
28221038,4468,1
40637738,4468,2
2610113,4468,1
2945829,4468,1
2633673,4468,2
2701931,4116,5
2748464,4116,5
3564218,4116,2
15871,4116,5
2932415,4116,3
3410258,4116,2
2620821,4116,3
2912073,4116,5
2610113,4116,5
4955,1466,1
7433,1466,5
3564218,1466,5
2612543,1466,5
2612720,1466,5
2605269,1466,5
2822325,1466,1
2661035,1466,3
2956988,1466,5
40637738,1466,5
3797,1466,4
2633673,1466,5
9435,1466,5
2611640,1466,1
7433,16970,5
2612543,16970,5
2822325,16970,5
77731,16970,5
3055543,16970,5
2956988,16970,5
40637738,16970,5
3797,16970,5
2633673,16970,5
9435,16970,5
2611640,16970,3
1466,16970,5
2612543,3266,4
2612720,3266,5
2605269,3266,5
2920507,3266,3
28221038,3266,3
40637738,3266,2
2633673,3266,5
2612543,8470,5
2612720,8470,2
2605269,8470,1
2822325,8470,2
2956988,8470,5
40637738,8470,3
2633673,8470,3
9435,8470,2
16970,8470,3
2612543,2598595,4
2612720,2598595,2
40637738,2598595,3
3797,2598595,3
2633673,2598595,3
2889748,20698,3
2701931,20698,5
2609491,20698,3
2748464,20698,5
3564218,20698,4
2609332,20698,5
15871,20698,5
2607999,20698,5
2932415,20698,5
3410258,20698,5
2661035,20698,5
2609664,20698,5
2914045,20698,2
2912073,20698,5
2610113,20698,5
20864,20698,2
2889748,20837,3
2609491,20837,5
2748464,20837,3
2606996,20837,4
2609332,20837,5
15871,20837,5
2607999,20837,5
2932415,20837,5
2609498,20837,5
3410258,20837,5
2661035,20837,5
77731,20837,1
3055543,20837,4
2609664,20837,5
2609590,20837,5
2914045,20837,2
2620821,20837,5
2912073,20837,3
2609660,20837,5
2610113,20837,5
2608385,20837,1
2660,20837,4
12952,2945027,5
4956,2945027,3
2606996,2945027,5
15871,2945027,5
2609664,2945027,5
2609590,2945027,5
2147,2945027,5
19672,2945027,5
2610113,2945027,5
259,2945027,5
2608385,2945027,5
20864,2945027,5
2660,2945027,3
19606,2945027,4
20698,2945027,5
20837,2945027,5
2889748,5626,1
2701931,5626,5
2609491,5626,5
2748464,5626,5
3564218,5626,5
2606996,5626,5
2609332,5626,2
15871,5626,5
2607999,5626,5
2932415,5626,5
3410258,5626,4
2609664,5626,5
2609590,5626,2
2914045,5626,1
2620821,5626,5
2912073,5626,5
2610113,5626,1
20864,5626,1
2660,5626,4
2945027,5626,3
2889748,9488,1
2609491,9488,5
2748464,9488,5
2606996,9488,2
2688292,9488,3
2889755,9488,5
15871,9488,5
2607999,9488,3
2932415,9488,5
2661035,9488,2
77731,9488,5
3055543,9488,5
2609664,9488,5
2609590,9488,5
2914045,9488,1
2620821,9488,5
2912073,9488,5
2610113,9488,5
2945829,9488,4
2945027,9488,5
2701931,16837,5
2609491,16837,5
2748464,16837,5
3564218,16837,5
2606996,16837,4
2607999,16837,5
2932415,16837,5
3410258,16837,3
2661035,16837,1
2609664,16837,4
2609590,16837,5
2620821,16837,5
2912073,16837,3
2610113,16837,1
2660,16837,1
2945027,16837,2
5626,16837,4
12952,19183,1
2889748,19183,5
2701931,19183,5
2609491,19183,5
2748464,19183,5
3564218,19183,5
2606996,19183,5
15871,19183,5
2607999,19183,5
2932415,19183,5
3410258,19183,5
77731,19183,5
3055543,19183,5
2609664,19183,5
2914045,19183,3
2912073,19183,5
2610113,19183,3
20864,19183,1
2660,19183,3
2945027,19183,5
5626,19183,3
9488,19183,2
16837,19183,2
3564218,19813,1
2609332,19813,1
15871,19813,2
2932415,19813,4
3410258,19813,1
2609664,19813,1
2620821,19813,1
2912073,19813,4
2610113,19813,2
2945829,19813,2
2945027,19813,2
2889748,20270,5
2609491,20270,3
2748464,20270,3
3564218,20270,2
2609332,20270,5
2889755,20270,5
15871,20270,1
2607999,20270,5
