"node_1","node_2","edge"
10239807,10779161,5
10239807,10797125,3
10779161,10797125,5
10239807,11351,2
10775987,11351,1
10775987,11402,4
11351,11402,2
1116,1146,3
11351,1146,5
11402,1146,2
10779161,1152897,5
10797125,1152897,5
11351,1210,5
11402,1210,5
1146,1210,5
1116,1233,5
11351,1233,5
1210,1233,3
1116,12473,1
11351,12473,5
1146,12473,5
1210,12473,5
1233,12473,2
10775987,12716,1
1116,12716,1
11351,12716,5
11402,12716,2
1146,12716,5
1210,12716,5
1233,12716,2
12473,12716,3
10779161,12952,5
10797125,12952,5
1152897,12952,5
1116,13534,5
11351,13534,1
11402,13534,5
1233,13534,5
12473,13534,2
12716,13534,1
10239807,1381700,4
10779161,1381700,5
10797125,1381700,5
11402,1381700,2
1152897,1381700,5
1116,13825,5
11351,13825,4
1233,13825,5
11351,13910,5
1210,13910,4
1233,13910,2
13825,13910,1
1116,14,5
11351,14,5
1146,14,1
1210,14,2
1233,14,5
12473,14,1
12716,14,1
13534,14,1
13825,14,5
13910,14,1
10239807,1433,2
1116,1433,1
11351,1433,5
11402,1433,4
1146,1433,1
1210,1433,5
1233,1433,5
12473,1433,5
12716,1433,3
13534,1433,5
1381700,1433,1
13825,1433,1
13910,1433,4
14,1433,5
10239807,144791,3
10797125,144791,5
1152897,144791,3
11351,145,5
1146,145,1
1210,145,5
1233,145,1
12473,145,2
12716,145,1
13825,145,1
13910,145,1
14,145,3
1433,145,5
1116,14638,3
11351,14638,5
1146,14638,3
1210,14638,3
1233,14638,5
12473,14638,3
12716,14638,3
13534,14638,3
13825,14638,5
13910,14638,1
14,14638,3
1433,14638,5
145,14638,1
1116,14640,5
11351,14640,3
11402,14640,5
1233,14640,5
12473,14640,5
12716,14640,2
13534,14640,5
13910,14640,4
14,14640,2
1433,14640,5
145,14640,1
14638,14640,5
1116,1466,3
11351,1466,5
1146,1466,2
1210,1466,2
1233,1466,5
13825,1466,5
14,1466,4
1433,1466,3
145,1466,1
14638,1466,3
14640,1466,3
1116,1470,1
11351,1470,5
11402,1470,5
1146,1470,3
1210,1470,5
1233,1470,3
12473,1470,1
13534,1470,3
13825,1470,4
13910,1470,5
14,1470,5
1433,1470,5
145,1470,5
14638,1470,1
14640,1470,3
1466,1470,4
10775987,14758,1
1152897,14758,1
1210,14758,2
1233,14758,1
12473,14758,2
12716,14758,4
13534,14758,1
145,14758,2
14638,14758,5
14640,14758,1
1116,15200,2
11351,15200,5
1146,15200,3
1210,15200,4
1233,15200,2
13534,15200,2
13825,15200,5
14,15200,5
1433,15200,4
14638,15200,3
14640,15200,3
1470,15200,3
10239807,15249,3
10779161,15249,5
10797125,15249,5
1152897,15249,5
12952,15249,5
1381700,15249,5
144791,15249,5
10239807,15288,2
10779161,15288,5
10797125,15288,5
11351,15288,1
11402,15288,1
1152897,15288,5
1210,15288,1
1381700,15288,5
1433,15288,4
14640,15288,1
14758,15288,3
15249,15288,5
10775987,15289,3
1116,15289,2
11351,15289,5
11402,15289,2
1146,15289,1
1210,15289,5
1233,15289,5
12473,15289,3
12716,15289,5
13825,15289,3
14,15289,5
1433,15289,4
145,15289,3
14638,15289,3
14640,15289,2
1470,15289,2
14758,15289,4
10779161,15871,1
10797125,15871,5
1152897,15871,3
12952,15871,5
144791,15871,5
15249,15871,5
1116,15964,1
11351,15964,3
11402,15964,1
1210,15964,3
1233,15964,5
12473,15964,1
13534,15964,1
13825,15964,1
14,15964,3
1433,15964,5
14638,15964,2
14640,15964,3
14758,15964,1
15289,15964,1
1116,1621304,5
13534,1621304,1
13825,1621304,5
14,1621304,5
1466,1621304,2
1470,1621304,5
15200,1621304,5
15289,1621304,5
10239807,16242,1
10779161,16242,5
10797125,16242,5
1152897,16242,5
12952,16242,5
1381700,16242,5
144791,16242,5
15249,16242,5
15288,16242,4
15871,16242,5
10239807,16247,3
10779161,16247,3
10797125,16247,5
1116,16247,2
1152897,16247,5
12952,16247,3
1381700,16247,5
14,16247,2
15249,16247,5
15288,16247,5
15871,16247,5
16242,16247,5
10239807,1630,1
10779161,1630,3
10797125,1630,5
11351,1630,1
1152897,1630,5
1210,1630,1
12952,1630,5
1381700,1630,1
144791,1630,2
1470,1630,1
14758,1630,3
15249,1630,5
15288,1630,5
15871,1630,4
1621304,1630,3
16242,1630,5
16247,1630,5
10775987,16592,4
11351,16592,5
11402,16592,5
1146,16592,5
1210,16592,5
12473,16592,5
12716,16592,5
13910,16592,5
14,16592,1
1433,16592,2
145,16592,5
14638,16592,5
1470,16592,5
14758,16592,4
15200,16592,3
15289,16592,5
15964,16592,1
16247,16592,3
1116,16696933,5
11351,16696933,5
11402,16696933,5
1146,16696933,5
1210,16696933,5
1233,16696933,5
12473,16696933,5
12716,16696933,5
13534,16696933,5
13910,16696933,2
14,16696933,2
1433,16696933,5
145,16696933,3
14638,16696933,5
14640,16696933,5
1470,16696933,2
14758,16696933,3
15200,16696933,5
15289,16696933,4
15964,16696933,5
16592,16696933,5
1116,16703098,5
11351,16703098,2
1233,16703098,5
12473,16703098,3
12716,16703098,2
13534,16703098,5
13910,16703098,2
14,16703098,2
1433,16703098,3
145,16703098,2
14638,16703098,3
14640,16703098,5
1466,16703098,1
15200,16703098,1
15289,16703098,3
15964,16703098,5
16247,16703098,2
16592,16703098,3
16696933,16703098,5
10775987,1675,4
1116,1675,5
11351,1675,4
11402,1675,5
1233,1675,5
12473,1675,2
12716,1675,4
13534,1675,5
14,1675,4
1433,1675,5
14638,1675,3
14640,1675,5
15200,1675,2
15289,1675,4
15964,1675,5
16696933,1675,5
16703098,1675,5
10797125,16752709,5
1152897,16752709,5
12952,16752709,5
144791,16752709,5
15249,16752709,5
15871,16752709,5
16242,16752709,5
1630,16752709,5
10779161,16837,5
10797125,16837,5
1152897,16837,5
12952,16837,4
1381700,16837,5
144791,16837,5
14758,16837,2
15249,16837,5
15288,16837,5
16242,16837,5
16247,16837,5
1630,16837,5
16752709,16837,5
1116,1692,5
11402,1692,1
13534,1692,1
13825,1692,5
14,1692,5
145,1692,3
1466,1692,5
1470,1692,5
15200,1692,4
15289,1692,3
1621304,1692,5
1630,1692,1
10239807,1694,3
1116,1694,3
11351,1694,3
11402,1694,3
1233,1694,3
12473,1694,1
12716,1694,2
13534,1694,5
14,1694,2
1433,1694,5
14638,1694,5
14640,1694,5
1470,1694,2
15200,1694,3
15289,1694,3
15964,1694,1
1621304,1694,5
1630,1694,2
16696933,1694,5
16703098,1694,2
1675,1694,5
1692,1694,5
11351,16970,3
1146,16970,3
1210,16970,1
1233,16970,2
13534,16970,1
13825,16970,5
14,16970,1
1433,16970,1
14638,16970,2
14640,16970,3
1466,16970,3
1621304,16970,1
16592,16970,2
16696933,16970,5
16703098,16970,3
1675,16970,3
1116,16971,2
11351,16971,5
11402,16971,2
1146,16971,5
1210,16971,5
1233,16971,5
12473,16971,4
12716,16971,1
13534,16971,1
13825,16971,5
13910,16971,2
14,16971,4
1433,16971,5
145,16971,1
14638,16971,5
14640,16971,2
1466,16971,4
1470,16971,3
15200,16971,4
15289,16971,2
15964,16971,3
16592,16971,4
16696933,16971,5
16703098,16971,1
1675,16971,4
1694,16971,4
16970,16971,2
10775987,16972,1
11351,16972,5
11402,16972,3
1210,16972,3
1233,16972,3
12716,16972,1
13534,16972,1
13910,16972,1
14,16972,3
1433,16972,5
145,16972,2
14638,16972,2
14640,16972,5
1470,16972,5
14758,16972,1
15289,16972,4
16592,16972,5
16696933,16972,1
16703098,16972,3
1675,16972,2
16971,16972,1
12473,16974,2
1466,16974,3
16970,16974,2
16971,16974,4
1116,16978,5
11351,16978,5
11402,16978,2
1146,16978,5
1210,16978,4
1233,16978,5
12473,16978,3
12716,16978,4
13534,16978,5
13825,16978,5
13910,16978,3
14,16978,2
1433,16978,5
145,16978,2
14638,16978,5
14640,16978,5
1466,16978,5
1470,16978,5
15200,16978,4
15289,16978,2
15964,16978,1
16592,16978,5
16696933,16978,5
16703098,16978,3
1675,16978,3
1694,16978,3
16970,16978,3
16971,16978,5
16972,16978,3
11351,16979,5
11402,16979,3
1210,16979,1
1233,16979,5
13534,16979,2
13825,16979,1
14,16979,2
1433,16979,5
145,16979,1
14638,16979,1
14640,16979,5
1470,16979,3
15964,16979,1
16592,16979,1
16696933,16979,4
16703098,16979,5
1675,16979,5
1694,16979,1
16971,16979,3
16972,16979,2
16978,16979,3
10775987,16982,4
11351,16982,5
11402,16982,5
1146,16982,5
1210,16982,5
12473,16982,5
12716,16982,5
13910,16982,5
1433,16982,5
145,16982,5
14638,16982,4
1470,16982,5
14758,16982,5
15200,16982,5
15289,16982,5
16592,16982,5
16696933,16982,5
16970,16982,4
16971,16982,5
16972,16982,3
16978,16982,5
16979,16982,1
1116,16986,3
11351,16986,1
11402,16986,2
1146,16986,1
13534,16986,5
1381700,16986,1
14640,16986,4
1470,16986,5
1621304,16986,5
1692,16986,3
1694,16986,4
16972,16986,1
16978,16986,1
10239807,16989,2
1116,16989,2
11351,16989,5
11402,16989,5
1210,16989,5
1233,16989,5
12473,16989,5
12716,16989,2
13534,16989,5
13825,16989,1
13910,16989,5
14,16989,4
1433,16989,5
145,16989,4
14638,16989,4
14640,16989,5
1466,16989,2
1470,16989,5
15200,16989,3
15288,16989,4
15289,16989,4
15964,16989,4
16592,16989,2
16696933,16989,5
16703098,16989,3
1675,16989,5
1694,16989,5
16970,16989,1
16971,16989,5
16972,16989,5
16978,16989,5
16979,16989,5
16982,16989,5
16986,16989,4
1116,16990,1
11351,16990,5
11402,16990,2
1146,16990,5
1210,16990,5
1233,16990,5
12473,16990,3
12716,16990,2
13534,16990,2
13825,16990,5
13910,16990,2
14,16990,4
1433,16990,5
145,16990,2
14638,16990,4
14640,16990,3
1466,16990,3
1470,16990,5
14758,16990,1
15200,16990,1
15289,16990,4
15964,16990,2
1621304,16990,1
16592,16990,5
16696933,16990,5
16703098,16990,2
1675,16990,4
1694,16990,3
16970,16990,1
16971,16990,5
16972,16990,2
16978,16990,5
16979,16990,3
16982,16990,5
16989,16990,5
11351,16991,5
1146,16991,5
1210,16991,5
1233,16991,5
12473,16991,4
13534,16991,4
13825,16991,2
13910,16991,1
1433,16991,5
145,16991,3
14638,16991,3
14640,16991,4
1466,16991,1
1470,16991,2
15200,16991,2
15964,16991,3
16592,16991,5
16696933,16991,5
16703098,16991,4
1675,16991,5
1694,16991,3
16970,16991,4
16971,16991,5
16974,16991,5
16978,16991,3
16979,16991,4
16982,16991,5
16989,16991,5
16990,16991,5
10779161,16992,1
1116,16992,3
11351,16992,3
1233,16992,3
1381700,16992,4
13825,16992,5
14,16992,3
1433,16992,1
1470,16992,1
15249,16992,1
15288,16992,5
15289,16992,3
1621304,16992,1
16242,16992,3
16247,16992,5
16592,16992,3
16703098,16992,3
16837,16992,4
16972,16992,1
16978,16992,2
16986,16992,3
16989,16992,1
10239807,1699293,1
10779161,1699293,3
10797125,1699293,5
1152897,1699293,5
12952,1699293,5
1381700,1699293,4
144791,1699293,5
14758,1699293,4
15249,1699293,5
15288,1699293,5
15871,1699293,5
1621304,1699293,2
16242,1699293,5
16247,1699293,5
1630,1699293,5
16752709,1699293,5
16837,1699293,5
1692,1699293,1
1694,1699293,1
10779161,16993,1
1146,16993,4
1210,16993,4
13534,16993,2
1470,16993,2
14758,16993,2
1621304,16993,3
16592,16993,3
16696933,16993,3
1692,16993,5
16982,16993,5
10779161,16995,5
10797125,16995,5
1152897,16995,5
12952,16995,5
1381700,16995,4
144791,16995,1
15249,16995,5
15288,16995,1
15871,16995,5
16242,16995,5
16247,16995,5
