"node_1","node_2","edge"
3743407,21060,5
3743407,1909,5
10121,1909,1
21060,1909,5
3743407,2607,5
21060,2607,5
1909,2607,5
3743407,2772,5
21060,2772,5
1909,2772,5
2607,2772,5
3743407,4459,5
3250053,4459,1
21060,4459,5
1909,4459,5
2607,4459,5
2772,4459,5
3743407,5884,1
21060,5884,5
1909,5884,5
2607,5884,5
2772,5884,5
4459,5884,5
3250053,9521,5
21060,9521,5
2933097,9521,1
1909,9521,3
2607,9521,5
2772,9521,5
4459,9521,5
5884,9521,2
3743407,9530,5
21060,9530,5
2933097,9530,1
1909,9530,5
2607,9530,5
2772,9530,5
4459,9530,5
5884,9530,4
9521,9530,5
3743407,16356,5
3250053,16356,2
21060,16356,5
1909,16356,5
2607,16356,5
2772,16356,5
4459,16356,5
5884,16356,5
9521,16356,5
9530,16356,5
3743407,18908,5
3250053,18908,2
21060,18908,5
2933097,18908,1
1909,18908,5
2607,18908,5
2772,18908,5
4459,18908,5
5884,18908,5
9521,18908,5
9530,18908,5
16356,18908,5
21060,9519,5
1909,9519,4
2607,9519,5
2772,9519,5
4459,9519,5
5884,9519,3
9521,9519,3
9530,9519,5
16356,9519,5
18908,9519,5
10121,20272,5
2697017,20272,3
2920359,20272,1
9521,3200339,3
16356,3200339,1
18908,3200339,2
3743407,3797,5
21060,3797,5
1909,3797,4
2607,3797,2
2772,3797,5
4459,3797,2
5884,3797,1
9530,3797,4
16356,3797,5
18908,3797,2
3743407,9520,5
3250053,9520,1
21060,9520,5
2772,9520,2
4459,9520,5
5884,9520,1
9521,9520,2
9530,9520,1
16356,9520,5
18908,9520,3
3797,9520,5
3743407,9534,5
21060,9534,5
2607,9534,1
2772,9534,3
4459,9534,1
9530,9534,2
16356,9534,3
18908,9534,4
3200339,9534,2
3797,9534,5
9520,9534,5
2933097,9523,2
9520,10733393,5
2933097,17184,5
9530,17184,1
9519,17184,1
3743407,4957,1
3250053,4957,4
2933097,4957,2
4459,4957,3
9521,4957,2
16356,4957,2
18908,4957,2
3200339,4957,5
9520,4957,3
9534,4957,1
10121,20178,4
20272,20178,4
3200339,9524,3
21060,2642237,1
1909,2642237,1
2607,2642237,1
4459,2642237,1
16356,2642237,1
9519,2642237,3
9534,2642237,1
17184,2642237,2
10121,2622312,5
20272,2622312,2
21060,132,5
2933097,132,1
1909,132,1
2607,132,3
4459,132,2
5884,132,3
9521,132,5
9530,132,3
16356,132,5
18908,132,3
9519,132,3
3200339,132,1
3743407,3110545,2
21060,3110545,5
1909,3110545,5
2607,3110545,5
2772,3110545,5
4459,3110545,5
5884,3110545,4
9521,3110545,5
9530,3110545,5
16356,3110545,5
18908,3110545,5
9519,3110545,4
132,3110545,3
10121,2854965,5
20272,2854965,3
20178,2854965,1
2622312,2854965,5
4459,10936540,1
9521,10936540,1
18908,10936540,1
10121,2622308,4
2622312,2622308,5
2854965,2622308,2
10121,2622478,1
20272,2622478,4
21060,90,5
2607,90,2
2772,90,2
4459,90,2
5884,90,1
9521,90,2
9530,90,2
18908,90,1
132,90,1
3110545,90,1
21060,259,5
1909,259,3
2607,259,4
2772,259,4
4459,259,3
5884,259,2
9521,259,5
9530,259,5
16356,259,3
18908,259,5
9519,259,5
2642237,259,1
132,259,3
3110545,259,3
90,259,4
21060,2908,5
1909,2908,5
2607,2908,5
2772,2908,3
4459,2908,2
5884,2908,4
9521,2908,4
9530,2908,4
16356,2908,3
18908,2908,5
9519,2908,2
132,2908,3
3110545,2908,4
90,2908,5
259,2908,5
3743407,6384,5
10121,6384,1
3250053,6384,3
21060,6384,5
1909,6384,5
2607,6384,4
2772,6384,5
4459,6384,3
5884,6384,4
9521,6384,1
9530,6384,4
16356,6384,5
18908,6384,4
9519,6384,3
3797,6384,3
9520,6384,1
132,6384,1
3110545,6384,3
90,6384,1
259,6384,3
2908,6384,3
21060,9518,3
2607,9518,3
2772,9518,3
4459,9518,4
5884,9518,2
9521,9518,3
9530,9518,2
16356,9518,2
18908,9518,1
9519,9518,2
9520,9518,2
17184,9518,3
2642237,9518,1
90,9518,4
259,9518,2
2908,9518,3
3250053,9527,5
21060,9527,3
1909,9527,2
2607,9527,3
2772,9527,3
4459,9527,4
5884,9527,3
9521,9527,5
9530,9527,3
16356,9527,3
18908,9527,5
9519,9527,3
132,9527,1
3110545,9527,3
90,9527,2
259,9527,4
2908,9527,3
6384,9527,2
9518,9527,1
21060,3123861,5
2933097,3123861,2
1909,3123861,5
2607,3123861,5
2772,3123861,5
4459,3123861,4
5884,3123861,5
9521,3123861,5
9530,3123861,5
16356,3123861,5
18908,3123861,5
9519,3123861,5
132,3123861,5
3110545,3123861,5
90,3123861,1
259,3123861,5
2908,3123861,5
6384,3123861,4
9518,3123861,1
9527,3123861,4
2920359,2920334,1
1909,2920334,1
10121,39826822,3
2697017,39826822,3
1909,39826822,2
20272,39826822,2
2622478,39826822,2
20456,904,5
2920334,904,4
39826822,904,3
20272,20267,5
2622312,20267,4
2854965,20267,5
10121,2621211,5
2697017,2621211,5
20272,2621211,5
2920320,2621211,3
2622478,2621211,1
39826822,2621211,1
20267,2621211,3
2697017,3116215,1
20272,3116215,2
10733393,3116215,1
39826822,3116215,1
20267,3116215,1
2621211,3116215,5
20272,40619702,5
2622312,40619702,5
2854965,40619702,5
904,40619702,1
20267,40619702,5
2621211,40619702,3
3116215,40619702,1
3743407,4623821,5
4459,4623821,1
9520,4623821,1
10936540,4623821,1
10121,20120,3
10733393,20120,2
20178,20120,2
2622478,20120,1
6384,20120,1
3123861,20120,1
2621211,20120,1
3116215,20120,1
4459,9529,4
9521,9529,3
3200339,9529,3
9520,9529,4
2642237,9529,3
20272,19262,5
2920320,19262,3
2622478,19262,2
2920334,19262,2
39826822,19262,3
904,19262,1
2621211,19262,3
3116215,19262,3
20272,19263,1
2920320,19263,5
2621211,19263,4
3116215,19263,5
19262,19263,5
20272,3277064,2
20456,3277064,4
39826822,3277064,3
904,3277064,1
20456,3405986,5
904,3405986,3
3277064,3405986,1
10121,3315949,5
20272,3315949,3
2621211,3315949,2
3116215,3315949,1
19262,3315949,1
19263,3315949,1
20456,42685082,1
2622312,42685082,3
2854965,42685082,5
40619702,42685082,1
19263,42685082,4
3315949,42685082,2
3123861,21140,1
3116215,21140,1
20120,21140,3
19262,21140,1
3315949,21140,1
10936540,9532,1
20272,2597966,5
2622478,2597966,5
39826822,2597966,2
20267,2597966,1
2621211,2597966,2
3116215,2597966,1
20120,2597966,1
19262,2597966,1
19263,2597966,1
3315949,2597966,1
42685082,2597966,1
20456,3251495,4
20267,3251495,3
40619702,3251495,5
19262,3251495,1
19263,3251495,4
3277064,3251495,3
3405986,3251495,1
42685082,3251495,2
2597966,3251495,1
3250053,9522,5
9521,9522,1
16356,9522,2
3200339,9522,5
3797,9522,2
9520,9522,2
9534,9522,4
4957,9522,2
9524,9522,1
10936540,9522,3
10121,2621987,5
20272,2621987,2
20178,2621987,2
2622312,2621987,5
2854965,2621987,5
2622308,2621987,3
20267,2621987,5
