"node_1","node_2","edge"
1039,10733393,1
10041,10799784,2
10041,1084,2
1039,1084,2
10041,1087,2
10041,11950526,1
1027,12337591,1
1039,12337591,1
10724310,12337591,1
10736421,12337591,1
1087,12337591,1
12130599,12337591,2
10724310,1269570,2
10733393,1269570,1
10041,1277,1
1027,1277,1
10799784,1277,1
1084,1277,1
10041,132,1
10799784,132,1
1084,132,1
1087,132,1
11950526,132,1
12337591,132,1
10041,1396,1
10736421,1396,1
10799784,1396,1
1084,1396,1
1087,1396,1
10736421,1457,1
1277,1457,2
10799784,15813,1
11950526,15813,1
1396,15813,1
10041,15963183,1
10799784,15963183,1
1087,15963183,1
11950526,15963183,1
12130599,15963183,1
132,15963183,1
10041,16089254,1
10733393,16089254,1
10799784,16089254,1
1084,16089254,1
1087,16089254,1
12130599,16089254,1
1396,16089254,1
1457,16089254,2
10736421,16097074,1
1087,16097074,1
1269570,16097074,1
1396,16097074,1
1457,16097074,1
1457,1625,1
10041,16356,1
1039,16356,1
12337591,16356,1
1269570,16356,1
1277,16356,1
1396,16356,2
1039,16815833,1
11950526,16815833,1
12337591,16815833,1
1457,16815833,1
15813,16815833,1
16097074,16815833,1
10736421,16818017,1
11950526,16818017,1
12130599,16818017,1
1269570,16818017,2
132,16818017,1
15963183,16818017,1
16089254,16818017,1
16097074,16818017,2
10799784,17184,1
12130599,17184,1
12337591,17184,1
1396,17184,1
16097074,17184,1
10799784,17186,1
1087,17186,1
1396,17186,1
16097074,17186,2
16815833,17186,1
1027,17187,1
11950526,17187,1
1277,17187,1
1396,17187,1
16097074,17187,3
16356,17187,1
16818017,17187,2
1027,17188,1
1277,17188,1
1396,17188,1
1457,17188,2
16097074,17188,1
16356,17188,1
1039,17189,1
11950526,17189,1
15813,17189,1
16097074,17189,1
16815833,17189,1
1087,1758,1
12337591,1758,1
1396,1758,1
15813,1758,1
16097074,1758,1
16356,1758,1
16818017,1758,1
17187,1758,1
17188,1758,1
1087,18495,2
11950526,18495,1
15963183,18495,1
16097074,18495,1
16815833,18495,1
16818017,18495,1
17186,18495,2
17187,18495,1
17189,18495,1
132,1854,1
15813,1854,1
17187,1854,1
17188,1854,1
1027,18823,1
1087,18823,1
11950526,18823,1
15963183,18823,1
16097074,18823,1
16818017,18823,1
17186,18823,1
17187,18823,1
18495,18823,1
10041,18908,1
1277,18908,1
1396,18908,2
16356,18908,1
17184,18908,1
17186,18908,1
17187,18908,1
17189,18908,1
1758,18908,1
18823,18908,1
1087,18967992,1
11950526,18967992,1
1269570,18967992,1
132,18967992,1
15813,18967992,1
16097074,18967992,1
16815833,18967992,2
17186,18967992,2
17188,18967992,1
17189,18967992,1
18495,18967992,2
18823,18967992,1
1087,18968065,1
1269570,18968065,1
1277,18968065,1
15813,18968065,1
16097074,18968065,1
16356,18968065,1
16818017,18968065,1
17186,18968065,1
17188,18968065,1
18495,18968065,1
1854,18968065,1
18823,18968065,1
18967992,18968065,1
1087,19027367,1
11950526,19027367,2
15963183,19027367,1
16097074,19027367,2
16815833,19027367,1
16818017,19027367,1
17186,19027367,1
17187,19027367,1
17188,19027367,1
17189,19027367,1
18495,19027367,1
18823,19027367,1
18967992,19027367,2
10041,1909,1
1087,1909,1
11950526,1909,2
12130599,1909,1
1396,1909,1
16097074,1909,1
16815833,1909,1
17186,1909,1
17188,1909,1
17189,1909,1
18495,1909,1
18823,1909,1
18967992,1909,1
18968065,1909,1
19027367,1909,2
10041,19212,1
11950526,19212,3
15813,19212,1
15963183,19212,1
16815833,19212,1
16818017,19212,1
17186,19212,1
17189,19212,1
18495,19212,2
18823,19212,1
18967992,19212,1
19027367,19212,2
1909,19212,2
10736421,19261,1
11950526,19261,2
1277,19261,1
1396,19261,1
15813,19261,1
16097074,19261,1
16815833,19261,1
16818017,19261,1
17184,19261,1
17186,19261,1
17188,19261,1
17189,19261,1
18495,19261,2
18908,19261,1
18967992,19261,1
19027367,19261,2
19212,19261,2
1027,19262,1
11950526,19262,2
12337591,19262,1
132,19262,1
15963183,19262,1
16815833,19262,1
16818017,19262,1
17187,19262,1
17189,19262,1
1758,19262,1
18495,19262,3
18823,19262,1
18967992,19262,1
19027367,19262,2
19212,19262,3
19261,19262,2
10736421,19263,1
11950526,19263,2
15813,19263,1
15963183,19263,1
16097074,19263,2
16815833,19263,1
16818017,19263,1
17186,19263,2
17187,19263,1
17189,19263,1
18495,19263,2
18823,19263,2
18908,19263,1
18967992,19263,2
18968065,19263,1
19027367,19263,3
1909,19263,1
19212,19263,2
19261,19263,2
19262,19263,2
11950526,19525,1
15963183,19525,1
16818017,19525,1
18495,19525,1
18823,19525,1
19027367,19525,1
19212,19525,2
19261,19525,1
19262,19525,1
19263,19525,1
10736421,19730,1
11950526,19730,1
1269570,19730,1
15963183,19730,1
16097074,19730,2
16356,19730,1
16818017,19730,2
17187,19730,3
18495,19730,1
1854,19730,1
18823,19730,2
18968065,19730,1
19027367,19730,1
19212,19730,1
19261,19730,1
19262,19730,2
19263,19730,2
19525,19730,1
10041,19814,1
