"node_1","node_2","edge"
1739,9481,5
1739,898,5
1739,20116,5
9481,20116,5
898,20116,5
1739,20271,5
9481,20271,3
898,20271,2
20116,20271,5
1739,20853,5
9481,20853,5
898,20853,5
20116,20853,5
20271,20853,5
1739,9468,5
9481,9468,5
898,9468,5
20116,9468,5
20271,9468,5
20853,9468,5
1739,19297,4
20271,19297,5
9468,19297,3
1739,19259,5
9481,19259,5
898,19259,5
20116,19259,5
20271,19259,5
20853,19259,5
9468,19259,5
19297,19259,3
1739,2959035,5
9481,2959035,3
20116,2959035,4
20271,2959035,3
20853,2959035,5
19259,2959035,3
9466,3412,2
9476,3412,2
9466,9475,1
9476,9475,1
3412,9475,4
9466,18907,4
9476,18907,5
3412,18907,5
9475,18907,5
9466,7542332,1
3412,7542332,5
9475,7542332,3
18907,7542332,1
1739,19117,5
9481,19117,5
898,19117,5
20116,19117,5
20271,19117,3
20853,19117,5
9468,19117,5
19297,19117,5
19259,19117,5
1739,7513346,5
9481,7513346,1
20116,7513346,5
20853,7513346,5
9468,7513346,5
19259,7513346,5
19117,7513346,1
1739,7531718,5
898,7531718,5
20116,7531718,5
20271,7531718,1
20853,7531718,5
9468,7531718,5
19297,7531718,5
19259,7531718,5
2959035,7531718,2
19117,7531718,2
7513346,7531718,5
9466,3479,2
3412,3479,1
9475,3479,1
18907,3479,2
7542332,3479,4
9466,130,5
9476,130,1
3412,130,5
9475,130,3
18907,130,5
7542332,130,3
3479,130,3
9466,1864,5
9476,1864,5
3412,1864,5
9475,1864,5
18907,1864,5
3479,1864,1
130,1864,5
9466,6432,2
9476,6432,1
3412,6432,5
9475,6432,3
18907,6432,3
7542332,6432,5
3479,6432,5
130,6432,5
1864,6432,4
130,9480,1
1864,9480,3
9466,13233,5
9476,13233,5
3412,13233,5
9475,13233,5
18907,13233,5
7542332,13233,1
3479,13233,3
130,13233,5
1864,13233,5
6432,13233,5
9480,13233,5
9466,7647151,5
9476,7647151,5
3412,7647151,5
9475,7647151,5
18907,7647151,5
7542332,7647151,5
3479,7647151,3
130,7647151,5
1864,7647151,5
6432,7647151,5
9480,7647151,4
13233,7647151,5
9466,40606957,5
9476,40606957,5
3412,40606957,5
9475,40606957,5
18907,40606957,5
7542332,40606957,5
3479,40606957,5
130,40606957,5
1864,40606957,5
6432,40606957,5
9480,40606957,5
13233,40606957,5
7647151,40606957,5
9476,9464,5
9475,9464,1
18907,9464,1
7542332,9464,3
3479,9464,2
130,9464,1
1864,9464,1
13233,9464,3
7647151,9464,3
40606957,9464,3
898,2633,5
20116,2633,2
9468,2633,1
19259,2633,5
9475,2633,1
7542332,2633,3
19117,2633,1
9464,2633,1
9466,9467,5
3412,9467,1
9475,9467,1
18907,9467,1
7542332,9467,2
3479,9467,5
