"node_1","node_2","edge"
10289,10688628,1
10289,1087,1
10688628,1087,1
1087,11892958,1
10289,11967,1
1087,11967,1
11967,11989,1
10289,12728293,2
10688628,12728293,1
1087,12728293,1
11892958,12728293,2
11967,12728293,1
11989,12728293,1
10678785,1277,1
1087,1277,1
11967,1277,2
12728293,1277,2
10678785,130,1
10688628,130,1
12728293,130,2
1087,13233,1
11892958,13233,2
11967,13492136,2
12728293,13492136,1
130,13492136,1
10678785,14593,1
12728293,14593,2
11967,14612,1
12728293,15479,1
1277,15479,1
11967,15741061,1
11989,15741061,2
11989,16018679,1
12728293,16018679,2
1277,16018679,1
130,16018679,2
14612,16018679,2
15741061,16018679,1
10678785,1607456,2
11967,1607456,1
11989,1607456,1
14612,1607456,1
16018679,1607456,1
10289,16076664,1
10678785,16076664,1
11989,16076664,1
12728293,16076664,1
130,16076664,1
13233,16076664,1
15479,16076664,2
10678785,16124301,1
11892958,16124301,1
11967,16124301,2
10688628,16126692,1
11989,16126692,1
12728293,16126692,2
16076664,16126692,1
16124301,16126692,1
10289,1625,1
11967,1625,1
11989,1625,3
12728293,1625,2
1277,1625,1
130,1625,2
13492136,1625,1
14593,1625,1
1607456,1625,1
16126692,1625,3
11967,16369920,1
12728293,16369920,1
13492136,16369920,2
14612,16369920,1
1607456,16369920,1
16076664,16369920,1
16126692,16369920,1
1625,16369920,1
11989,16369977,1
1277,16369977,1
13492136,16369977,2
15479,16369977,1
1607456,16369977,1
16076664,16369977,1
1625,16369977,1
16369920,16369977,2
11967,16727171,1
130,16727171,1
13233,16727171,1
13492136,16727171,2
14593,16727171,1
14612,16727171,1
1607456,16727171,1
16076664,16727171,2
16369920,16727171,2
16369977,16727171,2
10678785,1702,1
11989,1702,1
12728293,1702,1
16076664,1702,1
10678785,17068,1
11989,17068,1
130,17068,1
15479,17068,1
1607456,17068,1
16076664,17068,1
16369920,17068,1
16369977,17068,1
16727171,17068,2
12728293,17320,1
130,17320,1
16369977,17320,1
17068,17320,1
10678785,1739,2
11892958,1739,1
13233,1739,1
13492136,1739,1
14612,1739,2
15741061,1739,2
1607456,1739,1
16076664,1739,2
16369977,1739,1
16727171,1739,1
17068,1739,1
11989,1854,1
130,1854,1
13233,1854,1
13492136,1854,1
16018679,1854,2
16076664,1854,1
16727171,1854,1
17068,1854,1
17320,1854,1
1739,1854,1
10678785,1864,1
10688628,1864,1
12728293,1864,1
1277,1864,1
130,1864,1
13233,1864,1
16076664,1864,1
1625,1864,2
16369977,1864,2
16727171,1864,2
17320,1864,1
1739,1864,1
10678785,18811,2
1087,18811,1
12728293,18811,2
130,18811,1
13233,18811,1
14612,18811,2
16018679,18811,2
16126692,18811,1
1625,18811,1
16727171,18811,1
17320,18811,1
1854,18811,1
10678785,18907,1
12728293,18907,1
130,18907,1
13492136,18907,1
14593,18907,1
16076664,18907,1
16727171,18907,1
17068,18907,1
1854,18907,1
1864,18907,1
18811,18907,1
1087,1892,2
12728293,1892,1
1277,1892,1
17068,1892,1
130,1898,1
13233,1898,2
16076664,1898,1
16727171,1898,1
1739,1898,1
1854,1898,1
1864,1898,1
18907,1898,1
10678785,19259,1
11989,19259,1
12728293,19259,1
14612,19259,2
15741061,19259,2
16018679,19259,2
1607456,19259,2
16126692,19259,1
1739,19259,2
10678785,19326,2
1087,19326,1
11967,19326,1
14612,19326,2
1607456,19326,3
1739,19326,1
19259,19326,1
10678785,19415,4
10688628,19415,1
11967,19415,1
130,19415,1
14612,19415,2
16018679,19415,2
16124301,19415,1
1702,19415,1
1739,19415,3
1864,19415,1
18811,19415,1
19259,19415,2
11967,20094,1
1277,20094,1
14612,20094,2
16018679,20094,1
16369977,20094,1
1739,20094,1
19259,20094,2
19415,20094,3
10688628,20116,1
11989,20116,2
12728293,20116,1
130,20116,1
14612,20116,1
15741061,20116,2
16018679,20116,2
1625,20116,1
16369977,20116,1
1739,20116,3
1892,20116,1
1898,20116,1
19259,20116,2
19415,20116,3
20094,20116,1
1087,20175,1
11967,20175,1
14612,20175,3
15741061,20175,3
16018679,20175,2
1625,20175,1
1739,20175,2
18811,20175,1
19259,20175,2
19415,20175,2
20094,20175,2
20116,20175,3
10678785,2021,1
11967,2021,1
12728293,2021,1
15741061,2021,1
1739,2021,1
19259,2021,1
19415,2021,1
20116,2021,1
20175,2021,1
10678785,20271,1
11892958,20271,1
12728293,20271,1
13233,20271,1
14612,20271,1
15741061,20271,1
16018679,20271,1
1625,20271,1
1702,20271,1
1739,20271,1
19259,20271,1
19326,20271,1
19415,20271,2
20116,20271,1
20175,20271,1
1087,2034,1
11967,2034,2
11989,2034,1
12728293,2034,1
13492136,2034,1
14612,2034,1
15741061,2034,1
16076664,2034,1
16124301,2034,1
16126692,2034,2
1625,2034,1
16369977,2034,1
1702,2034,1
17068,2034,1
1739,2034,1
1892,2034,1
19259,2034,2
19326,2034,1
19415,2034,1
20175,2034,1
2021,2034,1
10678785,20567,2
14593,20567,1
14612,20567,2
15741061,20567,1
16018679,20567,1
1607456,20567,1
16124301,20567,1
16727171,20567,1
1739,20567,2
18811,20567,2
19259,20567,2
19326,20567,3
19415,20567,2
20094,20567,1
20116,20567,1
20175,20567,2
2021,20567,1
20271,20567,1
2034,20567,1
10678785,20853,2
1087,20853,1
12728293,20853,1
13233,20853,1
13492136,20853,1
14593,20853,1
14612,20853,1
15741061,20853,1
16018679,20853,1
1607456,20853,1
16124301,20853,1
1739,20853,1
1854,20853,1
18811,20853,1
18907,20853,1
1898,20853,1
19259,20853,1
19326,20853,2
19415,20853,1
20094,20853,1
20116,20853,1
20175,20853,1
20271,20853,1
2034,20853,1
20567,20853,2
12728293,2218,2
14612,2218,1
16124301,2218,1
16369977,2218,1
2034,2218,1
20853,2218,1
1087,226,1
11892958,226,1
11967,226,1
13233,226,1
14612,226,1
15741061,226,1
16018679,226,1
16126692,226,1
1625,226,1
16369977,226,1
1739,226,1
1864,226,1
18811,226,1
1892,226,1
19259,226,1
19415,226,2
20116,226,2
20175,226,2
2021,226,3
2034,226,1
20567,226,1
20853,226,1
2218,226,1
10678785,2472,1
11989,2472,3
130,2472,1
16018679,2472,1
2021,2472,1
14612,24796083,1
15741061,24796083,1
16018679,24796083,1
1607456,24796083,2
1625,24796083,1
16369977,24796083,1
17068,24796083,2
17320,24796083,1
1739,24796083,1
1854,24796083,1
1864,24796083,1
1892,24796083,1
19259,24796083,1
19415,24796083,1
20094,24796083,1
20116,24796083,1
20175,24796083,1
20271,24796083,1
20567,24796083,1
20853,24796083,2
2472,24796083,1
10678785,24797781,1
10688628,24797781,1
12728293,24797781,1
130,24797781,1
16076664,24797781,1
16727171,24797781,1
1702,24797781,1
17068,24797781,1
1854,24797781,2
1864,24797781,1
18907,24797781,1
1892,24797781,1
1898,24797781,1
19415,24797781,1
20116,24797781,1
10678785,2584163,1
11967,2584163,1
12728293,2584163,2
1277,2584163,1
1607456,2584163,1
