"node_1","node_2","edge"
4961,24856581,5
20273,4963,5
20273,9566,1
4961,5714,5
20273,3765756,5
4963,3765756,3
9566,3765756,5
20273,535781,5
4963,535781,5
28206520,9564,3
4963,28299352,5
3765756,28299352,2
20273,20179,4
28206520,20179,5
4963,20179,5
9566,20179,1
3765756,20179,1
28299352,20179,5
28206520,21140,5
4963,21140,1
9566,21140,5
3765756,21140,2
9564,21140,1
28299352,21140,3
20179,21140,4
4963,10155998,5
28299352,10155998,5
20179,10155998,5
20273,3316288,5
9566,3316288,5
3765756,3316288,5
535781,3316288,5
20179,3316288,1
28206520,2675,4
9564,2675,3
28299352,2675,1
28299352,9560,1
2675,8010,4
20273,10196679,5
535781,10196679,5
3316288,10196679,2
4961,8451,3
9564,8451,1
28299352,8451,2
2675,8451,1
8010,8451,4
20273,20858,5
4963,20858,5
3765756,20858,1
535781,20858,5
28299352,20858,5
20179,20858,5
21140,20858,3
10155998,20858,5
3316288,20858,2
10196679,20858,1
20273,2633,5
28206520,2633,3
4963,2633,1
9566,2633,4
28299352,2633,2
20179,2633,5
21140,2633,5
10155998,2633,5
20858,2633,5
20273,20463,1
28206520,20463,4
9566,20463,5
3765756,20463,5
28299352,20463,2
20179,20463,5
21140,20463,5
3316288,20463,5
20858,20463,4
2633,20463,3
4961,1625,5
24856581,1625,5
9564,1625,1
28299352,1625,5
8451,1625,3
20273,11244097,5
4963,11244097,5
535781,11244097,3
20179,11244097,5
10196679,11244097,1
20858,11244097,4
20463,11244097,1
20273,29334458,5
4963,29334458,5
3765756,29334458,2
20179,29334458,4
10155998,29334458,3
20858,29334458,1
2633,29334458,1
11244097,29334458,3
4961,1854,3
24856581,1854,5
2675,1854,3
9560,1854,1
8010,1854,2
9564,3250,5
28299352,3250,2
2675,3250,5
9560,3250,3
8010,3250,3
8451,3250,3
1625,3250,3
1854,3250,3
9564,198,4
28299352,198,3
2675,198,5
9560,198,2
8010,198,3
8451,198,5
1625,198,2
1854,198,1
3250,198,5
20273,19651,5
4963,19651,4
28299352,19651,5
20179,19651,5
21140,19651,4
10155998,19651,5
20858,19651,5
2633,19651,5
20463,19651,3
11244097,19651,3
4961,9232,1
2675,9232,2
8010,9232,3
8451,9232,4
3250,9232,4
198,9232,3
4961,9561,1
28206520,9561,1
9564,9561,1
2675,9561,2
8451,9561,1
1625,9561,3
3250,9561,2
198,9561,3
4963,1739,1
9566,1739,5
3765756,1739,5
535781,1739,3
28299352,1739,2
20179,1739,1
21140,1739,4
10155998,1739,3
3316288,1739,5
20858,1739,3
2633,1739,3
20463,1739,3
11244097,1739,2
20273,3705455,1
9566,3705455,5
3765756,3705455,5
535781,3705455,5
3316288,3705455,5
20858,3705455,2
20463,3705455,1
1739,3705455,3
9558,435,1
28206520,2147,1
24856581,946,1
3250,946,1
28206520,8368,1
5714,8368,1
2675,8368,3
3250,8368,1
198,8368,2
9561,8368,1
3765756,788,2
9564,788,2
28299352,788,5
21140,788,2
2675,788,2
9560,788,3
8010,788,1
8451,788,3
1625,788,2
3250,788,4
198,788,5
9232,788,2
9561,788,1
8368,788,1
4961,1687,2
24856581,1687,1
9564,1687,2
28299352,1687,1
2675,1687,1
8451,1687,2
1625,1687,3
3250,1687,3
198,1687,3
9561,1687,2
8368,1687,1
788,1687,1
4961,2695,5
5714,2695,4
9564,2695,1
28299352,2695,1
8451,2695,2
1625,2695,5
3250,2695,3
198,2695,3
9561,2695,1
8368,2695,1
788,2695,2
1687,2695,1
3705455,28148055,2
9564,10162054,2
2675,10162054,4
9560,10162054,1
8010,10162054,3
1854,10162054,1
3250,10162054,4
198,10162054,2
9232,10162054,3
788,10162054,1
2695,10162054,1
28299352,5527,1
8010,5527,4
1625,5527,1
198,5527,1
788,5527,2
2695,5527,3
28148055,5527,1
10162054,5527,1
3250,566,1
198,566,1
20273,898,2
4963,898,4
28299352,898,1
20179,898,5
21140,898,4
20858,898,4
2633,898,1
20463,898,3
11244097,898,3
29334458,898,1
19651,898,5
788,898,1
28148055,898,2
3250,8621,1
198,8621,1
788,8621,1
10162054,8621,1
4961,10154476,2
24856581,10154476,4
8010,10154476,2
8451,10154476,1
3250,10154476,1
9232,10154476,2
9566,19731,3
3765756,19731,4
28299352,19731,1
20179,19731,3
10155998,19731,5
3316288,19731,5
20858,19731,4
20463,19731,1
1739,19731,3
3705455,19731,2
4961,9565,1
24856581,9565,1
2675,9565,1
1854,9565,1
198,9565,1
9232,9565,1
10162054,9565,2
28206520,7484,4
28148055,7484,1
28206520,226,3
9564,226,1
28299352,226,2
2675,226,3
9560,226,1
8010,226,2
3250,226,1
198,226,3
9561,226,1
8368,226,1
788,226,2
1687,226,1
5714,40613235,2
28299352,40613235,1
9567,40613235,1
1625,40613235,1
3250,40613235,1
198,40613235,1
8368,40613235,1
788,40613235,1
2695,40613235,1
4961,7396,1
28206520,7396,2
9564,7396,1
28299352,7396,1
8451,7396,1
1625,7396,2
788,7396,1
1687,7396,1
226,7396,1
5714,37093557,2
2675,37093557,2
10162054,37093557,2
40613235,37093557,1
7484,372,2
28299352,2818,1
788,2818,1
3765756,29213628,1
28299352,29213628,2
21140,29213628,1
788,29213628,2
28148055,29213628,2
40613235,29213628,1
28206520,10154473,5
9564,10154473,2
20463,10154473,1
788,10154473,1
2695,10154473,1
10162054,10154473,1
5527,10154473,1
1625,10161970,1
788,10161970,1
2695,10161970,1
10171981,10171318,1
