"node_1","node_2","edge"
10142641,10147384,2
10147384,10149977,1
10142646,10151169,1
10147384,10151169,1
10149977,10151169,3
10151169,1116,1
10149977,1625,1
10151169,1625,1
1116,1625,1
10142646,1687,1
10149977,1687,1
10151169,1687,1
1116,1687,1
1625,1687,1
10142646,198,2
10149977,198,1
10151169,198,2
1116,198,2
1625,198,1
1687,198,1
10149977,20179,1
10151169,20179,1
1116,20179,1
1625,20179,1
1687,20179,1
198,20179,2
10149977,20273,1
10151169,20273,1
1687,20273,2
198,20273,1
20179,20273,1
10142641,2034,1
10142646,2034,2
10151169,2034,1
198,2034,2
10142646,20463,2
10149977,20463,3
10151169,20463,2
1116,20463,2
1625,20463,3
1687,20463,2
198,20463,2
20179,20463,2
20273,20463,1
10142641,2147,1
10147384,2147,1
1625,2147,1
1687,2147,1
20273,2147,1
20463,2147,1
1625,226,1
20179,226,1
20273,226,1
20463,226,1
10142641,259,1
10142646,259,1
10147384,259,1
10149977,259,1
10151169,259,1
1116,259,2
1625,259,1
20463,259,1
10149977,2633,1
1116,2633,1
1625,2633,1
1687,2633,1
198,2633,2
20179,2633,2
20273,2633,2
20463,2633,1
226,2633,1
10142641,2675,1
1687,2675,1
198,2675,1
20463,2675,1
226,2675,3
2633,2675,1
10142641,2695,1
10142646,2695,1
10147384,2695,1
1687,2695,1
198,3250,1
20273,3250,1
20463,3250,1
2147,3250,1
226,3250,1
2675,3250,1
10149977,3316288,1
1687,3316288,1
198,3316288,1
20179,3316288,1
20273,3316288,3
226,3316288,1
2633,3316288,1
2675,3316288,1
1687,372,1
20179,372,1
20273,372,1
2034,372,1
20463,372,1
2147,372,2
10142646,435,1
10151169,435,1
1116,435,1
198,435,1
20273,435,1
20463,435,1
259,435,2
20273,4961,1
2147,4961,1
226,4961,2
3250,4961,1
2147,566,1
259,566,1
4961,566,1
1687,5743,1
198,5743,1
2147,5743,1
2633,5743,2
2675,5743,1
3316288,5743,1
2147,6583475,1
3250,6583475,1
4961,6583475,1
566,6583475,1
5743,6583475,1
10147384,7484,1
10151169,7484,1
2695,7484,1
3250,7484,1
1687,8368,1
198,8368,1
2633,8368,1
2675,8368,1
198,8451,1
20273,8451,1
226,8451,1
3250,8451,1
3316288,8451,1
4961,8451,1
2675,8621,1
1116,95,1
2034,95,1
259,95,1
435,95,1
7484,95,1
10142646,9560,1
10149977,9560,1
1687,9560,1
198,9560,1
20179,9560,1
20273,9560,1
20463,9560,1
2633,9560,1
3316288,9560,1
8621,9560,1
9558,9560,1
1625,9561,1
226,9561,1
2675,9561,1
3250,9561,1
8368,9561,1
8451,9561,1
2675,9564,1
5743,9564,1
8368,9564,1
9561,9564,1
20463,9566,1
2675,9566,1
372,9566,1
8368,9566,1
2675,958,1
372,958,1
9561,958,1
9564,958,1
9566,958,1
