"state.name","state.ab","start.year","stop.year","leg"
"Alaska","AK",2001,2002,"Senate"
"Alaska","AK",2003,2004,"Senate"
"Alaska","AK",2005,2006,"Senate"
"Alaska","AK",2007,2008,"Senate"
"Alaska","AK",2009,2010,"Senate"
"Alaska","AK",2011,2012,"Senate"
"Alaska","AK",2013,2014,"Senate"
"Alaska","AK",2015,2016,"Senate"
"Alaska","AK",2001,2002,"House"
"Alaska","AK",2003,2004,"House"
"Alaska","AK",2005,2006,"House"
"Alaska","AK",2007,2008,"House"
"Alaska","AK",2009,2010,"House"
"Alaska","AK",2011,2012,"House"
"Alaska","AK",2013,2014,"House"
"Alaska","AK",2015,2016,"House"
"Alabama","AL",2003,2006,"Senate"
"Alabama","AL",2007,2010,"Senate"
"Alabama","AL",2011,2014,"Senate"
"Alabama","AL",2003,2006,"House"
"Alabama","AL",2007,2010,"House"
"Alabama","AL",2011,2014,"House"
"Arkansas","AR",2001,2002,"Senate"
"Arkansas","AR",2003,2004,"Senate"
"Arkansas","AR",2005,2006,"Senate"
"Arkansas","AR",2007,2008,"Senate"
"Arkansas","AR",2009,2010,"Senate"
"Arkansas","AR",2011,2012,"Senate"
"Arkansas","AR",2013,2014,"Senate"
"Arkansas","AR",2015,2016,"Senate"
"Arkansas","AR",2001,2002,"House"
"Arkansas","AR",2003,2004,"House"
"Arkansas","AR",2005,2006,"House"
"Arkansas","AR",2007,2008,"House"
"Arkansas","AR",2009,2010,"House"
"Arkansas","AR",2011,2012,"House"
"Arkansas","AR",2013,2014,"House"
"Arkansas","AR",2015,2016,"House"
"Arizona","AZ",2001,2002,"Senate"
"Arizona","AZ",2003,2004,"Senate"
"Arizona","AZ",2005,2006,"Senate"
"Arizona","AZ",2007,2008,"Senate"
"Arizona","AZ",2009,2010,"Senate"
"Arizona","AZ",2011,2012,"Senate"
"Arizona","AZ",2013,2014,"Senate"
"Arizona","AZ",2015,2016,"Senate"
"Arizona","AZ",2001,2002,"House"
"Arizona","AZ",2003,2004,"House"
"Arizona","AZ",2005,2006,"House"
"Arizona","AZ",2007,2008,"House"
"Arizona","AZ",2009,2010,"House"
"Arizona","AZ",2011,2012,"House"
"Arizona","AZ",2013,2014,"House"
"Arizona","AZ",2015,2016,"House"
"California","CA",2001,2002,"Senate"
"California","CA",2003,2004,"Senate"
"California","CA",2005,2006,"Senate"
"California","CA",2007,2008,"Senate"
"California","CA",2009,2010,"Senate"
"California","CA",2011,2012,"Senate"
"California","CA",2013,2014,"Senate"
"California","CA",2015,2016,"Senate"
"California","CA",2001,2002,"House"
"California","CA",2003,2004,"House"
"California","CA",2005,2006,"House"
"California","CA",2007,2008,"House"
"California","CA",2009,2010,"House"
"California","CA",2011,2012,"House"
"California","CA",2013,2014,"House"
"California","CA",2015,2016,"House"
"Colorado","CO",2001,2002,"Senate"
"Colorado","CO",2003,2004,"Senate"
"Colorado","CO",2005,2006,"Senate"
"Colorado","CO",2007,2008,"Senate"
"Colorado","CO",2009,2010,"Senate"
"Colorado","CO",2011,2012,"Senate"
"Colorado","CO",2013,2014,"Senate"
"Colorado","CO",2015,2016,"Senate"
"Colorado","CO",2001,2002,"House"
"Colorado","CO",2003,2004,"House"
"Colorado","CO",2005,2006,"House"
"Colorado","CO",2007,2008,"House"
"Colorado","CO",2009,2010,"House"
"Colorado","CO",2011,2012,"House"
"Colorado","CO",2013,2014,"House"
"Colorado","CO",2015,2016,"House"
"Connecticut","CT",2001,2002,"Senate"
"Connecticut","CT",2003,2004,"Senate"
"Connecticut","CT",2005,2006,"Senate"
"Connecticut","CT",2007,2008,"Senate"
"Connecticut","CT",2009,2010,"Senate"
"Connecticut","CT",2011,2012,"Senate"
"Connecticut","CT",2013,2014,"Senate"
"Connecticut","CT",2015,2016,"Senate"
"Connecticut","CT",2001,2002,"House"
"Connecticut","CT",2003,2004,"House"
"Connecticut","CT",2005,2006,"House"
"Connecticut","CT",2007,2008,"House"
"Connecticut","CT",2009,2010,"House"
"Connecticut","CT",2011,2012,"House"
"Connecticut","CT",2013,2014,"House"
"Connecticut","CT",2015,2016,"House"
"Delaware","DE",2001,2002,"Senate"
"Delaware","DE",2003,2004,"Senate"
"Delaware","DE",2005,2006,"Senate"
"Delaware","DE",2007,2008,"Senate"
"Delaware","DE",2009,2010,"Senate"
"Delaware","DE",2011,2012,"Senate"
"Delaware","DE",2013,2014,"Senate"
"Delaware","DE",2015,2016,"Senate"
"Delaware","DE",2001,2002,"House"
"Delaware","DE",2003,2004,"House"
"Delaware","DE",2005,2006,"House"
"Delaware","DE",2007,2008,"House"
"Delaware","DE",2009,2010,"House"
"Delaware","DE",2011,2012,"House"
"Delaware","DE",2013,2014,"House"
"Delaware","DE",2015,2016,"House"
"Florida","FL",2001,2002,"Senate"
"Florida","FL",2003,2004,"Senate"
"Florida","FL",2005,2006,"Senate"
"Florida","FL",2007,2008,"Senate"
"Florida","FL",2009,2010,"Senate"
"Florida","FL",2011,2012,"Senate"
"Florida","FL",2013,2014,"Senate"
"Florida","FL",2015,2016,"Senate"
"Florida","FL",2001,2002,"House"
"Florida","FL",2003,2004,"House"
"Florida","FL",2005,2006,"House"
"Florida","FL",2007,2008,"House"
"Florida","FL",2009,2010,"House"
"Florida","FL",2011,2012,"House"
"Florida","FL",2013,2014,"House"
"Florida","FL",2015,2016,"House"
"Georgia","GA",2001,2002,"Senate"
"Georgia","GA",2003,2004,"Senate"
"Georgia","GA",2005,2006,"Senate"
"Georgia","GA",2007,2008,"Senate"
"Georgia","GA",2009,2010,"Senate"
"Georgia","GA",2011,2012,"Senate"
"Georgia","GA",2013,2014,"Senate"
"Georgia","GA",2015,2016,"Senate"
"Georgia","GA",2001,2002,"House"
"Georgia","GA",2003,2004,"House"
"Georgia","GA",2005,2006,"House"
"Georgia","GA",2007,2008,"House"
"Georgia","GA",2009,2010,"House"
"Georgia","GA",2011,2012,"House"
"Georgia","GA",2013,2014,"House"
"Georgia","GA",2015,2016,"House"
"Hawaii","HI",2001,2002,"Senate"
"Hawaii","HI",2003,2004,"Senate"
"Hawaii","HI",2005,2006,"Senate"
"Hawaii","HI",2007,2008,"Senate"
"Hawaii","HI",2009,2010,"Senate"
"Hawaii","HI",2011,2012,"Senate"
"Hawaii","HI",2013,2014,"Senate"
"Hawaii","HI",2015,2016,"Senate"
"Hawaii","HI",2001,2002,"House"
"Hawaii","HI",2003,2004,"House"
"Hawaii","HI",2005,2006,"House"
"Hawaii","HI",2007,2008,"House"
"Hawaii","HI",2009,2010,"House"
"Hawaii","HI",2011,2012,"House"
"Hawaii","HI",2013,2014,"House"
"Hawaii","HI",2015,2016,"House"
"Iowa","IA",2001,2002,"Senate"
"Iowa","IA",2003,2004,"Senate"
"Iowa","IA",2005,2006,"Senate"
"Iowa","IA",2007,2008,"Senate"
"Iowa","IA",2009,2010,"Senate"
"Iowa","IA",2011,2012,"Senate"
"Iowa","IA",2013,2014,"Senate"
"Iowa","IA",2015,2016,"Senate"
"Iowa","IA",2001,2002,"House"
"Iowa","IA",2003,2004,"House"
"Iowa","IA",2005,2006,"House"
"Iowa","IA",2007,2008,"House"
"Iowa","IA",2009,2010,"House"
"Iowa","IA",2011,2012,"House"
"Iowa","IA",2013,2014,"House"
"Iowa","IA",2015,2016,"House"
"Idaho","ID",2001,2002,"Senate"
"Idaho","ID",2003,2004,"Senate"
"Idaho","ID",2005,2006,"Senate"
"Idaho","ID",2007,2008,"Senate"
"Idaho","ID",2009,2010,"Senate"
"Idaho","ID",2011,2012,"Senate"
"Idaho","ID",2013,2014,"Senate"
"Idaho","ID",2015,2016,"Senate"
"Idaho","ID",2001,2002,"House"
"Idaho","ID",2003,2004,"House"
"Idaho","ID",2005,2006,"House"
"Idaho","ID",2007,2008,"House"
"Idaho","ID",2009,2010,"House"
"Idaho","ID",2011,2012,"House"
"Idaho","ID",2013,2014,"House"
"Idaho","ID",2015,2016,"House"
"Illinois","IL",2001,2002,"Senate"
"Illinois","IL",2003,2004,"Senate"
"Illinois","IL",2005,2006,"Senate"
"Illinois","IL",2007,2008,"Senate"
