"EID","ContributorName","CatCodeIndustry","CatCodeGroup","CatCodeBusiness","PerDem","PerRep","DemCol","RepCol","Total"
"10149","ASTELLAS PHARMA","Pharmaceuticals & Health Products","Health","Pharmaceutical manufacturing",0,100,"#FF0000AF","#FF0000AF",3750
"1048","FRESENIUS MEDICAL CARE","Pharmaceuticals & Health Products","Health","Medical supplies manufacturing & sales",100,0,"#0000FFAF","#0000FFAF",1250
"10689","C&E SYSTEMS","Computer Equipment & Services","Communications & Electronics","Data processing & computer services",100,0,"#0000FFAF","#0000FFAF",1550
"1116","GLAXOSMITHKLINE","Pharmaceuticals & Health Products","Health","Pharmaceutical manufacturing",75,25,"#00007FAF","#00007FAF",8000
"11252","BAR PILOTS OF THE COLUMBIA RIVER","Transportation Unions","Labor","Transportation unions",60.7142857142857,39.2857142857143,"#000033AF","#000033AF",7000
"11410","COVANTA ENERGY","Miscellaneous Energy","Energy & Natural Resources","Alternative energy production & services",64.2857142857143,35.7142857142857,"#000047AF","#000047AF",3500
"11560","DAVIS WRIGHT TREMAINE LLP","Lawyers & Lobbyists","Lawyers & Lobbyists","Attorneys & law firms",56.25,43.75,"#00001FAF","#00001FAF",8000
"11772","DOUGLAS COUNTY PHYSICIANS","Health Professionals","Health","Physicians",72.9166666666667,27.0833333333333,"#000070AF","#000070AF",120000
"11950632","DAIRY PAC 2988","Dairy","Agriculture","Dairy farmers & wholesale and retail milk, cheese and ice cream dealers",0,100,"#FF0000AF","#FF0000AF",2750
"1212","HEALTH NET INC","Health Services","Health","HMOs",40.9090909090909,59.0909090909091,"#330000AF","#330000AF",5500
"1269570","INTERNATIONAL UNION OF PAINTERS & ALLIED TRADES / IUPAT","General Trade Unions","Labor","Construction unions",100,0,"#0000FFAF","#0000FFAF",1500
"127","AMERICAN COUNCIL OF LIFE INSURERS","Insurance","Finance, Insurance & Real Estate","Life insurance",30.3030303030303,69.6969696969697,"#660000AF","#660000AF",1650
"12773","HEALTH SERVICES GROUP","Insurance","Finance, Insurance & Real Estate","Accident & health insurance",30.4347826086957,69.5652173913043,"#660000AF","#660000AF",11500
"13035","IBERDROLA RENEWABLES","Miscellaneous Energy","Energy & Natural Resources","Alternative energy production & services",73.6842105263158,26.3157894736842,"#000075AF","#000075AF",9500
"132","AMERICAN FAMILY LIFE ASSURANCE CO / AFLAC","Insurance","Finance, Insurance & Real Estate","Insurance companies, general",92,8,"#0000D6AF","#0000D6AF",6250
"1338","INTERNATIONAL PAPER","Forestry & Forest Products","Agriculture","Paper & pulp mills and paper manufacturing",56.25,43.75,"#00001FAF","#00001FAF",8000
"13466967","ABC MERIT SHOP CONTRACTOR","General Contractors","Construction","Builders associations",33.3333333333333,66.6666666666667,"#570000AF","#570000AF",1500
"13466968","ART LLC","Employer Listed/Category Unknown","Uncoded","Employer listed but category unknown",66.6666666666667,33.3333333333333,"#000052AF","#000052AF",1500
"13702","LIFEWISE HEALTH PLAN OF OREGON","Health Services","Health","HMOs",38.7096774193548,61.2903225806452,"#3D0000AF","#3D0000AF",15500
"1375545","BALL JANIK LLP","Lawyers & Lobbyists","Lawyers & Lobbyists","Attorneys & law firms",100,0,"#0000FFAF","#0000FFAF",750
"13986278","STATE STREET SOLUTIONS","Lawyers & Lobbyists","Lawyers & Lobbyists","Lobbyists & public relations",100,0,"#0000FFAF","#0000FFAF",500
"14010286","CHARLES WILLIAM (CHUCK) THOMSEN CAMPAIGN CMTE","Candidate Committees","Candidate Contributions","Candidate committees",0,100,"#FF0000AF","#FF0000AF",2000
