"EID","ContributorName","CatCodeIndustry","CatCodeGroup","CatCodeBusiness","PerDem","PerRep","DemCol","RepCol","Total"
"10133","ASSOCIATION OF ILLINOIS ELECTRIC COOPERATIVES","Electric Utilities","Energy & Natural Resources","Rural electric cooperatives",39.21143847487,60.78856152513,"#380000AF","#380000AF",11540
"10149","ASTELLAS PHARMA","Pharmaceuticals & Health Products","Health","Pharmaceutical manufacturing",44.4444444444444,55.5555555555556,"#1F0000AF","#1F0000AF",2250
"1025","FORD MOTOR CO","Automotive","Transportation","Auto manufacturers",44,56,"#1F0000AF","#240000AF",6250
"10255","BARTON MANAGEMENT","Hospitals & Nursing Homes","Health","Nursing homes",100,0,"#0000FFAF","#0000FFAF",5500
"10351","BERNARDIN LOCHMUELLER & ASSOCIATES","Construction Services","Construction","Engineering, architecture & construction management services",0,100,"#FF0000AF","#FF0000AF",3000
"10408","BJC HEALTH SYSTEM","Hospitals & Nursing Homes","Health","Health care institutions",22.2222222222222,77.7777777777778,"#8F0000AF","#8F0000AF",2250
"1043","FREEBORN & PETERS","Lawyers & Lobbyists","Lawyers & Lobbyists","Attorneys & law firms",51.6666666666667,48.3333333333333,"#000005AF","#000005AF",3000
"10458","BLUESTAR ENERGY SERVICES","Electric Utilities","Energy & Natural Resources","Electric power utilities",65.4708520179372,34.5291479820628,"#00004DAF","#00004DAF",22300
"10746294","PLUMBERS & STEAMFITTERS LOCAL 137","General Trade Unions","Labor","Construction unions",100,0,"#0000FFAF","#0000FFAF",6450
"1084","GENERAL ELECTRIC","Miscellaneous Finance, Insurance & Real Estate","Finance, Insurance & Real Estate","Finance, insurance & real estate",11.4649681528662,88.5350318471338,"#C70000AF","#C70000AF",7850
"10908","CARMAX","Automotive","Transportation","Auto dealers, new & used",91.2280701754386,8.7719298245614,"#0000D1AF","#0000D1AF",2850
"11022","CHEMICAL INDUSTRY COUNCIL OF ILLINOIS","Chemical & Related Manufacturing","General Business","Chemicals",32.7586206896552,67.2413793103448,"#5C0000AF","#5C0000AF",11600
"11031032","PLUMBERS & STEAMFITTERS LOCAL 157","General Trade Unions","Labor","Construction unions",100,0,"#0000FFAF","#0000FFAF",3525
"11031259","PLUMBERS & PIPEFITTERS LOCAL 501","General Trade Unions","Labor","Construction unions",100,0,"#0000FFAF","#0000FFAF",12650
"11039","CHICAGOLAND SPEEDWAY","Recreation & Live Entertainment","General Business","Professional sports, arenas & related equipment and services",76.3636363636364,23.6363636363636,"#000085AF","#000085AF",27500
"11126","CLAYTON RESIDENTIAL HOME","Hospitals & Nursing Homes","Health","Nursing homes",100,0,"#0000FFAF","#0000FFAF",833
"11155","COOK COUNTY TOWNSHIP SCHOOL TREASURERS","Other/Single Issue Groups","Ideology/Single Issue","Other single-issue or ideological groups",100,0,"#0000FFAF","#0000FFAF",7500
"1116","GLAXOSMITHKLINE","Pharmaceuticals & Health Products","Health","Pharmaceutical manufacturing",72.2222222222222,27.7777777777778,"#000070AF","#000070AF",4500
"11258","COMMONWEALTH EDISON","Electric Utilities","Energy & Natural Resources","Electric power utilities",74.0723940850948,25.9276059149052,"#00007AAF","#00007AAF",110230
