"EID","ContributorName","CatCodeIndustry","CatCodeGroup","CatCodeBusiness","PerDem","PerRep","DemCol","RepCol","Total"
"11611","DELAWARE REPUBLICAN PARTY","Party Committees","Party","Republican Party committees",0,100,"#FF0000AF","#FF0000AF",16407
"16869510","COMMITTEE FOR A BETTER FUTURE","Uncoded","Uncoded","Uncoded",100,0,"#0000FFAF","#0000FFAF",1950
"16870188","DELAWARE CPA-PAC INC","Uncoded","Uncoded","Uncoded",77.7777777777778,22.2222222222222,"#00008AAF","#00008AAF",900
"16870264","STANDARD DISTRIBUTING CO","Uncoded","Uncoded","Uncoded",88,12,"#0000C2AF","#0000C2AF",2500
"16870325","CIVIC AFFAIRS CONSTRUCTION COUNCIL","Uncoded","Uncoded","Uncoded",96.078431372549,3.92156862745098,"#0000EBAF","#0000EBAF",2550
"1713","METROPOLITAN LIFE INSURANCE","Insurance","Finance, Insurance & Real Estate","Life insurance",77.7777777777778,22.2222222222222,"#00008AAF","#00008AAF",900
"1816235","DEMOCRATIC LEGISLATION CAMPAIGN CMTE","Liberal Policy Organization","Ideology/Single Issue","Democratic-based groups (but not official party committees) and generic liberal/progressive ones",100,0,"#0000FFAF","#0000FFAF",2100
"1854","NATIONAL RIFLE ASSOCIATION","Gun Control","Ideology/Single Issue","Anti-gun control",100,0,"#0000FFAF","#0000FFAF",2200
"19155","AFSCME COUNCIL 81","Public Sector Unions","Labor","State & local government employee unions",81.25,18.75,"#00009EAF","#00009EAF",3200
"19410","IRONWORKERS LOCAL 451","General Trade Unions","Labor","Construction unions",100,0,"#0000FFAF","#0000FFAF",2500
"19649","ELECTRICAL WORKERS LOCAL 313","General Trade Unions","Labor","Electrical workers/IBEW",93.3333333333333,6.66666666666667,"#0000DBAF","#0000DBAF",3000
"19777","TEAMSTERS LOCAL 326","Transportation Unions","Labor","Teamsters unions",50,50,"#000000AF","#000000AF",2400
"19914","OPERATING ENGINEERS LOCAL 542","General Trade Unions","Labor","Construction unions",41.6666666666667,58.3333333333333,"#2E0000AF","#2E0000AF",1200
"20100","NEW JERSEY STATE LABORERS","General Trade Unions","Labor","Construction unions",100,0,"#0000FFAF","#0000FFAF",2400
"20213","DELAWARE EDUCATION ASSOCIATION","Public Sector Unions","Labor","Teachers unions",86.4406779661017,13.5593220338983,"#0000B8AF","#0000B8AF",5900
"2034","PFIZER","Pharmaceuticals & Health Products","Health","Pharmaceutical manufacturing",71.4285714285714,28.5714285714286,"#00006BAF","#00006BAF",1050
"20467","SHEET METAL WORKERS LOCAL 19","General Trade Unions","Labor","Construction unions",100,0,"#0000FFAF","#0000FFAF",900
"20704","DELAWARE STATE AUTO WORKERS COUNCIL","Transportation Unions","Labor","Automotive unions",80,20,"#000099AF","#000099AF",3000
"20777","CARPENTERS & JOINERS LOCAL 626","General Trade Unions","Labor","Construction unions",50,50,"#000000AF","#000000AF",3600
"20817","MILLWRIGHTS & MACHINERY ERECTORS LOCAL 1545","General Trade Unions","Labor","Manufacturing unions",100,0,"#0000FFAF","#0000FFAF",2400
"20887","FOOD & COMMERCIAL WORKERS LOCAL 27","General Trade Unions","Labor","Retail trade unions",57.1428571428571,42.8571428571429,"#000024AF","#000024AF",175
"22202757","HENRY TOPEL & CO","Uncoded","Uncoded","Uncoded",100,0,"#0000FFAF","#0000FFAF",950
"22204937","E I DUPONT DE NEMOURS & CO","Uncoded","Uncoded","Uncoded",83.3333333333333,16.6666666666667,"#0000A8AF","#0000A8AF",600
